position,Iron Abundance,lon,lat
0,6.975853,77.650476,-13.697961
0.19115,6.973869,77.656499,-13.695618
0.3823,6.971953,77.662523,-13.693277
0.573451,6.970104,77.668547,-13.690934
0.764601,6.968324,77.674571,-13.688592
0.955751,6.966612,77.680594,-13.686248
1.146901,6.964967,77.686617,-13.683906
1.338052,6.96339,77.69264,-13.681564
1.529202,6.961881,77.698663,-13.67922
1.720352,6.96044,77.704686,-13.676876
1.911502,6.959067,77.710709,-13.674534
2.102653,6.957761,77.716731,-13.67219
2.293803,6.956524,77.722753,-13.669846
2.484953,6.955354,77.728776,-13.667503
2.676103,6.954253,77.734798,-13.665159
2.867254,6.953219,77.74082,-13.662815
3.058404,6.954898,77.746843,-13.660471
3.249554,6.960643,77.752864,-13.658125
3.440704,6.967613,77.758886,-13.655782
3.631855,6.97456,77.764908,-13.653437
3.823005,6.981485,77.770929,-13.651091
4.014155,6.988387,77.776951,-13.648747
4.205305,6.995266,77.782972,-13.646401
4.396456,7.002123,77.788993,-13.644057
4.587606,7.008957,77.795014,-13.641711
4.778756,7.015769,77.801035,-13.639366
4.969906,7.022557,77.807056,-13.63702
5.161057,7.029324,77.813076,-13.634674
5.352207,7.036067,77.819097,-13.632328
5.543357,7.042788,77.825118,-13.629982
5.734507,7.049487,77.831138,-13.627636
5.925658,7.056162,77.837158,-13.62529
6.116808,7.062815,77.843178,-13.622943
6.307958,7.069446,77.849198,-13.620596
6.499108,7.076054,77.855218,-13.61825
6.690259,7.082639,77.861238,-13.615903
6.881409,7.089201,77.867258,-13.613555
7.072559,7.095741,77.873277,-13.611208
7.263709,7.102258,77.879296,-13.608861
7.45486,7.108753,77.885316,-13.606513
7.64601,7.115225,77.891335,-13.604165
7.83716,7.121674,77.897354,-13.601818
8.02831,7.128101,77.903373,-13.59947
8.219461,7.134505,77.909391,-13.597121
8.410611,7.140886,77.91541,-13.594772
8.601761,7.147245,77.921429,-13.592425
8.792911,7.153581,77.927447,-13.590076
8.984062,7.159894,77.933465,-13.587727
9.175212,7.166185,77.939484,-13.585378
9.366362,7.172453,77.945501,-13.583029
9.557512,7.178699,77.95152,-13.58068
9.748663,7.184921,77.957537,-13.57833
9.939813,7.191121,77.963555,-13.575982
10.130963,7.197299,77.969573,-13.573632
10.322113,7.203454,77.97559,-13.571281
10.513264,7.209586,77.981608,-13.568932
10.704414,7.215695,77.987624,-13.566581
10.895564,7.221782,77.993642,-13.564232
11.086714,7.227846,77.999659,-13.561882
11.277865,7.233887,78.005676,-13.559531
11.469015,7.239906,78.011692,-13.55718
11.660165,7.245902,78.017709,-13.55483
11.851315,7.251876,78.023726,-13.552479
12.042465,7.257826,78.029742,-13.550127
12.233616,7.263754,78.035758,-13.547777
12.424766,7.269659,78.041774,-13.545426
12.615916,7.275542,78.04779,-13.543073
12.807066,7.281402,78.053806,-13.540722
12.998217,7.287239,78.059822,-13.53837
13.189367,7.293054,78.065838,-13.536019
13.380517,7.298846,78.071853,-13.533667
13.571667,7.304615,78.077869,-13.531315
13.762818,7.310362,78.083884,-13.528961
13.953968,7.316086,78.089899,-13.526609
14.145118,7.321787,78.095915,-13.524257
14.336268,7.327465,78.10193,-13.521904
14.527419,7.333121,78.107944,-13.519552
14.718569,7.338754,78.113959,-13.517198
14.909719,7.344364,78.119974,-13.514845
15.100869,7.349952,78.125988,-13.512492
15.29202,7.355517,78.132002,-13.510138
15.48317,7.361059,78.138017,-13.507785
15.67432,7.366579,78.144031,-13.505431
15.86547,7.372076,78.150045,-13.503077
16.056621,7.37755,78.156059,-13.500723
16.247771,7.383001,78.162073,-13.498369
16.438921,7.38843,78.168086,-13.496015
16.630071,7.393836,78.1741,-13.49366
16.821222,7.399219,78.180113,-13.491305
17.012372,7.40458,78.186127,-13.488951
17.203522,7.409918,78.19214,-13.486596
17.394672,7.415233,78.198153,-13.48424
17.585823,7.420525,78.204166,-13.481886
17.776973,7.425795,78.210179,-13.47953
17.968123,7.431042,78.216191,-13.477175
18.159273,7.436266,78.222204,-13.474819
18.350424,7.441468,78.228216,-13.472463
18.541574,7.446647,78.234229,-13.470107
18.732724,7.451803,78.240241,-13.467751
18.923874,7.453593,78.246253,-13.465394
19.115025,7.447785,78.252265,-13.463038
19.306175,7.439646,78.258277,-13.460682
19.497325,7.431486,78.264289,-13.458325
19.688475,7.423302,78.2703,-13.455969
19.879626,7.415097,78.276312,-13.453612
20.070776,7.406869,78.282323,-13.451254
20.261926,7.398618,78.288335,-13.448898
20.453076,7.390345,78.294346,-13.44654
20.644227,7.382049,78.300357,-13.444182
20.835377,7.373731,78.306368,-13.441825
21.026527,7.365391,78.312379,-13.439468
21.217677,7.357027,78.318389,-13.43711
21.408828,7.348642,78.3244,-13.434752
21.599978,7.340234,78.33041,-13.432393
21.791128,7.331804,78.336421,-13.430035
21.982278,7.32335,78.342431,-13.427676
22.173429,7.314875,78.348441,-13.425317
22.364579,7.306377,78.354451,-13.422958
22.555729,7.297857,78.360461,-13.4206
22.746879,7.289314,78.36647,-13.418241
22.93803,7.280748,78.37248,-13.415882
23.12918,7.27216,78.37849,-13.413522
23.32033,7.26355,78.384499,-13.411163
23.51148,7.254917,78.390509,-13.408804
23.702631,7.246261,78.396518,-13.406444
23.893781,7.237583,78.402527,-13.404084
24.084931,7.228883,78.408536,-13.401724
24.276081,7.22016,78.414545,-13.399364
24.467231,7.211414,78.420553,-13.397003
24.658382,7.202646,78.426562,-13.394643
24.849532,7.193856,78.43257,-13.392282
25.040682,7.185043,78.438579,-13.389922
25.231832,7.176207,78.444587,-13.387561
25.422983,7.167349,78.450595,-13.385199
25.614133,7.158468,78.456603,-13.382839
25.805283,7.149565,78.462611,-13.380477
25.996433,7.14064,78.468618,-13.378115
26.187584,7.131692,78.474626,-13.375753
26.378734,7.122721,78.480633,-13.373392
26.569884,7.113728,78.486641,-13.371031
26.761034,7.104712,78.492648,-13.368668
26.952185,7.095674,78.498655,-13.366306
27.143335,7.086613,78.504662,-13.363943
27.334485,7.07753,78.51067,-13.361582
27.525635,7.068424,78.516676,-13.359219
27.716786,7.059296,78.522683,-13.356855
27.907936,7.050145,78.528689,-13.354493
28.099086,7.040971,78.534696,-13.35213
28.290236,7.031775,78.540702,-13.349767
28.481387,7.022557,78.546708,-13.347403
28.672537,7.013316,78.552715,-13.34504
28.863687,7.004052,78.558721,-13.342677
29.054837,6.994766,78.564726,-13.340312
29.245988,6.985457,78.570732,-13.337949
29.437138,6.976126,78.576738,-13.335585
29.628288,6.966772,78.582744,-13.333221
29.819438,6.957396,78.588749,-13.330857
30.010589,6.947997,78.594754,-13.328492
30.201739,6.938576,78.600759,-13.326128
30.392889,6.929132,78.606764,-13.323763
30.584039,6.919665,78.612769,-13.321398
30.77519,6.910176,78.618774,-13.319033
30.96634,6.900665,78.624779,-13.316668
31.15749,6.89113,78.630783,-13.314303
31.34864,6.881573,78.636788,-13.311937
31.539791,6.871994,78.642792,-13.309572
31.730941,6.862392,78.648797,-13.307206
31.922091,6.852768,78.654801,-13.30484
32.113241,6.843121,78.660805,-13.302474
32.304392,6.833451,78.666809,-13.300108
32.495542,6.823759,78.672812,-13.297741
32.686692,6.814045,78.678816,-13.295375
32.877842,6.804307,78.684819,-13.293009
33.068993,6.794547,78.690823,-13.290642
33.260143,6.784765,78.696826,-13.288275
33.451293,6.77496,78.702829,-13.285908
33.642443,6.765133,78.708832,-13.283541
33.833594,6.755282,78.714835,-13.281174
34.024744,6.74541,78.720838,-13.278807
34.215894,6.735514,78.726841,-13.276439
34.407044,6.725597,78.732843,-13.274071
34.598195,6.715656,78.738846,-13.271704
34.789345,6.706356,78.744848,-13.269336
34.980495,6.702348,78.75085,-13.266968
35.171645,6.70033,78.756853,-13.264599
35.362796,6.698425,78.762855,-13.262231
35.553946,6.696634,78.768856,-13.259862
35.745096,6.694957,78.774858,-13.257493
35.936246,6.693394,78.78086,-13.255125
36.127396,6.691983,78.786861,-13.252756
36.318547,6.690967,78.792862,-13.250386
36.509697,6.690045,78.798864,-13.248018
36.700847,6.690275,78.804865,-13.245648
36.891997,6.690971,78.810866,-13.243279
37.083148,6.691666,78.816867,-13.240909
37.274298,6.692362,78.822868,-13.238539
37.465448,6.693058,78.828869,-13.23617
37.656598,6.693754,78.834869,-13.233799
37.847749,6.69445,78.84087,-13.231428
38.038899,6.695146,78.84687,-13.229058
38.230049,6.695843,78.852871,-13.226688
38.421199,6.696539,78.858871,-13.224318
38.61235,6.697236,78.864871,-13.221947
38.8035,6.697933,78.870871,-13.219576
38.99465,6.69863,78.87687,-13.217205
39.1858,6.699327,78.88287,-13.214833
39.376951,6.700024,78.88887,-13.212463
39.568101,6.700721,78.894869,-13.210091
39.759251,6.701419,78.900868,-13.207719
39.950401,6.702117,78.906868,-13.205348
40.141552,6.702814,78.912867,-13.202976
40.332702,6.703512,78.918866,-13.200604
40.523852,6.70421,78.924864,-13.198232
40.715002,6.704908,78.930863,-13.195859
40.906153,6.705607,78.936861,-13.193486
41.097303,6.706305,78.94286,-13.191114
41.288453,6.707004,78.948858,-13.188741
41.479603,6.707703,78.954857,-13.186369
41.670754,6.708401,78.960855,-13.183996
41.861904,6.7091,78.966853,-13.181622
42.053054,6.709799,78.972851,-13.179249
42.244204,6.710499,78.978849,-13.176876
42.435355,6.711198,78.984847,-13.174503
42.626505,6.711898,78.990844,-13.172129
42.817655,6.712597,78.996842,-13.169755
43.008805,6.713297,79.002839,-13.167381
43.199956,6.713997,79.008836,-13.165007
43.391106,6.714697,79.014833,-13.162632
43.582256,6.715397,79.02083,-13.160257
43.773406,6.716098,79.026827,-13.157884
43.964557,6.716798,79.032824,-13.155509
44.155707,6.717499,79.03882,-13.153134
