position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
7.968235,75.415472,-9.350771,12.556234,7.653225,1367.767715,7.756732,3.249275,6.498441,77.696051,6.534253,0.825797
8.127599,75.418034,-9.355378,12.317081,7.522937,1381.213873,7.754769,3.592615,5.659883,78.43042,3.750653,0.82401
8.286964,75.420596,-9.359985,11.29894,7.555202,1383.997554,7.752778,3.818547,6.44186,78.440653,1.081797,0.82222
8.446329,75.423157,-9.364594,10.139869,7.482753,1382.65439,7.750759,3.447396,7.688658,78.724079,1.000741,0.820428
8.605693,75.425719,-9.369201,10.014683,7.501531,1378.228465,7.74871,3.101815,8.374284,78.509217,1.948698,0.818632
8.765058,75.428281,-9.373809,9.719307,7.221203,1370.267895,7.746634,4.737009,6.637494,78.906187,4.122783,0.816834
8.924423,75.430843,-9.378417,7.701991,6.887638,1349.760879,7.744529,6.048254,5.592092,80.657665,7.685408,0.815033
9.083787,75.433405,-9.383024,2.787017,6.487473,1327.483011,7.742396,7.813532,6.473995,82.925457,8.179109,0.813228
9.243152,75.435968,-9.387632,2.052216,5.988721,1308.877763,7.740235,8.591325,6.41746,82.938999,6.375087,0.811421
9.402517,75.43853,-9.392239,1.461349,7.030914,1298.915242,7.738045,7.873883,10.222438,80.442332,6.220182,0.809611
9.561881,75.441092,-9.396847,1.293314,6.898052,1286.934156,7.735826,8.202166,7.916759,82.587763,7.011748,0.807798
9.721246,75.443655,-9.401455,2.69172,6.022639,1275.726791,7.733579,7.96594,3.872579,85.46976,7.129286,0.805982
9.880611,75.446218,-9.406062,2.942664,5.397501,1265.22765,7.731304,7.492268,3.252766,86.312302,6.98261,0.804163
10.039976,75.44878,-9.41067,3.255386,5.075695,1249.771867,7.729001,6.652993,6.469882,83.62174,7.858781,0.802341
10.19934,75.451343,-9.415277,13.705301,11.955694,1229.003211,7.726668,13.333251,22.207343,50.754106,8.313071,0.800517
10.358705,75.453905,-9.419885,9.742003,22.189987,1213.322388,7.724308,37.781782,35.651832,16.824382,7.028701,0.798689
10.51807,75.456468,-9.424492,20.825986,25.397424,1210.006605,7.721919,52.305287,16.359128,10.509596,5.366678,0.796858
10.677434,75.459032,-9.429099,27.210961,23.580654,1219.457745,7.719502,46.740686,9.294742,16.753609,6.377624,0.795025
10.836799,75.461594,-9.433707,12.140781,17.366198,1234.063443,7.717056,31.275407,12.90291,43.680901,7.019823,0.793188
10.996164,75.464157,-9.438314,6.239778,8.898473,1249.542984,7.714582,6.034668,17.075908,70.649646,7.854753,0.791349
11.155528,75.466721,-9.442921,5.630964,8.521415,1271.799299,7.712079,9.957503,8.718258,75.693274,10.808102,0.789507
11.314893,75.469283,-9.447529,3.882586,7.081771,1304.815429,7.709548,6.954814,6.772588,82.39001,14.495551,0.787662
11.474258,75.471846,-9.452136,3.44287,6.866814,1349.983879,7.706988,7.113827,6.096889,83.346413,16.487252,0.785813
11.633622,75.474409,-9.456744,3.844448,6.829596,1398.703174,7.7044,6.571159,6.367488,83.216903,16.869897,0.783962
11.792987,75.476973,-9.461351,4.699289,7.102857,1448.125191,7.701784,5.418731,8.8003,81.081678,15.770761,0.782108
11.952352,75.479536,-9.465958,3.65528,7.281495,1484.656173,7.699139,5.421345,10.651644,80.271731,11.73741,0.780251
12.111716,75.482099,-9.470566,2.733771,7.019432,1504.17908,7.696466,6.337497,8.503531,82.425203,4.852513,0.778391
