position,Orthopyroxene Abundance,lon,lat
0,8.172239,75.28747,-9.120361
0.159365,7.297341,75.290029,-9.124969
0.318729,7.885155,75.292587,-9.129578
0.478094,10.505675,75.295146,-9.134186
0.637459,10.270341,75.297704,-9.138795
0.796823,9.063486,75.300263,-9.143404
0.956188,8.169403,75.302822,-9.148012
1.115553,7.658727,75.30538,-9.152621
1.274918,6.326546,75.307939,-9.15723
1.434282,6.724212,75.310498,-9.161838
1.593647,7.314872,75.313057,-9.166447
1.753012,7.013313,75.315616,-9.171055
1.912376,8.083455,75.318175,-9.175663
2.071741,8.238363,75.320735,-9.180271
2.231106,7.50453,75.323294,-9.18488
2.39047,6.987924,75.325854,-9.189488
2.549835,5.438659,75.328412,-9.194097
2.7092,6.212489,75.330972,-9.198705
2.868564,5.038107,75.333531,-9.203314
3.027929,5.577221,75.336091,-9.207922
3.187294,5.206492,75.338651,-9.21253
3.346659,5.10736,75.34121,-9.217139
3.506023,6.523402,75.34377,-9.221747
3.665388,9.081832,75.34633,-9.226355
3.824753,10.456667,75.348891,-9.230963
3.984117,8.929817,75.35145,-9.235571
4.143482,7.172731,75.35401,-9.24018
4.302847,7.503634,75.356571,-9.244787
4.462211,6.769737,75.35913,-9.249396
4.621576,7.618339,75.361691,-9.254004
4.780941,8.403188,75.364251,-9.258612
4.940305,7.604636,75.366812,-9.26322
5.09967,6.74709,75.369372,-9.267828
5.259035,6.915346,75.371932,-9.272436
5.418399,5.9631,75.374494,-9.277044
5.577764,5.984163,75.377054,-9.281652
5.737129,7.443703,75.379615,-9.28626
5.896494,8.576677,75.382176,-9.290868
6.055858,8.49366,75.384736,-9.295476
6.215223,8.884865,75.387297,-9.300084
6.374588,8.134984,75.389858,-9.304692
6.533952,6.587085,75.392419,-9.3093
6.693317,6.190012,75.39498,-9.313908
6.852682,7.086782,75.397541,-9.318516
7.012046,7.594256,75.400103,-9.323124
7.171411,9.398405,75.402664,-9.327732
7.330776,8.27173,75.405225,-9.332339
7.49014,5.794296,75.407787,-9.336947
7.649505,6.074843,75.410349,-9.341555
7.80887,7.395781,75.41291,-9.346163
7.968235,6.498441,75.415472,-9.350771
8.127599,5.659883,75.418034,-9.355378
8.286964,6.44186,75.420596,-9.359985
8.446329,7.688658,75.423157,-9.364594
8.605693,8.374284,75.425719,-9.369201
8.765058,6.637494,75.428281,-9.373809
8.924423,5.592092,75.430843,-9.378417
9.083787,6.473995,75.433405,-9.383024
9.243152,6.41746,75.435968,-9.387632
9.402517,10.222438,75.43853,-9.392239
9.561881,7.916759,75.441092,-9.396847
9.721246,3.872579,75.443655,-9.401455
9.880611,3.252766,75.446218,-9.406062
10.039976,6.469882,75.44878,-9.41067
10.19934,22.207343,75.451343,-9.415277
10.358705,35.651832,75.453905,-9.419885
10.51807,16.359128,75.456468,-9.424492
10.677434,9.294742,75.459032,-9.429099
10.836799,12.90291,75.461594,-9.433707
10.996164,17.075908,75.464157,-9.438314
11.155528,8.718258,75.466721,-9.442921
11.314893,6.772588,75.469283,-9.447529
11.474258,6.096889,75.471846,-9.452136
11.633622,6.367488,75.474409,-9.456744
11.792987,8.8003,75.476973,-9.461351
11.952352,10.651644,75.479536,-9.465958
12.111716,8.503531,75.482099,-9.470566
12.271081,5.85453,75.484663,-9.475173
12.430446,6.065551,75.487227,-9.47978
12.589811,9.501095,75.489791,-9.484387
12.749175,8.881989,75.492354,-9.488994
12.90854,5.569328,75.494918,-9.493602
13.067905,6.13872,75.497482,-9.498209
13.227269,7.438593,75.500046,-9.502816
13.386634,7.567435,75.50261,-9.507423
13.545999,6.83759,75.505174,-9.51203
13.705363,5.440583,75.507738,-9.516637
13.864728,5.616412,75.510302,-9.521244
14.024093,7.069594,75.512866,-9.525851
14.183457,7.186554,75.515431,-9.530458
14.342822,8.187662,75.517996,-9.535065
14.502187,9.922954,75.52056,-9.539672
14.661552,10.493295,75.523124,-9.544279
14.820916,9.264413,75.525689,-9.548886
14.980281,13.056009,75.528254,-9.553493
15.139646,16.472227,75.530818,-9.5581
15.29901,20.66292,75.533383,-9.562707
15.458375,23.665117,75.535948,-9.567314
15.61774,20.382138,75.538513,-9.571921
15.777104,19.045304,75.541078,-9.576527
15.936469,18.414874,75.543643,-9.581134
16.095834,17.478719,75.546208,-9.585741
16.255198,19.299837,75.548774,-9.590348
16.414563,17.075888,75.55134,-9.594954
16.573928,16.155964,75.553904,-9.599561
16.733293,14.871649,75.55647,-9.604168
16.892657,13.374842,75.559035,-9.608775
17.052022,11.162364,75.561601,-9.613381
17.211387,10.586969,75.564168,-9.617988
17.370751,7.735568,75.566732,-9.622595
17.530116,6.372966,75.569298,-9.627201
17.689481,4.762461,75.571864,-9.631808
17.848845,4.903799,75.57443,-9.636415
18.00821,6.122335,75.576996,-9.641021
18.167575,10.832291,75.579563,-9.645627
18.326939,10.303699,75.582128,-9.650234
18.486304,9.244202,75.584695,-9.654841
18.645669,11.647327,75.587261,-9.659447
18.805033,14.208308,75.589827,-9.664054
18.964398,15.228326,75.592394,-9.66866
19.123763,15.233335,75.59496,-9.673267
19.283128,14.092073,75.597528,-9.677872
19.442492,16.754133,75.600094,-9.682479
19.601857,17.76606,75.602661,-9.687085
19.761222,16.889764,75.605228,-9.691692
19.920586,18.025286,75.607794,-9.696299
20.079951,19.533029,75.610362,-9.700904
20.239316,19.96345,75.612928,-9.705511
20.39868,22.660841,75.615496,-9.710117
20.558045,21.471919,75.618062,-9.714724
20.71741,17.414686,75.62063,-9.719329
20.876774,12.432297,75.623197,-9.723936
21.036139,9.781534,75.625764,-9.728542
21.195504,8.240012,75.628331,-9.733149
21.354869,6.042608,75.630899,-9.737755
21.514233,5.911065,75.633467,-9.742361
21.673598,6.334838,75.636034,-9.746967
21.832963,6.489198,75.638602,-9.751573
21.992327,7.934123,75.64117,-9.756179
22.151692,11.494275,75.643738,-9.760785
22.311057,12.059202,75.646305,-9.765391
22.470421,9.621486,75.648873,-9.769997
22.629786,7.047617,75.651442,-9.774603
22.789151,6.397369,75.65401,-9.779209
22.948515,5.186154,75.656578,-9.783815
23.10788,4.880771,75.659147,-9.788421
23.267245,6.577711,75.661715,-9.793027
23.42661,10.389738,75.664284,-9.797633
23.585974,11.938288,75.666852,-9.802239
23.745339,11.891488,75.66942,-9.806845
23.904704,12.218707,75.671989,-9.811451
24.064068,13.467488,75.674557,-9.816057
24.223433,16.927562,75.677126,-9.820662
24.382798,18.547558,75.679695,-9.825268
24.542162,18.838583,75.682264,-9.829874
24.701527,17.564664,75.684833,-9.83448
24.860892,16.02834,75.687402,-9.839086
25.020256,11.436035,75.689971,-9.843691
25.179621,6.340421,75.69254,-9.848297
25.338986,4.145904,75.69511,-9.852903
25.498351,4.020982,75.697679,-9.857508
25.657715,5.535995,75.700249,-9.862114
25.81708,7.097204,75.702818,-9.86672
25.976445,7.645159,75.705388,-9.871325
26.135809,6.196713,75.707957,-9.875931
26.295174,5.97815,75.710528,-9.880536
26.454539,6.641932,75.713097,-9.885142
26.613903,8.074457,75.715667,-9.889748
26.773268,6.510807,75.718237,-9.894353
26.932633,6.368389,75.720807,-9.898959
27.091997,9.55429,75.723377,-9.903564
27.251362,14.151526,75.725947,-9.908169
27.410727,17.283583,75.728517,-9.912775
27.570091,17.274579,75.731087,-9.91738
27.729456,10.816241,75.733658,-9.921986
27.888821,5.117449,75.736228,-9.926591
28.048186,5.853862,75.738799,-9.931196
28.20755,5.634267,75.74137,-9.935801
28.366915,9.113288,75.74394,-9.940407
28.52628,11.650635,75.746511,-9.945012
28.685644,12.055019,75.749081,-9.949618
28.845009,15.176213,75.751652,-9.954223
29.004374,16.30151,75.754223,-9.958828
29.163738,16.28115,75.756794,-9.963433
29.323103,20.621333,75.759365,-9.968039
29.482468,15.756413,75.761938,-9.972643
29.641832,12.483247,75.764508,-9.977249
29.801197,14.704008,75.767079,-9.981854
29.960562,11.423262,75.76965,-9.986459
30.119927,13.001437,75.772222,-9.991064
30.279291,12.958156,75.774793,-9.995669
30.438656,12.47881,75.777365,-10.000274
30.598021,9.487438,75.779937,-10.004879
30.757385,10.382055,75.782508,-10.009484
30.91675,10.783553,75.78508,-10.014089
31.076115,10.768662,75.787652,-10.018694
31.235479,10.347196,75.790224,-10.023299
31.394844,8.231613,75.792796,-10.027904
31.554209,10.466001,75.795368,-10.032509
31.713573,13.339405,75.797941,-10.037114
31.872938,14.648886,75.800513,-10.041719
32.032303,13.928977,75.803085,-10.046324
32.191668,12.719943,75.805658,-10.050929
32.351032,11.58665,75.80823,-10.055534
32.510397,9.899757,75.810803,-10.060138
32.669762,9.961363,75.813375,-10.064743
32.829126,10.181224,75.815948,-10.069348
32.988491,10.403604,75.818521,-10.073953
33.147856,12.98234,75.821093,-10.078557
33.30722,13.885942,75.823666,-10.083162
33.466585,13.454636,75.826239,-10.087767
33.62595,13.333207,75.828812,-10.092371
33.785314,13.002512,75.831386,-10.096976
33.944679,13.030462,75.833959,-10.101581
34.104044,11.374239,75.836532,-10.106185
34.263408,11.740953,75.839105,-10.11079
34.422773,12.451604,75.841679,-10.115394
34.582138,12.248547,75.844253,-10.119998
34.741503,10.797616,75.846826,-10.124604
34.900867,9.431908,75.8494,-10.129208
35.060232,8.944994,75.851973,-10.133813
35.219597,9.621053,75.854547,-10.138417
35.378961,11.330705,75.857121,-10.143021
35.538326,12.154875,75.859695,-10.147626
35.697691,10.215813,75.862269,-10.15223
35.857055,9.526786,75.864843,-10.156835
36.01642,10.114543,75.867417,-10.161439
36.175785,9.511046,75.869992,-10.166043
36.335149,9.583402,75.872566,-10.170648
36.494514,11.14873,75.875141,-10.175251
36.653879,13.803024,75.877715,-10.179856
36.813244,15.005475,75.88029,-10.18446
36.972608,14.620208,75.882864,-10.189065
37.131973,13.174734,75.885439,-10.193669
37.291338,11.582598,75.888013,-10.198273
37.450702,9.269547,75.890588,-10.202877
37.610067,9.759084,75.893163,-10.207482
37.769432,12.410048,75.895738,-10.212086
37.928796,15.272079,75.898313,-10.21669
38.088161,14.55849,75.900888,-10.221294
38.247526,12.324775,75.903464,-10.225898
38.40689,10.095011,75.906039,-10.230502
38.566255,8.857721,75.908614,-10.235106
38.72562,10.249863,75.911191,-10.23971
38.884985,11.675082,75.913765,-10.244314
39.044349,13.190374,75.916341,-10.248918
39.203714,12.704321,75.918916,-10.253522
39.363079,10.056093,75.921492,-10.258126
39.522443,9.442478,75.924068,-10.26273
39.681808,9.738649,75.926644,-10.267334
39.841173,9.203587,75.92922,-10.271938
40.000537,9.033246,75.931796,-10.276542
40.159902,10.103195,75.934372,-10.281145
40.319267,11.32636,75.936948,-10.285749
40.478631,11.152379,75.939524,-10.290353
40.637996,11.218063,75.942101,-10.294957
40.797361,13.473334,75.944678,-10.29956
40.956726,13.527687,75.947254,-10.304164
41.11609,10.102771,75.94983,-10.308768
41.275455,7.670761,75.952407,-10.313372
41.43482,6.829765,75.954984,-10.317975
41.594184,7.261252,75.95756,-10.322579
41.753549,7.865767,75.960137,-10.327183
41.912914,9.52616,75.962714,-10.331786
42.072278,13.041829,75.965291,-10.33639
42.231643,13.486436,75.967868,-10.340993
42.391008,11.426602,75.970446,-10.345597
42.550372,9.219546,75.973023,-10.350201
42.709737,7.865548,75.975601,-10.354803
42.869102,7.400839,75.978177,-10.359408
43.028466,7.424782,75.980755,-10.364011
43.187831,8.586002,75.983332,-10.368614
43.347196,9.175857,75.98591,-10.373218
43.506561,9.657438,75.988488,-10.377821
43.665925,8.596456,75.991066,-10.382425
43.82529,10.018048,75.993643,-10.387028
43.984655,13.526756,75.996221,-10.391631
44.144019,15.871611,75.998799,-10.396235
44.303384,16.133312,76.001377,-10.400838
44.462749,19.480629,76.003956,-10.405441
44.622113,18.457774,76.006534,-10.410045
44.781478,13.835369,76.009112,-10.414648
44.940843,10.68135,76.011691,-10.419251
45.100207,11.260832,76.014269,-10.423854
45.259572,11.353701,76.016849,-10.428457
45.418937,8.713997,76.019427,-10.43306
45.578302,6.971121,76.022005,-10.437664
45.737666,7.586744,76.024584,-10.442267
45.897031,9.26934,76.027162,-10.44687
46.056396,12.055175,76.029741,-10.451473
46.21576,13.019007,76.03232,-10.456076
46.375125,10.291902,76.034899,-10.460679
46.53449,8.75104,76.037479,-10.465282
46.693854,9.748451,76.040058,-10.469885
46.853219,8.469558,76.042637,-10.474488
47.012584,6.778652,76.045216,-10.479091
47.171948,6.401149,76.047796,-10.483694
47.331313,7.306585,76.050375,-10.488297
47.490678,9.560392,76.052955,-10.4929
47.650043,10.482846,76.055535,-10.497503
47.809407,11.016553,76.058114,-10.502106
47.968772,11.74996,76.060694,-10.506708
48.128137,10.956538,76.063275,-10.511311
48.287501,12.422856,76.065854,-10.515914
48.446866,11.691894,76.068434,-10.520517
48.606231,10.498147,76.071014,-10.525119
48.765595,10.97271,76.073595,-10.529722
48.92496,8.048146,76.076176,-10.534324
49.084325,6.005978,76.078755,-10.538928
49.243689,4.217065,76.081336,-10.54353
49.403054,4.012283,76.083916,-10.548133
49.562419,6.360713,76.086497,-10.552736
49.721783,9.202934,76.089078,-10.557338
49.881148,10.73561,76.091658,-10.561941
50.040513,11.204213,76.09424,-10.566543
50.199878,10.504702,76.09682,-10.571146
50.359242,8.909672,76.099401,-10.575748
50.518607,7.017677,76.101982,-10.580351
50.677972,5.846309,76.104563,-10.584953
50.837336,5.921497,76.107145,-10.589556
50.996701,7.744421,76.109727,-10.594158
51.156066,10.160375,76.112307,-10.598761
51.31543,11.084589,76.114889,-10.603363
51.474795,10.124261,76.117471,-10.607965
51.63416,10.430729,76.120052,-10.612568
51.793524,10.009928,76.122634,-10.61717
51.952889,9.365698,76.125216,-10.621772
52.112254,9.472451,76.127797,-10.626375
52.271619,9.299051,76.130379,-10.630977
52.430983,9.537788,76.132961,-10.635579
52.590348,9.821995,76.135543,-10.640181
52.749713,9.549917,76.138125,-10.644784
52.909077,8.278784,76.140708,-10.649386
53.068442,6.945929,76.14329,-10.653988
53.227807,9.119565,76.145872,-10.65859
53.387171,10.518002,76.148455,-10.663192
53.546536,9.275387,76.151037,-10.667794
53.705901,7.90003,76.15362,-10.672396
53.865265,6.642816,76.156203,-10.676998
54.02463,7.671527,76.158785,-10.6816
54.183995,7.596188,76.161368,-10.686202
54.34336,8.230097,76.163952,-10.690804
54.502724,8.095882,76.166534,-10.695406
54.662089,7.49854,76.169117,-10.700008
54.821454,9.674318,76.171701,-10.70461
54.980818,12.685599,76.174284,-10.709212
55.140183,13.764227,76.176867,-10.713814
55.299548,13.473776,76.179451,-10.718416
55.458912,9.897738,76.182034,-10.723018
55.618277,7.937089,76.184619,-10.727619
55.777642,8.09289,76.187201,-10.732221
55.937006,7.814145,76.189786,-10.736823
56.096371,9.534919,76.192369,-10.741425
56.255736,9.684512,76.194953,-10.746027
56.4151,8.585656,76.197537,-10.750628
56.574465,7.600792,76.200121,-10.75523
56.73383,9.815417,76.202705,-10.759832
56.893195,11.284541,76.205289,-10.764433
57.052559,13.197649,76.207873,-10.769035
57.211924,12.73644,76.210458,-10.773637
