position,Orthopyroxene Abundance,lon,lat
0,11.330083,74.538847,-11.0404
0.145433,15.510951,74.543629,-11.039413
0.290866,23.938114,74.548411,-11.038425
0.436299,14.911028,74.553192,-11.037438
0.581732,8.311127,74.557974,-11.03645
0.727165,11.678029,74.562756,-11.035462
0.872598,12.33567,74.567537,-11.034475
1.018031,11.010886,74.572319,-11.033487
1.163464,10.148637,74.577101,-11.032499
1.308897,9.57934,74.581882,-11.031511
1.45433,10.342307,74.586664,-11.030523
1.599763,9.615192,74.591445,-11.029535
1.745196,15.886054,74.596227,-11.028546
1.890629,10.677746,74.601008,-11.027558
2.036062,11.235445,74.60579,-11.02657
2.181495,15.004697,74.610571,-11.025581
2.326928,13.561672,74.615352,-11.024593
2.472361,14.788842,74.620134,-11.023604
2.617794,15.06638,74.624915,-11.022615
2.763227,14.092276,74.629696,-11.021627
2.90866,20.492873,74.634477,-11.020638
3.054093,21.616194,74.639259,-11.019649
3.199526,19.496356,74.64404,-11.01866
3.344959,15.813721,74.648821,-11.017671
3.490392,13.110175,74.653602,-11.016682
3.635825,14.080065,74.658383,-11.015693
3.781258,14.983738,74.663164,-11.014703
3.926691,11.880833,74.667945,-11.013714
4.072124,6.979295,74.672726,-11.012725
4.217557,7.359423,74.677507,-11.011735
4.36299,12.078127,74.682288,-11.010746
4.508424,10.955825,74.687069,-11.009756
4.653857,11.842026,74.691849,-11.008766
4.79929,14.140338,74.69663,-11.007777
4.944723,15.978659,74.701411,-11.006787
5.090156,14.872202,74.706192,-11.005797
5.235589,13.472955,74.710972,-11.004807
5.381022,13.04329,74.715753,-11.003817
5.526455,16.263,74.720534,-11.002826
5.671888,15.639958,74.725314,-11.001836
5.817321,14.018163,74.730095,-11.000846
5.962754,15.842282,74.734875,-10.999856
6.108187,17.010237,74.739656,-10.998865
6.25362,13.844948,74.744436,-10.997875
6.399053,15.177824,74.749217,-10.996883
6.544486,14.420461,74.753997,-10.995893
6.689919,11.186445,74.758778,-10.994902
6.835352,9.281955,74.763558,-10.993912
6.980785,8.911837,74.768338,-10.992921
7.126218,8.893446,74.773119,-10.99193
7.271651,9.185678,74.777899,-10.990939
7.417084,11.420419,74.782679,-10.989948
7.562517,10.034568,74.787459,-10.988956
7.70795,9.478937,74.792239,-10.987965
7.853383,8.479463,74.79702,-10.986974
7.998816,9.371896,74.8018,-10.985982
8.144249,10.284576,74.80658,-10.984991
8.289682,10.743571,74.81136,-10.983999
8.435115,11.369154,74.81614,-10.983008
8.580548,10.916351,74.82092,-10.982016
8.725981,12.406051,74.8257,-10.981024
8.871414,13.696791,74.83048,-10.980032
9.016847,13.349957,74.835259,-10.97904
9.16228,13.032237,74.840039,-10.978048
9.307713,12.809371,74.844819,-10.977056
9.453146,13.196267,74.849599,-10.976064
9.598579,14.94029,74.854379,-10.975072
9.744012,13.097575,74.859158,-10.974079
9.889445,13.40772,74.863938,-10.973087
10.034878,13.659536,74.868718,-10.972094
10.180311,14.141873,74.873497,-10.971102
10.325744,14.622624,74.878277,-10.970108
10.471177,15.940916,74.883056,-10.969117
10.61661,15.5633,74.887836,-10.968124
10.762043,14.536559,74.892615,-10.967131
10.907476,13.309946,74.897395,-10.966138
11.052909,12.622947,74.902174,-10.965145
11.198342,12.806849,74.906954,-10.964152
11.343775,13.422574,74.911733,-10.963159
11.489208,14.089495,74.916512,-10.962166
11.634641,14.231254,74.921292,-10.961172
11.780074,14.217363,74.926071,-10.960179
11.925507,15.1792,74.93085,-10.959185
12.07094,15.44356,74.935629,-10.958192
12.216373,17.116198,74.940408,-10.957198
12.361806,14.553003,74.945187,-10.956205
12.507239,11.81194,74.949967,-10.955211
12.652672,11.16967,74.954746,-10.954217
12.798105,11.125097,74.959525,-10.953223
12.943538,10.602581,74.964304,-10.952229
13.088971,9.984457,74.969083,-10.951235
13.234404,8.3696,74.973862,-10.950241
13.379837,7.721487,74.97864,-10.949247
13.525271,10.031796,74.983419,-10.948253
13.670704,11.622207,74.988198,-10.947258
13.816137,16.986617,74.992977,-10.946263
13.96157,19.144697,74.997756,-10.945269
14.107003,18.641411,75.002534,-10.944275
14.252436,17.568084,75.007313,-10.94328
14.397869,15.882664,75.012092,-10.942286
14.543302,14.703403,75.016871,-10.941291
14.688735,13.796948,75.021649,-10.940296
14.834168,13.573553,75.026428,-10.939301
14.979601,12.802998,75.031206,-10.938306
15.125034,12.812463,75.035985,-10.937311
15.270467,10.459056,75.040763,-10.936316
15.4159,7.10742,75.045542,-10.935321
15.561333,5.664691,75.05032,-10.934325
15.706766,6.807355,75.055099,-10.93333
15.852199,8.094121,75.059877,-10.932334
15.997632,9.186428,75.064655,-10.931339
16.143065,11.612008,75.069434,-10.930343
16.288498,13.18821,75.074212,-10.929348
16.433931,12.828828,75.07899,-10.928352
16.579364,12.891297,75.083768,-10.927356
16.724797,13.979028,75.088546,-10.92636
16.87023,12.600001,75.093324,-10.925364
17.015663,11.63559,75.098103,-10.924368
17.161096,11.239798,75.102881,-10.923372
17.306529,9.501208,75.107659,-10.922376
17.451962,7.919596,75.112437,-10.92138
17.597395,9.330967,75.117215,-10.920383
17.742828,12.257929,75.121993,-10.919387
17.888261,12.737879,75.126771,-10.91839
18.033694,12.396837,75.131548,-10.917394
18.179127,9.238647,75.136326,-10.916397
18.32456,7.257644,75.141104,-10.9154
18.469993,7.495853,75.145882,-10.914404
