position,Olivine Abundance,lon,lat
40.418446,0.764343,61.210263,-6.894065
40.686118,1.051069,61.210088,-6.90289
40.95379,1.65403,61.209912,-6.911716
41.221462,1.919944,61.209735,-6.920542
41.489133,1.965053,61.209559,-6.929367
41.756805,3.521041,61.209383,-6.938193
42.024477,2.929824,61.209208,-6.947018
42.292149,2.553916,61.209032,-6.955844
42.559821,3.118449,61.208856,-6.964669
42.827493,3.610076,61.20868,-6.973495
43.095164,3.656539,61.208504,-6.98232
43.362836,3.382473,61.208328,-6.991146
43.630508,3.024129,61.208152,-6.999971
43.89818,2.836867,61.207976,-7.008797
44.165852,2.557231,61.2078,-7.017622
44.433524,2.187715,61.207625,-7.026448
44.701195,2.393162,61.207449,-7.035273
44.968867,2.819295,61.207272,-7.044099
45.236539,2.745961,61.207097,-7.052924
45.504211,2.448296,61.20692,-7.06175
45.771883,2.572612,61.206744,-7.070575
46.039555,2.84427,61.206569,-7.079401
46.307226,2.767647,61.206393,-7.088226
46.574898,2.360896,61.206217,-7.097052
46.84257,2.060646,61.206041,-7.105878
47.110242,2.80659,61.205865,-7.114703
47.377914,3.159439,61.205689,-7.123529
47.645586,2.581149,61.205513,-7.132354
47.913257,2.335556,61.205337,-7.14118
48.180929,2.561043,61.205161,-7.150005
48.448601,2.797026,61.204984,-7.158831
48.716273,2.651983,61.204808,-7.167656
48.983945,2.643073,61.204632,-7.176482
49.251616,2.721218,61.204456,-7.185307
49.519288,2.668968,61.20428,-7.194133
49.78696,2.934835,61.204105,-7.202958
50.054632,3.270843,61.203929,-7.211784
50.322304,3.103305,61.203753,-7.220609
50.589976,2.499846,61.203576,-7.229435
50.857647,2.130438,61.203401,-7.23826
51.125319,2.681662,61.203224,-7.247086
51.392991,2.934843,61.203048,-7.255911
51.660663,2.497992,61.202872,-7.264737
51.928335,2.895918,61.202695,-7.273562
52.196007,3.175405,61.202519,-7.282388
52.463678,4.523146,61.202343,-7.291213
52.73135,4.78751,61.202168,-7.300039
52.999022,3.275081,61.201992,-7.308865
53.266694,2.581014,61.201815,-7.31769
53.534366,2.149407,61.201639,-7.326516
53.802038,2.727961,61.201462,-7.335341
54.069709,2.442244,61.201286,-7.344167
54.337381,2.75446,61.201111,-7.352992
54.605053,2.808045,61.200934,-7.361818
54.872725,3.375987,61.200758,-7.370643
55.140397,3.580059,61.200581,-7.379469
55.408069,3.324577,61.200405,-7.388294
55.67574,3.354445,61.20023,-7.39712
55.943412,3.482907,61.200054,-7.405945
56.211084,3.183935,61.199877,-7.414771
56.478756,3.335906,61.1997,-7.423596
56.746428,3.405495,61.199524,-7.432422
57.0141,3.150787,61.199348,-7.441247
57.281771,3.233126,61.199172,-7.450073
57.549443,3.2505,61.198995,-7.458898
57.817115,3.079764,61.198819,-7.467724
58.084787,2.832585,61.198644,-7.476549
58.352459,3.08966,61.198467,-7.485375
58.62013,3.695598,61.19829,-7.4942
58.887802,3.831717,61.198114,-7.503026
59.155474,3.2483,61.197938,-7.511852
59.423146,3.128004,61.197761,-7.520677
59.690818,3.73257,61.197586,-7.529503
59.95849,3.843133,61.197409,-7.538328
60.226161,3.678619,61.197233,-7.547154
60.493833,3.758392,61.197056,-7.555979
60.761505,3.549845,61.196879,-7.564805
61.029177,3.89272,61.196704,-7.57363
61.296849,3.685869,61.196527,-7.582456
61.564521,2.199864,61.19635,-7.591281
61.832192,1.904268,61.196174,-7.600107
62.099864,2.464176,61.195998,-7.608932
62.367536,1.295345,61.195821,-7.617758
62.635208,2.62985,61.195645,-7.626583
62.90288,3.126018,61.195469,-7.635409
63.170552,2.07723,61.195292,-7.644234
63.438223,1.406597,61.195116,-7.65306
63.705895,1.631503,61.194939,-7.661885
63.973567,2.785374,61.194763,-7.670711
64.241239,1.681944,61.194586,-7.679536
64.508911,1.483031,61.19441,-7.688362
64.776583,2.070461,61.194233,-7.697187
65.044254,2.338583,61.194058,-7.706013
65.311926,2.827065,61.19388,-7.714838
65.579598,2.921931,61.193704,-7.723664
65.84727,2.766045,61.193527,-7.73249
66.114942,2.893841,61.193351,-7.741315
66.382614,3.144897,61.193174,-7.750141
66.650285,3.526336,61.192998,-7.758966
66.917957,3.431012,61.192821,-7.767792
67.185629,3.344652,61.192645,-7.776617
67.453301,3.325714,61.192468,-7.785443
67.720973,2.832092,61.192292,-7.794268
67.988644,2.822845,61.192116,-7.803094
68.256316,2.766957,61.191939,-7.811919
68.523988,2.678524,61.191763,-7.820745
68.79166,3.062579,61.191586,-7.82957
69.059332,3.46489,61.191409,-7.838396
69.327004,3.604797,61.191233,-7.847221
69.594675,2.974957,61.191057,-7.856047
69.862347,2.307845,61.19088,-7.864872
70.130019,2.081758,61.190703,-7.873698
70.397691,2.234163,61.190526,-7.882523
70.665363,2.777012,61.19035,-7.891349
70.933035,3.227273,61.190173,-7.900174
71.200706,3.473983,61.189997,-7.909
