position,Plagioclase Abundance,lon,lat
0,74.867313,24.226648,-11.395676
0.187185,74.988795,24.232944,-11.395766
0.37437,74.689099,24.239241,-11.395856
0.561556,73.811781,24.245537,-11.395945
0.748741,71.577444,24.251834,-11.396035
0.935926,72.095168,24.25813,-11.396124
1.123111,72.982636,24.264427,-11.396213
1.310297,73.84226,24.270723,-11.396302
1.497482,74.632203,24.27702,-11.396391
1.684667,73.852678,24.283316,-11.39648
1.871852,73.343882,24.289613,-11.396568
2.059038,73.024026,24.295909,-11.396657
2.246223,74.835856,24.302206,-11.396745
2.433408,75.164276,24.308502,-11.396834
2.620593,74.468247,24.314799,-11.396921
2.807778,76.322827,24.321095,-11.39701
2.994964,77.548959,24.327392,-11.397097
3.182149,78.010908,24.333688,-11.397185
3.369334,79.597997,24.339985,-11.397273
3.556519,81.484306,24.346281,-11.39736
3.743705,81.049517,24.352578,-11.397447
3.93089,80.838011,24.358874,-11.397535
4.118075,81.445498,24.365171,-11.397622
4.30526,84.886912,24.371467,-11.397709
4.492446,84.642642,24.377764,-11.397795
4.679631,83.977728,24.38406,-11.397882
4.866816,83.646663,24.390357,-11.397968
5.054001,84.137617,24.396653,-11.398055
5.241186,83.946297,24.40295,-11.398141
5.428372,83.844249,24.409247,-11.398227
5.615557,84.350895,24.415543,-11.398313
5.802742,84.373333,24.42184,-11.398399
5.989927,84.364276,24.428136,-11.398484
6.177113,84.875987,24.434433,-11.39857
6.364298,84.975673,24.440729,-11.398656
6.551483,84.680716,24.447026,-11.398741
6.738668,84.486593,24.453323,-11.398826
6.925854,84.240364,24.459619,-11.398911
7.113039,83.986996,24.465916,-11.398996
7.300224,84.161147,24.472212,-11.399081
7.487409,84.240339,24.478509,-11.399165
7.674594,84.349104,24.484806,-11.399249
7.86178,84.268115,24.491102,-11.399334
8.048965,84.110473,24.497399,-11.399418
8.23615,83.85526,24.503695,-11.399502
8.423335,84.019209,24.509992,-11.399586
8.610521,85.017801,24.516289,-11.39967
8.797706,85.54756,24.522585,-11.399754
8.984891,85.659728,24.528882,-11.399837
9.172076,85.931356,24.535179,-11.399921
9.359262,86.656307,24.541475,-11.400003
9.546447,87.265659,24.547772,-11.400087
9.733632,87.294385,24.554068,-11.40017
9.920817,87.683503,24.560365,-11.400253
10.108002,87.340501,24.566662,-11.400336
10.295188,86.628295,24.572958,-11.400418
10.482373,85.838269,24.579255,-11.4005
10.669558,84.474864,24.585552,-11.400583
10.856743,83.858515,24.591848,-11.400666
11.043929,83.186056,24.598145,-11.400748
11.231114,83.555974,24.604442,-11.40083
11.418299,84.279016,24.610738,-11.400911
11.605484,84.799938,24.617035,-11.400993
11.79267,86.11988,24.623332,-11.401075
11.979855,86.468686,24.629628,-11.401156
12.16704,87.084599,24.635925,-11.401237
12.354225,86.973699,24.642222,-11.401318
12.54141,86.391979,24.648519,-11.401399
12.728596,86.914794,24.654815,-11.40148
12.915781,87.733341,24.661112,-11.40156
13.102966,87.936398,24.667409,-11.401642
13.290151,88.276212,24.673705,-11.401722
13.477337,89.023126,24.680002,-11.401802
13.664522,88.601002,24.686299,-11.401882
13.851707,88.685046,24.692596,-11.401963
14.038892,88.584551,24.698892,-11.402042
14.226078,88.491779,24.705189,-11.402121
14.413263,88.785197,24.711486,-11.402202
14.600448,88.484817,24.717782,-11.402281
14.787633,88.553421,24.724079,-11.402361
14.974818,88.842181,24.730376,-11.40244
15.162004,88.411931,24.736673,-11.402519
15.349189,87.518229,24.742969,-11.402598
15.536374,84.205807,24.749266,-11.402677
15.723559,81.309196,24.755563,-11.402756
15.910745,81.191701,24.76186,-11.402834
16.09793,81.083155,24.768156,-11.402913
16.285115,81.163809,24.774453,-11.402991
16.4723,80.802278,24.78075,-11.403069
16.659485,81.618142,24.787047,-11.403147
16.846671,82.721082,24.793344,-11.403225
17.033856,83.271229,24.79964,-11.403303
17.221041,85.054645,24.805937,-11.40338
17.408226,86.182987,24.812234,-11.403458
17.595412,85.628696,24.818531,-11.403536
17.782597,84.596312,24.824827,-11.403613
17.969782,84.440123,24.831124,-11.40369
18.156967,83.73561,24.837421,-11.403767
18.344153,83.594384,24.843718,-11.403844
18.531338,83.738978,24.850015,-11.40392
18.718523,84.175563,24.856312,-11.403997
18.905708,83.142514,24.862608,-11.404073
19.092893,80.475246,24.868905,-11.40415
19.280079,81.240799,24.875202,-11.404226
19.467264,83.221635,24.881499,-11.404302
19.654449,82.205679,24.887796,-11.404378
19.841634,81.337407,24.894092,-11.404454
20.02882,81.780453,24.900389,-11.404529
20.216005,82.7818,24.906686,-11.404604
20.40319,83.760883,24.912983,-11.40468
20.590375,84.663651,24.91928,-11.404755
20.777561,84.327087,24.925577,-11.40483
20.964746,84.355347,24.931874,-11.404905
21.151931,84.34308,24.93817,-11.40498
21.339116,84.427472,24.944467,-11.405055
21.526301,83.782087,24.950764,-11.40513
21.713487,83.178714,24.957061,-11.405204
21.900672,82.978222,24.963358,-11.405278
22.087857,81.184063,24.969655,-11.405352
22.275042,77.411317,24.975952,-11.405426
22.462228,75.781696,24.982248,-11.4055
22.649413,74.493115,24.988545,-11.405574
22.836598,78.532236,24.994842,-11.405648
23.023783,81.433804,25.001139,-11.405721
23.210969,80.554647,25.007436,-11.405795
23.398154,79.946062,25.013733,-11.405868
23.585339,79.765719,25.02003,-11.405941
23.772524,79.161783,25.026327,-11.406014
23.959709,79.2247,25.032624,-11.406087
24.146895,80.344934,25.038921,-11.406159
24.33408,81.764363,25.045217,-11.406232
24.521265,81.737378,25.051514,-11.406303
24.70845,80.7804,25.057811,-11.406377
24.895636,80.211458,25.064108,-11.406449
25.082821,80.450552,25.070405,-11.406521
25.270006,80.819328,25.076702,-11.406593
25.457191,82.335054,25.082999,-11.406664
25.644377,83.711536,25.089296,-11.406736
25.831562,83.349625,25.095593,-11.406807
26.018747,82.008658,25.10189,-11.406879
26.205932,83.111724,25.108187,-11.40695
26.393117,83.743366,25.114484,-11.407021
26.580303,84.215119,25.120781,-11.407092
26.767488,84.719704,25.127078,-11.407163
26.954673,84.98061,25.133375,-11.407233
27.141858,84.853255,25.139672,-11.407304
27.329044,85.096962,25.145968,-11.407374
27.516229,84.776629,25.152265,-11.407445
27.703414,84.101385,25.158562,-11.407515
27.890599,84.484875,25.164859,-11.407585
28.077785,84.524296,25.171156,-11.407655
28.26497,84.135011,25.177453,-11.407724
28.452155,84.24158,25.18375,-11.407794
28.63934,84.014474,25.190047,-11.407863
28.826525,83.73132,25.196344,-11.407933
29.013711,84.795388,25.202641,-11.408002
29.200896,86.167293,25.208938,-11.408071
29.388081,86.314394,25.215235,-11.40814
29.575266,86.38946,25.221532,-11.408209
29.762452,86.178894,25.227829,-11.408277
29.949637,85.834104,25.234126,-11.408346
30.136822,84.335226,25.240423,-11.408414
30.324007,85.382885,25.24672,-11.408483
30.511193,86.848413,25.253017,-11.408551
30.698378,86.931286,25.259314,-11.408619
30.885563,86.351543,25.265611,-11.408687
31.072748,85.699365,25.271908,-11.408754
31.259933,85.094481,25.278205,-11.408822
31.447119,84.371571,25.284502,-11.408889
31.634304,82.374368,25.290799,-11.408957
31.821489,80.746732,25.297097,-11.409024
32.008674,81.381273,25.303394,-11.409091
32.19586,81.077897,25.309691,-11.409158
32.383045,81.129996,25.315988,-11.409225
32.57023,81.806098,25.322285,-11.409291
32.757415,82.817436,25.328582,-11.409358
32.944601,82.880959,25.334879,-11.409424
33.131786,82.176714,25.341176,-11.40949
33.318971,83.131063,25.347473,-11.409556
33.506156,84.196776,25.35377,-11.409622
33.693341,84.398656,25.360067,-11.409688
33.880527,84.860588,25.366364,-11.409754
34.067712,85.122482,25.372661,-11.409819
34.254897,84.858227,25.378958,-11.409885
34.442082,84.129231,25.385255,-11.40995
34.629268,81.162024,25.391552,-11.410015
34.816453,78.651906,25.39785,-11.41008
35.003638,79.724068,25.404147,-11.410145
35.190823,81.387616,25.410444,-11.41021
35.378009,80.924075,25.416741,-11.410275
35.565194,80.456682,25.423038,-11.410339
35.752379,83.035158,25.429335,-11.410404
35.939564,85.933648,25.435632,-11.410468
36.126749,87.189872,25.441929,-11.410532
36.313935,87.254804,25.448226,-11.410596
36.50112,87.075881,25.454523,-11.41066
36.688305,86.65665,25.46082,-11.410723
36.87549,86.039833,25.467118,-11.410787
37.062676,85.58709,25.473415,-11.41085
37.249861,85.715764,25.479712,-11.410914
37.437046,85.89186,25.486009,-11.410977
37.624231,85.236415,25.492306,-11.41104
37.811417,85.679836,25.498603,-11.411103
37.998602,87.259031,25.5049,-11.411165
38.185787,84.806026,25.511197,-11.411228
38.372972,82.710669,25.517495,-11.411291
38.560157,82.528218,25.523792,-11.411353
38.747343,82.503372,25.530089,-11.411415
38.934528,82.567844,25.536386,-11.411477
39.121713,82.612406,25.542683,-11.411539
39.308898,82.074837,25.54898,-11.411601
39.496084,82.058985,25.555278,-11.411663
39.683269,82.672882,25.561575,-11.411724
39.870454,82.897802,25.567872,-11.411786
40.057639,82.842994,25.574169,-11.411847
40.244825,82.724272,25.580466,-11.411908
40.43201,83.269275,25.586763,-11.411969
40.619195,84.2244,25.59306,-11.41203
40.80638,84.506298,25.599358,-11.412091
40.993565,84.498815,25.605655,-11.412151
41.180751,84.892889,25.611952,-11.412212
41.367936,84.854366,25.618249,-11.412272
41.555121,84.874351,25.624546,-11.412331
41.742306,85.039818,25.630844,-11.412392
41.929492,84.593845,25.637141,-11.412452
42.116677,84.085329,25.643438,-11.412512
42.303862,83.924698,25.649735,-11.412572
42.491047,84.86872,25.656032,-11.412631
42.678233,85.887136,25.66233,-11.412691
42.865418,87.299212,25.668627,-11.41275
43.052603,88.181713,25.674924,-11.412809
43.239788,88.162442,25.681221,-11.412867
43.426973,87.4937,25.687518,-11.412927
43.614159,88.081569,25.693816,-11.412986
43.801344,88.273048,25.700113,-11.413044
43.988529,88.536685,25.70641,-11.413103
44.175714,88.462904,25.712707,-11.413161
44.3629,88.128263,25.719004,-11.413219
44.550085,88.309611,25.725302,-11.413277
44.73727,87.667784,25.731599,-11.413335
44.924455,87.431433,25.737896,-11.413393
45.111641,88.120124,25.744193,-11.413451
45.298826,88.344318,25.750491,-11.413508
45.486011,88.521063,25.756788,-11.413566
45.673196,88.670312,25.763085,-11.413622
45.860381,88.29241,25.769382,-11.413679
46.047567,87.387408,25.77568,-11.413737
46.234752,86.622608,25.781977,-11.413794
46.421937,86.667174,25.788274,-11.41385
46.609122,86.963913,25.794571,-11.413907
46.796308,87.137334,25.800869,-11.413963
46.983493,88.754938,25.807166,-11.41402
47.170678,88.015933,25.813463,-11.414076
47.357863,86.082192,25.81976,-11.414132
47.545048,86.27037,25.826058,-11.414188
47.732234,87.355973,25.832355,-11.414244
47.919419,87.146693,25.838652,-11.414299
48.106604,85.757187,25.844949,-11.414355
48.293789,84.172808,25.851247,-11.41441
48.480975,85.702764,25.857544,-11.414465
48.66816,86.184194,25.863841,-11.41452
48.855345,86.363416,25.870139,-11.414575
49.04253,86.62534,25.876436,-11.41463
49.229716,86.950448,25.882733,-11.414685
49.416901,86.78863,25.88903,-11.41474
49.604086,87.038488,25.895328,-11.414794
49.791271,87.092298,25.901625,-11.414848
49.978456,87.201802,25.907922,-11.414902
50.165642,87.64983,25.91422,-11.414956
50.352827,88.754242,25.920517,-11.41501
50.540012,89.208769,25.926814,-11.415064
50.727197,89.551556,25.933111,-11.415118
50.914383,89.282278,25.939409,-11.415171
51.101568,88.251265,25.945706,-11.415225
51.288753,88.245014,25.952003,-11.415278
51.475938,88.815824,25.958301,-11.415331
51.663124,88.144909,25.964598,-11.415384
51.850309,86.962221,25.970895,-11.415437
52.037494,85.692487,25.977193,-11.415488
52.224679,84.308625,25.98349,-11.415542
52.411864,83.845328,25.989787,-11.415594
52.59905,84.986948,25.996085,-11.415647
52.786235,84.62782,26.002382,-11.415699
52.97342,82.839799,26.008679,-11.415751
53.160605,80.947311,26.014977,-11.415803
53.347791,79.895665,26.021274,-11.415854
53.534976,80.974784,26.027571,-11.415906
53.722161,82.698669,26.033869,-11.415957
53.909346,82.990281,26.040166,-11.416009
54.096532,83.016373,26.046463,-11.41606
54.283717,84.400579,26.052761,-11.416111
54.470902,84.568322,26.059058,-11.416162
54.658087,83.940453,26.065355,-11.416213
54.845272,85.145834,26.071653,-11.416263
55.032458,85.423116,26.07795,-11.416314
55.219643,82.173482,26.084248,-11.416364
55.406828,79.526831,26.090545,-11.416415
55.594013,78.648748,26.096842,-11.416465
55.781199,80.413984,26.10314,-11.416515
55.968384,82.940661,26.109437,-11.416565
56.155569,85.19911,26.115734,-11.416614
56.342754,87.191866,26.122032,-11.416664
56.52994,87.984338,26.128329,-11.416713
56.717125,87.79632,26.134627,-11.416763
56.90431,88.039946,26.140924,-11.416812
57.091495,88.509595,26.147221,-11.41686
57.27868,86.190373,26.153519,-11.41691
57.465866,85.155634,26.159816,-11.416959
