position,TerrainSlope,lon,lat
0,13.066968,78.17567,-11.594536
0.166067,10.267767,78.170603,-11.592222
0.332133,7.884323,78.165536,-11.589907
0.4982,6.494404,78.16047,-11.587591
0.664267,5.072082,78.155403,-11.585278
0.830333,3.45272,78.150337,-11.582962
0.9964,2.426001,78.14527,-11.580648
1.162467,3.23085,78.140204,-11.578333
1.328533,2.770307,78.135138,-11.576017
1.4946,2.223623,78.130072,-11.573702
1.660667,2.755757,78.125006,-11.571387
1.826733,2.332685,78.11994,-11.569073
1.9928,0.864963,78.114874,-11.566757
2.158867,3.011026,78.109808,-11.564441
2.324933,6.609557,78.104743,-11.562125
2.491,9.274067,78.099677,-11.559809
2.657067,10.371105,78.094611,-11.557494
2.823133,10.986416,78.089545,-11.555179
2.9892,11.471561,78.08448,-11.552863
3.155267,11.677294,78.079415,-11.550546
3.321333,11.682206,78.07435,-11.54823
3.4874,11.712647,78.069284,-11.545915
3.653467,11.322299,78.064219,-11.543598
3.819533,11.25967,78.059155,-11.541281
3.9856,11.553256,78.054089,-11.538966
4.151667,11.196945,78.049025,-11.536648
4.317733,10.162531,78.04396,-11.534331
4.4838,9.742679,78.038896,-11.532015
4.649867,9.82112,78.033831,-11.529698
4.815933,9.052921,78.028767,-11.527381
4.982,8.407625,78.023702,-11.525064
5.148066,8.40148,78.018638,-11.522747
5.314133,8.170219,78.013573,-11.520431
5.4802,7.395975,78.008509,-11.518114
5.646266,7.076595,78.003445,-11.515796
5.812333,7.699923,77.998381,-11.513479
5.9784,7.995045,77.993317,-11.511162
6.144466,7.660678,77.988253,-11.508844
6.310533,7.452245,77.98319,-11.506526
6.4766,8.050214,77.978126,-11.504209
6.642666,8.848869,77.973063,-11.501891
6.808733,9.110882,77.967999,-11.499573
6.9748,9.002948,77.962936,-11.497254
7.140866,8.522251,77.957872,-11.494937
7.306933,7.961734,77.952809,-11.492618
7.473,8.443918,77.947746,-11.4903
7.639066,8.938199,77.942683,-11.487981
7.805133,8.743745,77.93762,-11.485663
7.9712,8.877383,77.932557,-11.483345
8.137266,8.963867,77.927494,-11.481026
8.303333,8.088114,77.922432,-11.478708
8.4694,6.968945,77.917369,-11.476389
8.635466,6.643661,77.912306,-11.47407
8.801533,6.348584,77.907244,-11.471751
8.9676,6.013531,77.902181,-11.469432
9.133666,6.663147,77.897119,-11.467113
9.299733,7.356481,77.892057,-11.464793
9.4658,7.219364,77.886995,-11.462474
9.631866,6.745288,77.881933,-11.460154
9.797933,5.834404,77.876871,-11.457835
9.964,5.458018,77.871809,-11.455514
10.130066,5.435902,77.866747,-11.453196
10.296133,5.799285,77.861685,-11.450876
10.4622,6.449059,77.856624,-11.448556
10.628266,6.672689,77.851562,-11.446236
10.794333,6.479199,77.846501,-11.443915
10.9604,6.582663,77.841439,-11.441596
11.126466,7.156138,77.836378,-11.439275
