position,Iron Abundance,lon,lat
33.718372,7.906991,59.978123,-9.871485
33.941672,7.903325,59.983685,-9.866565
34.164973,7.899767,59.989246,-9.861644
34.388273,7.896319,59.994807,-9.856724
34.611573,7.89298,60.000367,-9.851803
34.834874,7.889751,60.005928,-9.846883
35.058174,7.886631,60.011488,-9.841962
35.281475,7.88362,60.017049,-9.837041
35.504775,7.880718,60.022609,-9.83212
35.728076,7.877926,60.028169,-9.827199
35.951376,7.875244,60.033728,-9.822278
36.174677,7.87267,60.039288,-9.817357
36.397977,7.870206,60.044847,-9.812435
36.621278,7.867851,60.050407,-9.807514
36.844578,7.865605,60.055966,-9.802593
37.067879,7.863469,60.061525,-9.797671
37.291179,7.861442,60.067084,-9.79275
37.51448,7.859525,60.072642,-9.787828
37.73778,7.857717,60.0782,-9.782906
37.961081,7.856018,60.083759,-9.777984
38.184381,7.854428,60.089317,-9.773062
38.407682,7.852948,60.094875,-9.76814
38.630982,7.851577,60.100433,-9.763218
38.854282,7.850315,60.10599,-9.758295
39.077583,7.848978,60.111548,-9.753373
39.300883,7.846355,60.117105,-9.74845
39.524184,7.838426,60.122662,-9.743528
39.747484,7.830344,60.128219,-9.738605
39.970785,7.822108,60.133776,-9.733682
40.194085,7.813719,60.139332,-9.72876
40.417386,7.805176,60.144889,-9.723837
40.640686,7.79648,60.150445,-9.718914
40.863987,7.787631,60.156001,-9.713991
41.087287,7.778628,60.161557,-9.709067
41.310588,7.769472,60.167113,-9.704144
41.533888,7.760162,60.172669,-9.699221
41.757189,7.750699,60.178224,-9.694297
41.980489,7.741082,60.18378,-9.689374
42.20379,7.731312,60.189335,-9.68445
42.42709,7.721389,60.19489,-9.679527
42.650391,7.711312,60.200445,-9.674603
42.873691,7.701082,60.205999,-9.669679
43.096991,7.690699,60.211554,-9.664755
43.320292,7.680162,60.217108,-9.659831
43.543592,7.669472,60.222662,-9.654907
43.766893,7.658628,60.228216,-9.649982
43.990193,7.647631,60.23377,-9.645058
44.213494,7.63648,60.239324,-9.640134
44.436794,7.624612,60.244877,-9.635209
44.660095,7.606408,60.250431,-9.630284
44.883395,7.588003,60.255984,-9.62536
45.106696,7.569647,60.261537,-9.620435
45.329996,7.551378,60.26709,-9.61551
45.553297,7.533197,60.272643,-9.610585
45.776597,7.515103,60.278195,-9.60566
45.999898,7.497096,60.283748,-9.600735
46.223198,7.479178,60.2893,-9.59581
46.446499,7.461346,60.294852,-9.590884
46.669799,7.443602,60.300404,-9.585959
46.8931,7.425945,60.305956,-9.581033
47.1164,7.408376,60.311507,-9.576108
47.3397,7.390895,60.317059,-9.571182
47.563001,7.373501,60.32261,-9.566256
47.786301,7.356194,60.328161,-9.561331
48.009602,7.338975,60.333712,-9.556405
48.232902,7.321843,60.339263,-9.551479
48.456203,7.304799,60.344813,-9.546553
48.679503,7.287843,60.350364,-9.541626
48.902804,7.270973,60.355914,-9.5367
49.126104,7.254191,60.361464,-9.531774
49.349405,7.237497,60.367014,-9.526847
49.572705,7.22089,60.372564,-9.521921
49.796006,7.204371,60.378114,-9.516994
50.019306,7.187939,60.383663,-9.512067
50.242607,7.171595,60.389213,-9.507141
50.465907,7.155338,60.394762,-9.502214
50.689208,7.139168,60.400311,-9.497287
50.912508,7.123086,60.40586,-9.49236
51.135809,7.107092,60.411408,-9.487432
51.359109,7.091185,60.416957,-9.482505
51.58241,7.075365,60.422505,-9.477578
51.80571,7.059633,60.428054,-9.47265
52.02901,7.043988,60.433602,-9.467723
52.252311,7.028431,60.43915,-9.462795
52.475611,7.012961,60.444697,-9.457868
52.698912,6.997578,60.450245,-9.45294
52.922212,6.982284,60.455792,-9.448012
53.145513,6.967076,60.46134,-9.443084
53.368813,6.951956,60.466887,-9.438156
53.592114,6.936923,60.472434,-9.433228
53.815414,6.921978,60.47798,-9.4283
54.038715,6.90712,60.483527,-9.423371
54.262015,6.89235,60.489074,-9.418443
54.485316,6.877667,60.49462,-9.413515
54.708616,6.863072,60.500166,-9.408586
54.931917,6.848564,60.505712,-9.403657
55.155217,6.834143,60.511258,-9.398729
55.378518,6.81981,60.516804,-9.3938
55.601818,6.805564,60.522349,-9.388871
55.825119,6.791406,60.527895,-9.383942
56.048419,6.777335,60.53344,-9.379013
56.271719,6.763351,60.538985,-9.374084
56.49502,6.749455,60.54453,-9.369154
56.71832,6.735647,60.550074,-9.364225
56.941621,6.721926,60.555619,-9.359296
57.164921,6.708292,60.561163,-9.354366
57.388222,6.694746,60.566708,-9.349437
57.611522,6.681287,60.572252,-9.344507
57.834823,6.667915,60.577796,-9.339577
58.058123,6.654631,60.58334,-9.334647
58.281424,6.641434,60.588883,-9.329717
58.504724,6.628325,60.594427,-9.324787
58.728025,6.615303,60.59997,-9.319857
58.951325,6.602369,60.605513,-9.314927
59.174626,6.589522,60.611056,-9.309997
59.397926,6.576762,60.616599,-9.305066
59.621227,6.56409,60.622142,-9.300136
59.844527,6.551505,60.627684,-9.295205
60.067828,6.539007,60.633227,-9.290275
60.291128,6.526597,60.638769,-9.285344
60.514428,6.514275,60.644311,-9.280413
60.737729,6.50204,60.649853,-9.275482
60.961029,6.489892,60.655395,-9.270551
61.18433,6.477831,60.660936,-9.26562
61.40763,6.465858,60.666478,-9.260689
61.630931,6.453973,60.672019,-9.255758
61.854231,6.444969,60.67756,-9.250827
62.077532,6.439857,60.683101,-9.245895
62.300832,6.440273,60.688642,-9.240964
62.524133,6.440733,60.694183,-9.236032
62.747433,6.441238,60.699723,-9.231101
62.970734,6.441786,60.705264,-9.226169
63.194034,6.442378,60.710804,-9.221237
63.417335,6.443014,60.716344,-9.216305
63.640635,6.443693,60.721884,-9.211373
63.863936,6.444417,60.727424,-9.206441
64.087236,6.445184,60.732963,-9.201509
64.310537,6.445996,60.738503,-9.196577
64.533837,6.446984,60.744042,-9.191645
64.757137,6.448353,60.749581,-9.186712
64.980438,6.449924,60.75512,-9.18178
65.203738,6.451472,60.760659,-9.176847
65.427039,6.452999,60.766198,-9.171914
65.650339,6.454504,60.771736,-9.166982
65.87364,6.455988,60.777275,-9.162049
66.09694,6.45745,60.782813,-9.157116
66.320241,6.45889,60.788351,-9.152183
66.543541,6.460308,60.793889,-9.14725
66.766842,6.461704,60.799427,-9.142317
66.990142,6.463079,60.804964,-9.137383
67.213443,6.464433,60.810502,-9.13245
67.436743,6.465764,60.816039,-9.127517
67.660044,6.467074,60.821576,-9.122583
67.883344,6.468362,60.827113,-9.11765
68.106645,6.469628,60.83265,-9.112716
68.329945,6.470872,60.838186,-9.107782
68.553246,6.472095,60.843723,-9.102848
68.776546,6.473296,60.849259,-9.097914
68.999846,6.474476,60.854796,-9.092981
69.223147,6.475633,60.860332,-9.088046
69.446447,6.476769,60.865868,-9.083112
69.669748,6.477884,60.871403,-9.078178
69.893048,6.478976,60.876939,-9.073244
70.116349,6.480047,60.882474,-9.068309
70.339649,6.481096,60.88801,-9.063375
70.56295,6.482123,60.893545,-9.05844
70.78625,6.483129,60.89908,-9.053506
71.009551,6.484113,60.904615,-9.048571
71.232851,6.485075,60.910149,-9.043636
71.456152,6.486015,60.915684,-9.038701
71.679452,6.486934,60.921218,-9.033766
71.902753,6.487831,60.926753,-9.028831
72.126053,6.488707,60.932287,-9.023896
72.349354,6.48956,60.937821,-9.018961
72.572654,6.490392,60.943354,-9.014025
72.795955,6.491202,60.948888,-9.00909
73.019255,6.491991,60.954422,-9.004154
73.242555,6.492758,60.959955,-8.999219
73.465856,6.493503,60.965488,-8.994283
73.689156,6.494226,60.971021,-8.989347
73.912457,6.494928,60.976554,-8.984412
74.135757,6.495608,60.982087,-8.979476
74.359058,6.496266,60.987619,-8.97454
74.582358,6.496902,60.993152,-8.969604
74.805659,6.497517,60.998684,-8.964667
75.028959,6.49811,61.004216,-8.959731
75.25226,6.498682,61.009748,-8.954795
75.47556,6.499231,61.01528,-8.949858
75.698861,6.499759,61.020812,-8.944922
75.922161,6.500265,61.026343,-8.939985
76.145462,6.50075,61.031875,-8.935049
76.368762,6.501213,61.037406,-8.930112
76.592063,6.501654,61.042937,-8.925175
76.815363,6.502073,61.048468,-8.920238
77.038664,6.502471,61.053999,-8.915302
77.261964,6.502847,61.059529,-8.910364
77.485264,6.503201,61.06506,-8.905427
77.708565,6.503533,61.07059,-8.90049
77.931865,6.503844,61.07612,-8.895553
78.155166,6.504134,61.08165,-8.890615
78.378466,6.504401,61.08718,-8.885678
78.601767,6.504646,61.09271,-8.88074
78.825067,6.50487,61.098239,-8.875803
79.048368,6.505073,61.103769,-8.870865
79.271668,6.505253,61.109298,-8.865927
79.494969,6.505412,61.114827,-8.860989
79.718269,6.505549,61.120356,-8.856051
79.94157,6.505665,61.125885,-8.851113
80.16487,6.505759,61.131414,-8.846175
80.388171,6.505831,61.136942,-8.841237
80.611471,6.505881,61.142471,-8.836299
80.834772,6.50591,61.148,-8.831361
81.058072,6.505917,61.153527,-8.826422
81.281373,6.505902,61.159055,-8.821483
81.504673,6.505866,61.164583,-8.816545
81.727973,6.505807,61.170111,-8.811606
81.951274,6.505728,61.175638,-8.806667
82.174574,6.505626,61.181165,-8.801729
82.397875,6.505503,61.186693,-8.79679
82.621175,6.505358,61.19222,-8.791851
82.844476,6.505191,61.197747,-8.786912
83.067776,6.505003,61.203273,-8.781972
83.291077,6.504793,61.2088,-8.777033
83.514377,6.504561,61.214327,-8.772094
83.737678,6.504307,61.219853,-8.767154
83.960978,6.504032,61.225379,-8.762215
84.184279,6.503735,61.230905,-8.757275
84.407579,6.503416,61.236431,-8.752336
84.63088,6.504389,61.241957,-8.747396
84.85418,6.506841,61.247482,-8.742456
85.077481,6.510528,61.253008,-8.737516
85.300781,6.514309,61.258533,-8.732576
85.524082,6.518067,61.264058,-8.727636
85.747382,6.521805,61.269583,-8.722696
85.970683,6.52552,61.275108,-8.717756
86.193983,6.529214,61.280633,-8.712816
86.417283,6.532886,61.286157,-8.707875
86.640584,6.536537,61.291682,-8.702935
86.863884,6.540165,61.297206,-8.697994
87.087185,6.543772,61.30273,-8.693054
87.310485,6.547357,61.308254,-8.688113
87.533786,6.550921,61.313778,-8.683172
87.757086,6.554462,61.319302,-8.678231
87.980387,6.557982,61.324825,-8.673291
88.203687,6.561481,61.330349,-8.66835
88.426988,6.564957,61.335872,-8.663408
88.650288,6.568412,61.341395,-8.658467
88.873589,6.571845,61.346918,-8.653526
89.096889,6.575257,61.352441,-8.648585
89.32019,6.578647,61.357964,-8.643643
89.54349,6.582014,61.363486,-8.638702
89.766791,6.585361,61.369009,-8.63376
89.990091,6.588685,61.374531,-8.628819
90.213392,6.591988,61.380053,-8.623877
90.436692,6.595269,61.385575,-8.618935
90.659992,6.598529,61.391097,-8.613993
90.883293,6.601766,61.396618,-8.609051
91.106593,6.604982,61.40214,-8.604109
91.329894,6.608176,61.407661,-8.599167
91.553194,6.611349,61.413183,-8.594225
91.776495,6.6145,61.418704,-8.589283
91.999795,6.617629,61.424225,-8.58434
92.223096,6.620736,61.429745,-8.579398
92.446396,6.623822,61.435266,-8.574456
92.669697,6.626886,61.440787,-8.569513
92.892997,6.629928,61.446307,-8.56457
93.116298,6.632948,61.451827,-8.559628
93.339598,6.635947,61.457347,-8.554685
93.562899,6.638924,61.462867,-8.549742
93.786199,6.641879,61.468387,-8.544799
94.0095,6.644813,61.473907,-8.539856
94.2328,6.647725,61.479426,-8.534913
94.456101,6.650615,61.484946,-8.529969
94.679401,6.653484,61.490465,-8.525026
94.902701,6.65633,61.495984,-8.520083
95.126002,6.659155,61.501503,-8.515139
95.349302,6.661958,61.507022,-8.510196
95.572603,6.66474,61.51254,-8.505252
95.795903,6.6675,61.518059,-8.500309
96.019204,6.670238,61.523577,-8.495365
96.242504,6.672954,61.529096,-8.490421
96.465805,6.675649,61.534614,-8.485477
96.689105,6.678322,61.540132,-8.480533
96.912406,6.680974,61.545649,-8.475589
97.135706,6.683603,61.551167,-8.470645
97.359007,6.686211,61.556685,-8.465701
97.582307,6.688797,61.562202,-8.460756
97.805608,6.691362,61.567719,-8.455812
98.028908,6.693905,61.573236,-8.450868
98.252209,6.696426,61.578753,-8.445923
98.475509,6.698925,61.58427,-8.440979
98.69881,6.701403,61.589787,-8.436034
98.92211,6.703859,61.595303,-8.431089
99.14541,6.706293,61.60082,-8.426144
99.368711,6.708705,61.606336,-8.421199
99.592011,6.711096,61.611852,-8.416254
99.815312,6.713465,61.617368,-8.411309
100.038612,6.715813,61.622884,-8.406364
100.261913,6.718138,61.6284,-8.401419
100.485213,6.720442,61.633915,-8.396474
100.708514,6.722725,61.639431,-8.391528
100.931814,6.724985,61.644946,-8.386583
101.155115,6.727224,61.650461,-8.381637
101.378415,6.729441,61.655976,-8.376692
101.601716,6.731636,61.661491,-8.371746
101.825016,6.73381,61.667005,-8.3668
102.048317,6.735962,61.67252,-8.361854
102.271617,6.738093,61.678034,-8.356909
102.494918,6.740201,61.683549,-8.351963
102.718218,6.742288,61.689063,-8.347017
102.941519,6.744353,61.694577,-8.34207
103.164819,6.746396,61.700091,-8.337124
103.388119,6.748418,61.705604,-8.332178
103.61142,6.750418,61.711118,-8.327232
103.83472,6.752397,61.716632,-8.322285
104.058021,6.754354,61.722145,-8.317339
104.281321,6.756289,61.727658,-8.312392
104.504622,6.758202,61.733171,-8.307445
104.727922,6.760093,61.738684,-8.302499
104.951223,6.7624,61.744197,-8.297552
105.174523,6.766733,61.749709,-8.292605
105.397824,6.771766,61.755222,-8.287658
105.621124,6.776826,61.760734,-8.282711
105.844425,6.781886,61.766246,-8.277764
106.067725,6.786946,61.771759,-8.272817
106.291026,6.792007,61.77727,-8.267869
106.514326,6.797067,61.782782,-8.262922
106.737627,6.802127,61.788294,-8.257975
106.960927,6.807188,61.793805,-8.253027
107.184228,6.811743,61.799317,-8.248079
107.407528,6.815509,61.804828,-8.243132
107.630828,6.819146,61.810339,-8.238184
107.854129,6.822718,61.81585,-8.233236
108.077429,6.826225,61.821361,-8.228288
108.30073,6.829667,61.826871,-8.22334
108.52403,6.833043,61.832382,-8.218392
108.747331,6.836353,61.837892,-8.213444
108.970631,6.839598,61.843403,-8.208496
109.193932,6.842778,61.848913,-8.203548
109.417232,6.845892,61.854423,-8.1986
109.640533,6.848941,61.859933,-8.193651
109.863833,6.851925,61.865442,-8.188703
110.087134,6.854843,61.870952,-8.183754
110.310434,6.857695,61.876461,-8.178806
110.533735,6.860482,61.881971,-8.173857
110.757035,6.863204,61.88748,-8.168908
110.980336,6.865861,61.892989,-8.163959
111.203636,6.868452,61.898498,-8.15901
111.426937,6.870977,61.904007,-8.154061
111.650237,6.873437,61.909515,-8.149112
111.873537,6.875832,61.915024,-8.144163
112.096838,6.878161,61.920532,-8.139214
112.320138,6.880425,61.92604,-8.134265
112.543439,6.882624,61.931548,-8.129315
112.766739,6.884757,61.937056,-8.124366
112.99004,6.886824,61.942564,-8.119416
113.21334,6.888827,61.948072,-8.114467
113.436641,6.890764,61.953579,-8.109517
113.659941,6.892635,61.959087,-8.104567
113.883242,6.894441,61.964594,-8.099617
114.106542,6.896182,61.970101,-8.094668
114.329843,6.897857,61.975608,-8.089718
114.553143,6.899467,61.981115,-8.084768
114.776444,6.901011,61.986622,-8.079818
114.999744,6.90249,61.992128,-8.074867
115.223045,6.903904,61.997635,-8.069917
115.446345,6.905252,62.003141,-8.064967
115.669646,6.906535,62.008647,-8.060016
115.892946,6.907752,62.014153,-8.055066
116.116246,6.908905,62.019659,-8.050115
