position,Olivine Abundance,lon,lat
26.548715,3.608008,25.502119,-10.662025
26.724534,3.997874,25.506174,-10.666237
26.900353,4.263314,25.510228,-10.670449
27.076173,3.578526,25.514283,-10.674661
27.251992,4.510307,25.518339,-10.678873
27.427811,5.119163,25.522393,-10.683085
27.60363,4.299593,25.526448,-10.687297
27.77945,3.655182,25.530503,-10.691509
27.955269,2.202973,25.534559,-10.695721
28.131088,1.166019,25.538614,-10.699933
28.306908,0.029992,25.542669,-10.704144
28.482727,0.004798,25.546725,-10.708356
28.658546,0.194114,25.550782,-10.712567
28.834366,0.32954,25.554837,-10.716779
29.010185,0.266532,25.558893,-10.720991
29.186004,0.211745,25.562949,-10.725202
29.361824,1.80151,25.567006,-10.729413
29.537643,2.272877,25.571061,-10.733625
29.713462,2.789726,25.575118,-10.737836
29.889281,3.191481,25.579174,-10.742047
30.065101,1.104374,25.583231,-10.746258
30.24092,0.874048,25.587288,-10.75047
30.416739,0.396794,25.591345,-10.754681
30.592559,0.420837,25.595402,-10.758892
30.768378,0.763086,25.599459,-10.763103
30.944197,0.661805,25.603517,-10.767313
31.120017,1.107383,25.607573,-10.771524
31.295836,1.006082,25.611631,-10.775735
31.471655,0.771537,25.615688,-10.779946
31.647474,0.697165,25.619746,-10.784157
31.823294,0.590024,25.623804,-10.788367
31.999113,1.388781,25.627862,-10.792578
32.174932,1.938608,25.63192,-10.796788
32.350752,2.300481,25.635978,-10.800999
32.526571,1.92259,25.640036,-10.805209
32.70239,0.818351,25.644095,-10.809419
32.87821,1.573368,25.648153,-10.81363
33.054029,2.140554,25.652212,-10.81784
33.229848,2.383543,25.656271,-10.82205
33.405667,1.216723,25.660329,-10.826261
33.581487,1.323223,25.664388,-10.830471
33.757306,1.233217,25.668447,-10.834681
33.933125,0.618448,25.672506,-10.838891
34.108945,1.184759,25.676566,-10.843101
34.284764,2.609107,25.680626,-10.84731
34.460583,3.457428,25.684684,-10.851521
34.636403,3.622173,25.688744,-10.85573
34.812222,3.88092,25.692804,-10.85994
34.988041,3.964868,25.696864,-10.86415
35.163861,4.379502,25.700924,-10.868359
35.33968,4.196543,25.704984,-10.872569
35.515499,4.369649,25.709044,-10.876779
35.691318,3.891429,25.713104,-10.880988
35.867138,4.408646,25.717165,-10.885197
36.042957,4.517926,25.721226,-10.889406
36.218776,4.004671,25.725286,-10.893616
36.394596,3.596102,25.729346,-10.897825
36.570415,4.829224,25.733407,-10.902035
36.746234,5.06924,25.737468,-10.906244
36.922054,5.136475,25.741529,-10.910453
37.097873,4.901102,25.745591,-10.914662
37.273692,5.230528,25.749653,-10.91887
37.449511,5.047319,25.753713,-10.92308
37.625331,4.550622,25.757775,-10.927289
37.80115,4.424962,25.761837,-10.931498
37.976969,4.485538,25.765899,-10.935706
38.152789,4.628463,25.76996,-10.939915
38.328608,4.308853,25.774022,-10.944124
38.504427,4.180313,25.778085,-10.948332
38.680247,4.761157,25.782147,-10.952541
38.856066,4.810304,25.786209,-10.95675
39.031885,4.864313,25.790272,-10.960958
39.207704,4.744893,25.794334,-10.965166
39.383524,4.974167,25.798398,-10.969374
39.559343,4.756848,25.80246,-10.973583
39.735162,4.163657,25.806524,-10.977791
39.910982,3.903114,25.810586,-10.981999
40.086801,3.325252,25.81465,-10.986207
40.26262,2.632481,25.818712,-10.990416
40.43844,2.809099,25.822776,-10.994624
40.614259,3.003869,25.82684,-10.998831
40.790078,2.325912,25.830903,-11.00304
40.965897,1.672347,25.834967,-11.007247
41.141717,1.433302,25.839031,-11.011455
41.317536,1.693786,25.843095,-11.015663
41.493355,1.16166,25.847159,-11.01987
41.669175,2.198064,25.851223,-11.024078
41.844994,2.687038,25.855288,-11.028285
42.020813,2.827574,25.859352,-11.032494
42.196633,2.456776,25.863416,-11.036701
42.372452,2.206098,25.867481,-11.040908
42.548271,2.588444,25.871546,-11.045116
42.724091,3.072131,25.875611,-11.049323
42.89991,3.187656,25.879676,-11.05353
43.075729,3.108292,25.883741,-11.057738
43.251548,2.699269,25.887806,-11.061945
43.427368,2.9856,25.891872,-11.066152
43.603187,2.808202,25.895937,-11.070359
43.779006,2.636515,25.900003,-11.074566
43.954826,2.134517,25.904069,-11.078773
44.130645,2.491859,25.908134,-11.08298
44.306464,2.46771,25.9122,-11.087187
44.482284,2.961677,25.916267,-11.091393
44.658103,4.166292,25.920333,-11.0956
44.833922,3.734291,25.9244,-11.099806
45.009741,2.950118,25.928466,-11.104013
45.185561,2.921011,25.932532,-11.10822
45.36138,3.078491,25.936599,-11.112427
45.537199,3.073763,25.940666,-11.116633
45.713019,2.401141,25.944733,-11.120839
45.888838,1.962168,25.9488,-11.125046
46.064657,2.319428,25.952867,-11.129252
