position,TerrainHeight,lon,lat
0,-1547.123194,27.682888,-9.932081
0.181133,-1555.036435,27.678609,-9.936314
0.362265,-1569.184397,27.674329,-9.940546
0.543398,-1584.177491,27.67005,-9.944778
0.72453,-1593.961179,27.665771,-9.949012
0.905663,-1596.663629,27.661491,-9.953244
1.086795,-1595.091371,27.657213,-9.957477
1.267928,-1589.747488,27.652932,-9.961709
1.44906,-1575.04062,27.648652,-9.965941
1.630193,-1552.238588,27.644373,-9.970173
1.811325,-1534.872754,27.640094,-9.974407
1.992458,-1517.952193,27.635813,-9.978638
2.173591,-1515.365095,27.631533,-9.982871
2.354723,-1512.026181,27.627252,-9.987102
2.535856,-1500.926454,27.622973,-9.991335
2.716988,-1486.83005,27.618692,-9.995567
2.898121,-1459.18727,27.614411,-9.999799
3.079253,-1416.865793,27.610131,-10.004031
3.260386,-1366.225749,27.60585,-10.008263
3.441518,-1314.283523,27.601569,-10.012495
3.622651,-1282.266833,27.597288,-10.016727
3.803783,-1270.848544,27.593006,-10.020958
3.984916,-1272.525337,27.588726,-10.02519
4.166048,-1282.09471,27.584443,-10.029421
4.347181,-1293.325887,27.580163,-10.033654
4.528314,-1308.9205,27.575881,-10.037885
4.709446,-1313.56086,27.571599,-10.042117
4.890579,-1303.406556,27.567317,-10.046347
5.071711,-1291.562979,27.563036,-10.050579
5.252844,-1306.023948,27.558754,-10.054811
5.433976,-1333.941897,27.554472,-10.059042
5.615109,-1358.191042,27.550189,-10.063273
5.796241,-1386.620321,27.545906,-10.067503
5.977374,-1418.254324,27.541623,-10.071734
6.158506,-1431.215835,27.537342,-10.075966
6.339639,-1435.337302,27.533059,-10.080197
6.520772,-1437.927784,27.528775,-10.084427
6.701904,-1437.360237,27.524492,-10.088658
6.883037,-1431.612412,27.520209,-10.092889
7.064169,-1413.589648,27.515926,-10.09712
7.245302,-1383.130635,27.511644,-10.101351
7.426434,-1349.374691,27.50736,-10.105582
7.607567,-1301.89179,27.503076,-10.109812
7.788699,-1256.322626,27.498793,-10.114043
7.969832,-1224.343288,27.494509,-10.118272
8.150964,-1204.388968,27.490225,-10.122503
8.332097,-1191.093352,27.485942,-10.126734
8.513229,-1182.452449,27.481657,-10.130964
8.694362,-1186.967264,27.477373,-10.135195
8.875495,-1188.712686,27.473088,-10.139424
9.056627,-1176.147422,27.468805,-10.143655
9.23776,-1141.253484,27.464519,-10.147884
9.418892,-1113.786009,27.460235,-10.152115
9.600025,-1131.190181,27.455951,-10.156345
9.781157,-1175.011358,27.451665,-10.160574
9.96229,-1224.861459,27.44738,-10.164804
10.143422,-1268.648643,27.443095,-10.169034
10.324555,-1299.156743,27.43881,-10.173264
10.505687,-1330.194151,27.434525,-10.177494
10.68682,-1358.20845,27.430239,-10.181723
10.867953,-1378.685927,27.425954,-10.185953
11.049085,-1398.055122,27.421668,-10.190182
11.230218,-1427.393295,27.417382,-10.194411
11.41135,-1465.555866,27.413096,-10.198641
11.592483,-1506.21796,27.40881,-10.20287
11.773615,-1549.640265,27.404524,-10.207099
11.954748,-1588.54836,27.400238,-10.211329
12.13588,-1615.935581,27.395951,-10.215558
12.317013,-1624.649967,27.391666,-10.219788
12.498145,-1644.103187,27.387378,-10.224016
12.679278,-1665.770036,27.383092,-10.228246
12.86041,-1667.085253,27.378805,-10.232474
13.041543,-1662.243529,27.374518,-10.236703
13.222676,-1633.663848,27.370232,-10.240933
13.403808,-1592.747542,27.365944,-10.245161
13.584941,-1570.840761,27.361657,-10.24939
13.766073,-1567.551241,27.35737,-10.253619
13.947206,-1577.109437,27.353082,-10.257847
14.128338,-1590.815756,27.348795,-10.262076
14.309471,-1591.9997,27.344506,-10.266304
14.490603,-1582.812419,27.340218,-10.270532
14.671736,-1582.214482,27.335931,-10.274761
14.852868,-1592.828402,27.331642,-10.278989
15.034001,-1612.769883,27.327355,-10.283218
15.215134,-1660.13587,27.323067,-10.287446
15.396266,-1728.472413,27.318778,-10.291674
15.577399,-1803.691907,27.314489,-10.295902
15.758531,-1883.679518,27.310201,-10.300131
15.939664,-1966.402794,27.305912,-10.304358
16.120796,-2050.574684,27.301623,-10.308586
16.301929,-2135.367052,27.297334,-10.312814
16.483061,-2217.561218,27.293045,-10.317042
16.664194,-2291.589824,27.288756,-10.32127
16.845326,-2359.260128,27.284466,-10.325497
17.026459,-2427.590608,27.280177,-10.329725
17.207591,-2504.990111,27.275887,-10.333952
17.388724,-2590.358246,27.271598,-10.338181
17.569857,-2674.571361,27.267308,-10.342408
17.750989,-2764.192487,27.263018,-10.346635
17.932122,-2856.176128,27.258728,-10.350862
18.113254,-2950.440543,27.254437,-10.355089
18.294387,-3048.062218,27.250147,-10.359317
18.475519,-3144.002358,27.245858,-10.363545
18.656652,-3229.008608,27.241567,-10.367772
18.837784,-3295.66175,27.237277,-10.371999
19.018917,-3348.475019,27.232985,-10.376225
19.200049,-3391.53707,27.228695,-10.380453
19.381182,-3421.075113,27.224403,-10.384679
19.562315,-3436.942302,27.220113,-10.388907
19.743447,-3439.600004,27.215821,-10.393133
19.92458,-3448.770048,27.21153,-10.397359
20.105712,-3474.96052,27.207238,-10.401586
20.286845,-3499.149952,27.202948,-10.405814
20.467977,-3515.786505,27.198656,-10.41004
