position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
0,27.682888,-9.932081,15.611385,9.878677,-1547.123194,8.606636,5.278079,9.752097,69.358435,2.219573,1.529002
0.181133,27.678609,-9.936314,14.748806,9.63852,-1555.036435,8.60449,6.202995,8.237149,70.811047,3.657063,1.527594
0.362265,27.674329,-9.940546,14.99175,9.746125,-1569.184397,8.602358,5.782411,9.041204,70.184634,4.512324,1.526189
0.543398,27.67005,-9.944778,16.784111,9.934946,-1584.177491,8.600241,3.965872,10.772025,68.477992,4.141121,1.524786
0.72453,27.665771,-9.949012,16.130215,9.763134,-1593.961179,8.598138,4.668477,9.656537,69.54477,3.385172,1.523387
0.905663,27.661491,-9.953244,15.076472,9.407971,-1596.663629,8.59605,5.573748,7.898161,71.451619,3.763298,1.521989
1.086795,27.657213,-9.957477,15.004001,9.263009,-1595.091371,8.593975,5.61694,7.323352,72.055707,4.537429,1.520595
1.267928,27.652932,-9.961709,14.203911,9.499124,-1589.747488,8.591915,4.703247,10.285054,70.807789,5.593867,1.519203
1.44906,27.648652,-9.965941,15.295531,9.565088,-1575.04062,8.58987,4.434919,9.918605,70.350945,7.538563,1.517814
1.630193,27.644373,-9.970173,14.233562,9.369428,-1552.238588,8.587838,5.396135,8.76056,71.609744,7.924015,1.516428
1.811325,27.640094,-9.974407,13.098136,9.226625,-1534.872754,8.585822,5.721313,8.735756,72.444797,5.810715,1.515044
1.992458,27.635813,-9.978638,12.75556,9.239987,-1517.952193,8.583819,6.14964,8.516253,72.57855,3.26945,1.513663
2.173591,27.631533,-9.982871,13.980431,9.442385,-1515.365095,8.581831,4.797827,10.293805,70.927936,1.330387,1.512285
2.354723,27.627252,-9.987102,14.069319,9.640058,-1512.026181,8.579858,3.711005,12.594039,69.625637,2.580692,1.51091
2.535856,27.622973,-9.991335,14.886445,9.691394,-1500.926454,8.577898,3.22117,12.620839,69.271544,4.912632,1.509537
2.716988,27.618692,-9.995567,15.784655,9.432183,-1486.83005,8.575953,2.812573,11.64068,69.762091,7.095078,1.508167
2.898121,27.614411,-9.999799,16.852883,9.463589,-1459.18727,8.574022,2.087262,11.693589,69.366265,10.743948,1.5068
3.079253,27.610131,-10.004031,17.076468,9.72672,-1416.865793,8.572106,1.700854,12.919227,68.303452,14.487867,1.505435
3.260386,27.60585,-10.008263,17.393975,9.944092,-1366.225749,8.570204,1.534645,14.1628,66.90858,15.777923,1.504073
3.441518,27.601569,-10.012495,17.923549,9.950361,-1314.283523,8.568317,1.799662,13.496696,66.780092,12.876991,1.502714
3.622651,27.597288,-10.016727,17.997133,9.588517,-1282.266833,8.566444,2.989335,10.327463,68.686069,6.967672,1.501357
3.803783,27.593006,-10.020958,17.745277,9.285046,-1270.848544,8.564585,3.654443,8.98802,69.61226,2.060266,1.500003
3.984916,27.588726,-10.02519,15.51073,9.050695,-1272.525337,8.562741,4.0749,9.193296,71.221074,1.774486,1.498652
4.166048,27.584443,-10.029421,14.528811,8.874477,-1282.09471,8.560911,4.987843,7.566365,72.916983,3.617859,1.497304
4.347181,27.580163,-10.033654,14.496784,8.630513,-1293.325887,8.559095,5.327879,5.658244,74.517093,4.022587,1.495958
4.528314,27.575881,-10.037885,14.375921,8.428185,-1308.9205,8.557294,6.167055,3.843564,75.613458,3.129852,1.494615
4.709446,27.571599,-10.042117,14.669129,8.430124,-1313.56086,8.555507,5.5051,4.509788,75.315983,3.263666,1.493275
4.890579,27.567317,-10.046347,12.612245,8.531917,-1303.406556,8.553734,5.445953,6.836352,75.10545,6.54324,1.491937
5.071711,27.563036,-10.050579,12.000166,8.425159,-1291.562979,8.551976,5.605888,6.78412,75.609826,6.270029,1.490602
5.252844,27.558754,-10.054811,14.612227,8.073568,-1306.023948,8.550232,6.052727,2.326779,77.008265,8.282622,1.48927
5.433976,27.554472,-10.059042,13.21169,7.896727,-1333.941897,8.548503,6.409389,2.79566,77.58326,9.105451,1.48794
5.615109,27.550189,-10.063273,14.171589,8.161855,-1358.191042,8.546788,5.070619,6.139643,74.618143,9.346234,1.486614
5.796241,27.545906,-10.067503,15.219078,8.172723,-1386.620321,8.545086,4.25519,7.060871,73.464859,9.990571,1.485289
5.977374,27.541623,-10.071734,14.898958,8.315297,-1418.254324,8.543401,4.009545,9.406794,71.684702,7.181116,1.483968
6.158506,27.537342,-10.075966,14.521068,8.363986,-1431.215835,8.541728,4.247816,10.678493,70.552622,2.708399,1.482649
6.339639,27.533059,-10.080197,15.578366,8.082195,-1435.337302,8.540071,4.604397,8.40806,71.409176,0.862789,1.481333
6.520772,27.528775,-10.084427,16.376884,7.718409,-1437.927784,8.538428,4.581603,5.303174,73.738337,0.399423,1.48002
6.701904,27.524492,-10.088658,14.019007,7.766419,-1437.360237,8.536799,4.732973,5.166158,76.081861,1.349932,1.47871
6.883037,27.520209,-10.092889,12.94336,7.880025,-1431.612412,8.535184,5.15094,5.436287,76.469413,4.019047,1.477402
7.064169,27.515926,-10.09712,13.265243,8.014094,-1413.589648,8.533584,4.843943,7.671286,74.219528,8.554371,1.476097
7.245302,27.511644,-10.101351,13.539976,7.979031,-1383.130635,8.531998,5.187413,9.033091,72.239518,13.423951,1.474794
7.426434,27.50736,-10.105582,14.606597,7.919918,-1349.374691,8.530427,4.966381,9.064166,71.362856,17.361117,1.473494
7.607567,27.503076,-10.109812,15.76999,7.909815,-1301.89179,8.52887,4.641632,8.844181,70.744197,19.364451,1.472197
7.788699,27.498793,-10.114043,17.387347,7.974967,-1256.322626,8.527327,4.541961,7.781533,70.289159,19.16126,1.470903
7.969832,27.494509,-10.118272,19.060065,8.240194,-1224.343288,8.525799,4.471078,8.000879,68.467977,18.359952,1.469612
8.150964,27.490225,-10.122503,18.5813,8.636532,-1204.388968,8.524285,5.219904,10.206812,65.991984,17.455173,1.468323
8.332097,27.485942,-10.126734,17.335141,8.671219,-1191.093352,8.522786,6.1639,11.509223,64.991736,15.815538,1.467036
8.513229,27.481657,-10.130964,15.759909,8.461684,-1182.452449,8.521301,7.034331,10.047431,67.158332,12.977837,1.465753
8.694362,27.477373,-10.135195,17.688013,8.236714,-1186.967264,8.51983,5.876429,7.947919,68.487637,10.346428,1.464472
8.875495,27.473088,-10.139424,16.759229,8.330217,-1188.712686,8.518374,4.834473,7.514962,70.891336,8.743124,1.463194
9.056627,27.468805,-10.143655,15.705215,8.605689,-1176.147422,8.516931,3.993078,8.711374,71.590335,9.133374,1.461919
9.23776,27.464519,-10.147884,16.051868,8.503103,-1141.253484,8.515504,3.675462,8.290996,71.981675,8.501943,1.460646
