Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_5,0,-51.229442,12.653165,26.301275,18.349234,-711.178114,21.782002,11.34964,26.660415,35.688673,3.711148,5.429612
D_1_8_5,0.067937,-51.228441,12.651149,28.888161,18.045889,-711.130899,21.779583,9.237184,26.192815,35.681841,4.176561,5.430223
D_1_8_5,0.135875,-51.227439,12.649133,30.314975,17.995134,-706.743306,21.777163,7.887817,26.839068,34.95814,5.505423,5.430835
D_1_8_5,0.203812,-51.226438,12.647117,31.215958,18.269894,-699.046175,21.774743,6.662822,28.72408,33.39714,6.748085,5.431445
D_1_8_5,0.27175,-51.225436,12.6451,26.167747,18.449528,-690.27583,21.772324,7.956912,32.59579,33.279551,5.826177,5.432055
D_1_8_5,0.339687,-51.224435,12.643084,19.755665,18.538782,-686.843841,21.769904,8.611841,37.786935,33.84556,6.421803,5.432665
D_1_8_5,0.407624,-51.223434,12.641068,20.898637,18.654623,-684.251044,21.767485,9.209086,35.859247,34.033031,8.087846,5.433274
D_1_8_5,0.475562,-51.222433,12.639052,25.320623,18.863539,-678.939281,21.765066,9.890523,31.850431,32.938422,8.177626,5.433883
D_1_8_5,0.543499,-51.221432,12.637035,24.691826,18.94491,-674.024685,21.762646,8.838641,34.254215,32.215318,6.164344,5.434492
D_1_8_5,0.611437,-51.22043,12.63502,22.418577,18.771122,-675.528574,21.760227,6.897826,38.248298,32.435301,7.039819,5.4351
D_1_8_5,0.679374,-51.219429,12.633003,21.673703,18.709538,-682.407051,21.757808,6.950175,38.610391,32.765732,7.407605,5.435708
D_1_8_5,0.747311,-51.218427,12.630987,22.230316,18.737198,-686.821641,21.755388,7.819496,36.897218,33.052971,4.455809,5.436315
D_1_8_5,0.815249,-51.217426,12.628971,21.528348,18.833231,-688.046525,21.752969,10.817977,33.705742,33.947933,1.583948,5.436922
D_1_8_5,0.883186,-51.216425,12.626955,23.913631,18.754231,-689.798784,21.75055,12.78041,28.434424,34.871534,2.832068,5.437529
D_1_8_5,0.951124,-51.215424,12.624939,25.040265,18.850804,-693.354254,21.74813,12.433328,28.32211,34.204295,3.825945,5.438135
D_1_8_5,1.019061,-51.214423,12.622922,29.157462,18.884678,-697.959586,21.745711,10.785053,26.976593,33.080893,5.05416,5.43874
D_1_8_5,1.086998,-51.213422,12.620906,31.266827,18.640272,-705.156415,21.743292,7.865131,28.186903,32.681141,6.657158,5.439346
D_1_8_5,1.154936,-51.21242,12.61889,31.396757,18.368995,-714.159527,21.740872,6.842038,28.494332,33.266876,6.369356,5.43995
D_1_8_5,1.222873,-51.211419,12.616874,32.240721,18.131067,-721.134179,21.738452,6.375574,27.357889,34.025816,4.182636,5.440555
D_1_8_5,1.290811,-51.210418,12.614858,31.443445,17.982086,-722.474278,21.736032,7.048091,26.518302,34.990159,3.883349,5.441159
D_1_8_5,1.358748,-51.209417,12.612841,28.014831,17.925084,-724.869551,21.733613,7.058208,29.54514,35.381819,4.62473,5.441762
D_1_8_5,1.426686,-51.208416,12.610825,21.010793,17.94174,-728.841424,21.731194,8.183944,34.318703,36.486559,4.926843,5.442365
D_1_8_5,1.494623,-51.207415,12.608809,24.943135,17.846446,-730.687213,21.728774,5.667676,33.966883,35.422306,3.801705,5.442968
D_1_8_5,1.56256,-51.206414,12.606793,33.563255,17.63998,-732.442963,21.726355,5.456097,27.288896,33.691752,2.253172,5.44357
D_1_8_5,1.630498,-51.205413,12.604776,34.052813,17.67316,-735.894647,21.723936,6.660698,25.893469,33.393021,4.001981,5.444172
D_1_8_5,1.698435,-51.204412,12.60276,29.700389,17.957005,-740.235069,21.721515,6.570916,29.437851,34.290847,3.986405,5.444774
D_1_8_5,1.766373,-51.203412,12.600744,26.751071,18.177885,-744.327847,21.719097,6.753281,32.232876,34.262774,3.294514,5.445375
D_1_8_5,1.83431,-51.20241,12.598728,24.617181,18.141238,-748.44962,21.716677,8.736506,31.156545,35.489768,3.103169,5.445976
D_1_8_5,1.902247,-51.201409,12.596712,24.08746,18.008519,-752.008811,21.714257,11.209555,28.400367,36.302617,2.838512,5.446576
D_1_8_5,1.970185,-51.200408,12.594695,22.882753,17.919114,-755.643754,21.711838,11.17033,29.809366,36.137552,2.429768,5.447176
D_1_8_5,2.038122,-51.199407,12.592679,22.694971,17.668582,-757.962557,21.709419,10.407963,29.102013,37.795057,2.870903,5.447775
D_1_8_5,2.10606,-51.198407,12.590662,21.54823,17.581551,-756.483805,21.706999,10.620279,28.840673,38.990819,3.837545,5.448374
D_1_8_5,2.173997,-51.197405,12.588646,22.931279,17.666065,-753.782936,21.704579,10.106154,28.482475,38.480093,3.714735,5.448973
D_1_8_5,2.241934,-51.196404,12.58663,30.836196,17.836415,-750.766596,21.702159,6.952534,26.532517,35.678749,2.681106,5.449571
D_1_8_5,2.309872,-51.195404,12.584614,30.358119,17.92831,-750.447874,21.69974,6.526474,28.043543,35.071862,1.864691,5.450169
D_1_8_5,2.377809,-51.194402,12.582598,26.945996,18.072156,-754.090586,21.697321,6.56546,31.632179,34.856363,2.583932,5.450766
D_1_8_5,2.445747,-51.193402,12.580581,26.371012,18.291235,-756.701213,21.694901,7.590115,31.564348,34.474526,1.035529,5.451363
D_1_8_5,2.513684,-51.192401,12.578565,19.169591,18.415245,-754.873803,21.692482,10.812062,34.175825,35.842522,1.723418,5.45196
D_1_8_5,2.581621,-51.1914,12.576549,25.262789,18.483953,-752.61707,21.690063,8.409305,32.399163,33.928744,1.188838,5.452556
D_1_8_5,2.649559,-51.190399,12.574533,32.143681,18.392276,-753.409718,21.687642,7.363841,27.120523,33.371957,2.254038,5.453152
D_1_8_5,2.717496,-51.189398,12.572516,33.089488,18.398021,-757.451136,21.685223,6.842874,26.950837,33.116801,2.682655,5.453747
D_1_8_5,2.785434,-51.188398,12.5705,28.27678,18.332002,-760.761476,21.682804,7.587634,30.015,34.120588,0.227888,5.454342
D_1_8_5,2.853371,-51.187397,12.568484,27.52108,18.326785,-758.354129,21.680384,9.106895,28.493549,34.878478,1.73506,5.454936
D_1_8_5,2.921308,-51.186396,12.566467,24.487427,18.547951,-757.980397,21.677965,11.739717,28.365167,35.407691,2.063107,5.455531
D_1_8_5,2.989246,-51.185395,12.564451,31.067455,18.670559,-759.050655,21.675546,8.59646,27.42694,32.909147,2.433926,5.456124
D_1_8_5,3.057183,-51.184395,12.562435,32.120866,18.950687,-758.816532,21.673125,6.257687,31.03773,30.583717,2.363276,5.456717
D_1_8_5,3.125121,-51.183394,12.560418,37.064631,19.159635,-760.863313,21.670706,1.584432,34.317997,27.03294,2.785999,5.45731
D_1_8_5,3.193058,-51.182393,12.558402,40.74562,19.002357,-764.057164,21.668285,1.083264,30.862432,27.308682,2.607773,5.457903
D_1_8_5,3.260995,-51.181393,12.556386,34.619325,19.153375,-766.230357,21.665866,1.665002,36.121342,27.59433,1.46573,5.458495
D_1_8_5,3.328933,-51.180392,12.554369,34.612419,19.203916,-765.548708,21.663447,2.833867,34.724849,27.828867,1.77014,5.459086
D_1_8_5,3.39687,-51.179391,12.552353,26.066209,19.201428,-763.954714,21.661027,5.654353,38.420089,29.859349,1.59049,5.459677
D_1_8_5,3.464808,-51.178392,12.550336,30.122138,19.153313,-763.926732,21.658608,3.431657,37.748828,28.697378,1.511281,5.460268
D_1_8_5,3.532745,-51.17739,12.54832,24.067825,19.143061,-765.213263,21.656189,6.639549,38.71319,30.579433,1.941639,5.460858
D_1_8_5,3.600682,-51.17639,12.546304,29.362583,19.314961,-767.354438,21.653768,4.446042,37.723786,28.46759,2.850119,5.461448
D_1_8_5,3.66862,-51.175389,12.544288,24.057556,19.817669,-770.74499,21.651349,5.897579,42.663035,27.381829,2.710666,5.462038
D_1_8_5,3.736557,-51.174388,12.542271,20.817018,19.846977,-771.102414,21.64893,6.593497,44.843753,27.745731,2.722436,5.462627
D_1_8_5,3.804495,-51.173388,12.540255,22.266648,19.683672,-766.804656,21.646509,7.016813,42.247771,28.468768,2.941433,5.463215
D_1_8_5,3.872432,-51.172388,12.538238,28.057821,19.659828,-765.077364,21.64409,6.586829,37.298188,28.057163,2.029377,5.463804
D_1_8_5,3.94037,-51.171387,12.536222,37.57735,19.968769,-767.248269,21.641671,4.901787,32.319613,25.20125,2.351848,5.464391
D_1_8_5,4.008307,-51.170386,12.534206,30.748324,20.165291,-769.537937,21.639251,6.459734,37.070684,25.721259,1.07093,5.464979
D_1_8_5,4.076244,-51.169386,12.53219,29.766832,20.374045,-768.977764,21.636831,4.547598,41.61158,24.073992,0.650718,5.465566
D_1_8_5,4.144182,-51.168385,12.530173,30.618317,20.478743,-768.664312,21.634411,3.923412,42.317975,23.140297,1.107316,5.466153
D_1_8_5,4.212119,-51.167385,12.528157,33.672105,20.47206,-768.668537,21.631992,4.01731,39.633344,22.677241,2.676834,5.466739
D_1_8_5,4.280057,-51.166385,12.526141,26.406196,20.443157,-764.416952,21.629573,5.629775,43.565873,24.398156,5.964416,5.467325
D_1_8_5,4.347994,-51.165384,12.524124,24.677792,20.328434,-755.602126,21.627152,7.304618,42.137295,25.880293,7.964015,5.46791
D_1_8_5,4.415931,-51.164384,12.522108,26.180003,20.325102,-746.112523,21.624733,5.945998,42.658447,25.215554,8.266041,5.468495
D_1_8_5,4.483869,-51.163384,12.520091,25.185634,20.308783,-737.674602,21.622314,7.383485,41.396532,26.034349,8.334216,5.469079
D_1_8_5,4.551806,-51.162383,12.518075,29.725852,20.125549,-728.934464,21.619893,6.910627,37.485173,25.878346,7.499253,5.469664
D_1_8_5,4.619744,-51.161384,12.516058,24.89093,19.960856,-723.408287,21.617474,5.318486,43.435741,26.354842,4.72139,5.470247
D_1_8_5,4.687681,-51.160382,12.514042,21.308851,19.881079,-723.999579,21.615055,7.304774,43.355398,28.030977,2.450049,5.470831
D_1_8_5,4.755618,-51.159383,12.512025,19.612796,20.065602,-724.608987,21.612634,7.414986,45.506033,27.466186,5.284736,5.471414
D_1_8_5,4.823556,-51.158382,12.510009,25.507652,19.572276,-711.102914,21.610215,6.068081,39.919422,28.504847,11.848371,5.471996
D_1_8_5,4.891493,-51.157381,12.507993,27.034824,19.073893,-693.161017,21.607796,7.133952,35.034849,30.796374,12.38682,5.472578
D_1_8_5,4.959431,-51.156381,12.505977,26.735792,18.808863,-679.660285,21.605375,7.740989,33.36377,32.15945,8.870814,5.47316
D_1_8_5,5.027368,-51.155381,12.50396,33.347992,18.964925,-671.872559,21.602956,7.714133,28.119665,30.818209,5.718719,5.473741
D_1_8_5,5.095305,-51.154381,12.501944,37.086277,19.286779,-667.936475,21.600537,6.07477,28.300925,28.538027,5.075323,5.474322
D_1_8_5,5.163243,-51.153381,12.499927,29.501364,19.51012,-668.14463,21.598116,8.120029,33.069156,29.309452,6.840839,5.474902
D_1_8_5,5.23118,-51.15238,12.497911,30.010145,19.631946,-669.812866,21.595697,8.826304,32.144158,29.019395,8.289707,5.475482
D_1_8_5,5.299118,-51.15138,12.495894,27.535028,20.061957,-667.92871,21.593276,8.14397,37.216033,27.104969,8.211402,5.476062
D_1_8_5,5.367055,-51.15038,12.493878,30.841532,20.503482,-666.942953,21.590857,6.669777,38.253027,24.235664,7.289859,5.476641
D_1_8_5,5.434992,-51.14938,12.491862,45.053675,20.833862,-665.527729,21.588438,2.507474,32.646496,19.792356,7.960956,5.477219
D_1_8_5,5.50293,-51.14838,12.489845,47.944338,20.932708,-658.715801,21.586017,2.036414,31.239962,18.779286,9.388835,5.477798
D_1_8_5,5.570867,-51.14738,12.487829,42.646008,20.850737,-651.629134,21.583598,6.529448,29.11914,21.705404,8.894042,5.478376
D_1_8_5,5.638805,-51.146379,12.485812,49.683361,20.773494,-647.310213,21.581179,2.270205,28.482578,19.563857,8.030161,5.478953
D_1_8_5,5.706742,-51.145379,12.483796,49.425302,20.344407,-641.923141,21.578758,0,29.977237,20.491711,8.045117,5.47953
D_1_8_5,5.774679,-51.144379,12.481779,47.521489,19.567294,-633.396073,21.576339,0,28.786536,23.691977,7.787548,5.480107
D_1_8_5,5.842617,-51.143379,12.479763,49.055236,18.777083,-624.472042,21.57392,0,24.17081,26.773954,4.121196,5.480683
D_1_8_5,5.910554,-51.142379,12.477746,44.39066,17.996036,-623.591241,21.571499,0.17977,24.742078,30.687493,3.245596,5.481259
D_1_8_5,5.978492,-51.14138,12.47573,43.606692,16.967006,-630.808263,21.56908,4.902994,17.881415,33.608901,11.227589,5.481835
D_1_8_5,6.046429,-51.140379,12.473713,39.548856,17.106803,-647.781133,21.56666,4.37929,23.709362,32.362494,18.772378,5.48241
