position,Orthopyroxene Abundance,lon,lat
0,26.660415,-51.229442,12.653165
0.067937,26.192815,-51.228441,12.651149
0.135875,26.839068,-51.227439,12.649133
0.203812,28.72408,-51.226438,12.647117
0.27175,32.59579,-51.225436,12.6451
0.339687,37.786935,-51.224435,12.643084
0.407624,35.859247,-51.223434,12.641068
0.475562,31.850431,-51.222433,12.639052
0.543499,34.254215,-51.221432,12.637035
0.611437,38.248298,-51.22043,12.63502
0.679374,38.610391,-51.219429,12.633003
0.747311,36.897218,-51.218427,12.630987
0.815249,33.705742,-51.217426,12.628971
0.883186,28.434424,-51.216425,12.626955
0.951124,28.32211,-51.215424,12.624939
1.019061,26.976593,-51.214423,12.622922
1.086998,28.186903,-51.213422,12.620906
1.154936,28.494332,-51.21242,12.61889
1.222873,27.357889,-51.211419,12.616874
1.290811,26.518302,-51.210418,12.614858
1.358748,29.54514,-51.209417,12.612841
1.426686,34.318703,-51.208416,12.610825
1.494623,33.966883,-51.207415,12.608809
1.56256,27.288896,-51.206414,12.606793
1.630498,25.893469,-51.205413,12.604776
1.698435,29.437851,-51.204412,12.60276
1.766373,32.232876,-51.203412,12.600744
1.83431,31.156545,-51.20241,12.598728
1.902247,28.400367,-51.201409,12.596712
1.970185,29.809366,-51.200408,12.594695
2.038122,29.102013,-51.199407,12.592679
2.10606,28.840673,-51.198407,12.590662
2.173997,28.482475,-51.197405,12.588646
2.241934,26.532517,-51.196404,12.58663
2.309872,28.043543,-51.195404,12.584614
2.377809,31.632179,-51.194402,12.582598
2.445747,31.564348,-51.193402,12.580581
2.513684,34.175825,-51.192401,12.578565
2.581621,32.399163,-51.1914,12.576549
2.649559,27.120523,-51.190399,12.574533
2.717496,26.950837,-51.189398,12.572516
2.785434,30.015,-51.188398,12.5705
2.853371,28.493549,-51.187397,12.568484
2.921308,28.365167,-51.186396,12.566467
2.989246,27.42694,-51.185395,12.564451
3.057183,31.03773,-51.184395,12.562435
3.125121,34.317997,-51.183394,12.560418
3.193058,30.862432,-51.182393,12.558402
3.260995,36.121342,-51.181393,12.556386
3.328933,34.724849,-51.180392,12.554369
3.39687,38.420089,-51.179391,12.552353
3.464808,37.748828,-51.178392,12.550336
3.532745,38.71319,-51.17739,12.54832
3.600682,37.723786,-51.17639,12.546304
3.66862,42.663035,-51.175389,12.544288
3.736557,44.843753,-51.174388,12.542271
3.804495,42.247771,-51.173388,12.540255
