position,Titanium Abundance,lon,lat
0,0.495169,58.464055,-7.225824
0.255479,0.495499,58.471338,-7.230158
0.510958,0.495818,58.47862,-7.234494
0.766436,0.496126,58.485902,-7.238828
1.021915,0.496424,58.493185,-7.243163
1.277394,0.49671,58.500467,-7.247498
1.532873,0.496985,58.50775,-7.251832
1.788352,0.497249,58.515033,-7.256167
2.043831,0.497502,58.522316,-7.260501
2.299309,0.497744,58.5296,-7.264835
2.554788,0.497975,58.536883,-7.269169
2.810267,0.498195,58.544167,-7.273503
3.065746,0.498403,58.551451,-7.277836
3.321225,0.498601,58.558735,-7.282169
3.576703,0.498788,58.566018,-7.286504
3.832182,0.498964,58.573303,-7.290837
4.087661,0.499129,58.580587,-7.29517
4.34314,0.499283,58.587871,-7.299504
4.598619,0.499425,58.595156,-7.303836
4.854097,0.499557,58.602441,-7.30817
5.109576,0.499678,58.609725,-7.312502
5.365055,0.499788,58.617011,-7.316834
5.620534,0.499886,58.624296,-7.321167
5.876013,0.499974,58.631581,-7.325499
6.131492,0.500051,58.638867,-7.329832
6.38697,0.500117,58.646152,-7.334164
6.642449,0.500171,58.653438,-7.338497
6.897928,0.500215,58.660724,-7.342828
7.153407,0.500247,58.668009,-7.347161
7.408886,0.500269,58.675296,-7.351492
7.664364,0.50028,58.682582,-7.355824
7.919843,0.500279,58.689868,-7.360156
8.175322,0.500268,58.697155,-7.364486
8.430801,0.500245,58.704441,-7.368818
8.68628,0.500212,58.711728,-7.373149
8.941759,0.500167,58.719016,-7.37748
9.197237,0.500112,58.726303,-7.381811
9.452716,0.500045,58.73359,-7.386142
9.708195,0.499968,58.740877,-7.390473
9.963674,0.499879,58.748165,-7.394803
10.219153,0.499779,58.755453,-7.399133
10.474631,0.499669,58.762741,-7.403464
10.73011,0.499547,58.770028,-7.407795
10.985589,0.499415,58.777316,-7.412125
11.241068,0.499271,58.784605,-7.416454
11.496547,0.499116,58.791893,-7.420784
11.752026,0.498951,58.799182,-7.425113
12.007504,0.498774,58.806471,-7.429443
12.262983,0.498586,58.813759,-7.433773
12.518462,0.498387,58.821048,-7.438103
12.773941,0.498178,58.828337,-7.442432
13.02942,0.497957,58.835627,-7.446761
13.284898,0.497725,58.842916,-7.451089
13.540377,0.497482,58.850206,-7.455419
13.795856,0.497229,58.857495,-7.459748
14.051335,0.496964,58.864785,-7.464077
14.306814,0.496688,58.872075,-7.468405
14.562292,0.496401,58.879366,-7.472733
14.817771,0.496103,58.886656,-7.477061
15.07325,0.495794,58.893946,-7.48139
15.328729,0.495475,58.901237,-7.485717
15.584208,0.495144,58.908527,-7.490046
15.839687,0.494802,58.915818,-7.494374
16.095165,0.494449,58.923109,-7.498702
16.350644,0.494085,58.930401,-7.503029
16.606123,0.49371,58.937692,-7.507356
16.861602,0.493324,58.944984,-7.511683
17.117081,0.492927,58.952275,-7.516011
17.372559,0.492519,58.959566,-7.520338
17.628038,0.4921,58.966859,-7.524665
17.883517,0.49167,58.974151,-7.528992
18.138996,0.491229,58.981443,-7.533318
18.394475,0.490777,58.988735,-7.537645
