position,FeO Abundance,lon,lat
0,19.516218,-51.6504,11.928055
0.067389,19.422548,-51.64813,11.927965
0.134779,18.907871,-51.645861,11.927876
0.202168,18.708296,-51.643591,11.927787
0.269558,18.98944,-51.641322,11.927698
0.336947,19.099547,-51.639052,11.927609
0.404337,18.990926,-51.636782,11.92752
0.471726,18.919891,-51.634513,11.927431
0.539116,18.982893,-51.632243,11.927342
0.606505,18.949267,-51.629974,11.927253
0.673895,18.836411,-51.627704,11.927164
0.741284,18.838111,-51.625435,11.927075
0.808674,18.870459,-51.623165,11.926986
0.876063,18.903097,-51.620895,11.926897
0.943453,18.965428,-51.618626,11.926808
1.010842,18.80174,-51.616356,11.92672
1.078232,18.769443,-51.614087,11.926629
1.145621,18.744352,-51.611817,11.92654
1.213011,18.69284,-51.609548,11.926451
1.2804,18.584644,-51.607278,11.926362
1.34779,18.43301,-51.605009,11.926272
1.415179,18.384692,-51.602739,11.926183
1.482569,18.269748,-51.600469,11.926094
1.549958,18.37806,-51.5982,11.926006
1.617347,18.530809,-51.59593,11.925916
1.684737,18.589022,-51.593661,11.925827
1.752126,18.853894,-51.591391,11.925736
1.819516,18.939459,-51.589122,11.925647
1.886905,19.180301,-51.586852,11.925559
1.954295,19.171869,-51.584583,11.925469
2.021684,19.146527,-51.582313,11.92538
2.089074,19.108587,-51.580043,11.92529
2.156463,19.034347,-51.577774,11.9252
2.223853,18.929964,-51.575504,11.92511
2.291242,18.89719,-51.573235,11.925021
2.358632,18.946321,-51.570965,11.924932
2.426021,18.988546,-51.568696,11.924843
2.493411,18.958456,-51.566426,11.924752
2.5608,18.956765,-51.564157,11.924663
2.62819,19.028204,-51.561887,11.924573
2.695579,19.129052,-51.559618,11.924485
2.762969,19.116965,-51.557348,11.924394
2.830358,19.077601,-51.555079,11.924304
2.897748,19.10106,-51.552809,11.924214
2.965137,19.067748,-51.55054,11.924125
3.032526,19.050434,-51.54827,11.924035
3.099916,19.166531,-51.546,11.923945
3.167305,19.293856,-51.543731,11.923855
3.234695,19.364821,-51.541461,11.923766
3.302084,19.404165,-51.539192,11.923676
3.369474,19.311317,-51.536922,11.923587
3.436863,19.056444,-51.534653,11.923497
3.504253,18.574658,-51.532383,11.923406
3.571642,18.255837,-51.530114,11.923318
3.639032,18.322505,-51.527844,11.923227
3.706421,18.236885,-51.525575,11.923137
3.773811,18.003905,-51.523305,11.923048
3.8412,17.713081,-51.521036,11.922958
3.90859,17.395721,-51.518766,11.922867
3.975979,16.958644,-51.516497,11.922777
4.043369,16.627653,-51.514227,11.922687
4.110758,16.301101,-51.511958,11.922597
4.178148,16.028731,-51.509688,11.922507
4.245537,16.024442,-51.507419,11.922418
4.312927,16.085316,-51.505149,11.922328
4.380316,16.101047,-51.50288,11.922237
4.447706,16.219239,-51.50061,11.922147
4.515095,16.160137,-51.498341,11.922058
4.582484,16.031911,-51.496071,11.921968
4.649874,15.967384,-51.493802,11.921876
4.717263,15.884425,-51.491532,11.921786
4.784653,15.848731,-51.489263,11.921696
4.852042,15.929995,-51.486993,11.921606
4.919432,15.898808,-51.484724,11.921516
4.986821,16.067724,-51.482455,11.921425
5.054211,16.144025,-51.480185,11.921336
5.1216,16.205682,-51.477916,11.921245
5.18899,16.494924,-51.475646,11.921156
5.256379,16.630234,-51.473377,11.921064
5.323769,16.800894,-51.471107,11.920974
5.391158,16.884202,-51.468838,11.920885
5.458548,16.923584,-51.466568,11.920793
5.525937,16.94305,-51.464299,11.920703
5.593327,17.090603,-51.462029,11.920612
5.660716,17.289096,-51.45976,11.920522
5.728106,17.512716,-51.45749,11.920431
5.795495,17.760263,-51.455221,11.920342
5.862885,17.873166,-51.452951,11.920252
5.930274,17.984069,-51.450682,11.920161
5.997664,18.111259,-51.448413,11.92007
6.065053,18.133064,-51.446143,11.919979
6.132442,17.937735,-51.443874,11.919888
6.199832,17.755263,-51.441604,11.919799
6.267221,17.598402,-51.439335,11.919709
6.334611,17.527778,-51.437065,11.919617
6.402,17.428496,-51.434796,11.919526
6.46939,17.430465,-51.432526,11.919437
6.536779,17.578376,-51.430257,11.919345
6.604169,17.738669,-51.427987,11.919254
6.671558,17.966503,-51.425718,11.919165
6.738948,18.080958,-51.423449,11.919073
6.806337,18.362568,-51.421179,11.918982
6.873727,18.55775,-51.41891,11.918891
6.941116,18.718475,-51.41664,11.9188
7.008506,18.792277,-51.414371,11.918711
7.075895,18.653935,-51.412101,11.918619
7.143285,18.766475,-51.409832,11.918528
7.210674,18.987721,-51.407563,11.918437
7.278064,19.110399,-51.405293,11.918346
7.345453,19.139742,-51.403024,11.918255
7.412843,19.191282,-51.400754,11.918165
7.480232,19.261802,-51.398485,11.918074
7.547622,19.296881,-51.396215,11.917984
7.615011,19.247768,-51.393946,11.917893
7.6824,19.118329,-51.391677,11.917802
7.74979,19.112129,-51.389407,11.917711
7.817179,19.070062,-51.387138,11.917619
7.884569,19.134905,-51.384868,11.917528
7.951958,19.230414,-51.382599,11.917438
8.019348,19.200305,-51.38033,11.917346
8.086737,19.189687,-51.37806,11.917255
8.154127,19.22002,-51.375791,11.917164
8.221516,19.249086,-51.373521,11.917072
8.288906,19.198525,-51.371252,11.916981
8.356295,19.225698,-51.368983,11.91689
8.423685,19.31922,-51.366713,11.916799
8.491074,19.339658,-51.364444,11.916708
8.558464,19.331162,-51.362174,11.916617
8.625853,19.300663,-51.359905,11.916525
8.693243,19.339596,-51.357636,11.916434
8.760632,19.310222,-51.355366,11.916343
8.828022,19.258148,-51.353097,11.916252
8.895411,19.172154,-51.350827,11.91616
8.962801,18.83925,-51.348558,11.916069
9.03019,18.61255,-51.346289,11.915979
9.097579,18.818548,-51.344019,11.915888
9.164969,19.255707,-51.34175,11.915795
9.232358,19.445124,-51.33948,11.915705
9.299748,19.481402,-51.337211,11.915612
9.367137,19.533266,-51.334942,11.915521
9.434527,19.584279,-51.332672,11.915431
9.501916,19.572041,-51.330403,11.915339
9.569306,19.523737,-51.328134,11.915246
9.636695,19.586857,-51.325864,11.915155
9.704085,19.656527,-51.323595,11.915063
9.771474,19.655444,-51.321325,11.914972
9.838864,19.608786,-51.319056,11.91488
9.906253,19.592731,-51.316787,11.914789
9.973643,19.524964,-51.314517,11.914697
10.041032,19.543381,-51.312248,11.914607
10.108422,19.716058,-51.309979,11.914515
10.175811,19.736504,-51.307709,11.914424
10.243201,19.809846,-51.30544,11.914331
10.31059,19.863417,-51.303171,11.914239
10.37798,19.933528,-51.300901,11.914147
10.445369,19.954681,-51.298632,11.914056
10.512759,19.93309,-51.296362,11.913964
10.580148,19.959564,-51.294093,11.913872
10.647537,19.977697,-51.291824,11.91378
10.714927,19.974009,-51.289554,11.91369
10.782316,19.880495,-51.287285,11.913598
10.849706,19.817254,-51.285016,11.913506
10.917095,19.765411,-51.282746,11.913413
10.984485,19.790814,-51.280477,11.913321
11.051874,19.918096,-51.278208,11.913231
11.119264,20.016148,-51.275938,11.913139
11.186653,20.045579,-51.273669,11.913047
11.254043,20.112383,-51.2714,11.912954
11.321432,20.200213,-51.26913,11.912862
11.388822,20.202954,-51.266861,11.91277
11.456211,19.892826,-51.264592,11.912678
11.523601,19.631808,-51.262322,11.912586
11.59099,19.695581,-51.260053,11.912494
11.65838,19.742282,-51.257784,11.912402
11.725769,19.786987,-51.255514,11.91231
11.793159,19.791851,-51.253245,11.912218
11.860548,19.753499,-51.250976,11.912125
11.927938,19.752168,-51.248706,11.912033
11.995327,19.703715,-51.246437,11.911941
12.062717,19.620745,-51.244168,11.911849
12.130106,19.726542,-51.241898,11.911757
12.197495,19.402349,-51.239629,11.911665
12.264885,18.86364,-51.23736,11.911573
12.332274,18.911736,-51.23509,11.91148
12.399664,19.187233,-51.232821,11.911389
12.467053,19.472827,-51.230552,11.911297
12.534443,19.459142,-51.228283,11.911204
12.601832,19.39915,-51.226013,11.911111
12.669222,19.62119,-51.223744,11.911019
12.736611,19.812266,-51.221475,11.910927
12.804001,19.845963,-51.219205,11.910834
12.87139,19.859012,-51.216936,11.910742
12.93878,19.772113,-51.214667,11.91065
13.006169,19.602272,-51.212397,11.910558
13.073559,19.474028,-51.210128,11.910465
13.140948,19.385897,-51.207859,11.910373
13.208338,18.84519,-51.20559,11.91028
13.275727,18.625943,-51.20332,11.910187
13.343117,19.194244,-51.201051,11.910095
13.410506,19.749514,-51.198782,11.910002
13.477896,20.031139,-51.196512,11.90991
13.545285,20.158175,-51.194243,11.909817
13.612674,20.168795,-51.191974,11.909726
13.680064,20.098815,-51.189705,11.909632
13.747453,19.996766,-51.187435,11.909541
13.814843,20.215261,-51.185166,11.909447
13.882232,20.543409,-51.182897,11.909355
13.949622,20.683446,-51.180627,11.909262
14.017011,20.680933,-51.178358,11.90917
14.084401,20.653661,-51.176089,11.909076
14.15179,20.460184,-51.17382,11.908984
14.21918,20.336123,-51.17155,11.908892
14.286569,20.3664,-51.169281,11.908798
14.353959,20.157966,-51.167012,11.908705
14.421348,19.972819,-51.164743,11.908612
14.488738,19.827339,-51.162473,11.908521
14.556127,19.667048,-51.160204,11.908428
14.623517,19.558331,-51.157935,11.908334
14.690906,19.700165,-51.155666,11.908241
14.758296,19.957643,-51.153396,11.908148
14.825685,19.643345,-51.151127,11.908057
14.893075,19.302543,-51.148858,11.907963
14.960464,19.702049,-51.146588,11.90787
15.027854,20.262896,-51.144319,11.907777
15.095243,20.376383,-51.14205,11.907684
15.162632,20.293309,-51.139781,11.907591
15.230022,20.239841,-51.137512,11.907498
15.297411,20.370544,-51.135242,11.907406
15.364801,20.365028,-51.132973,11.907312
15.43219,20.618527,-51.130704,11.907219
15.49958,20.636498,-51.128435,11.907126
15.566969,20.666826,-51.126165,11.907034
15.634359,20.508708,-51.123896,11.906939
15.701748,20.273703,-51.121627,11.906846
15.769138,19.983391,-51.119358,11.906754
15.836527,20.032312,-51.117088,11.90666
15.903917,19.768394,-51.114819,11.906567
15.971306,19.791554,-51.11255,11.906475
16.038696,20.202242,-51.110281,11.90638
16.106085,20.290843,-51.108011,11.906288
16.173475,20.353908,-51.105742,11.906195
16.240864,20.344499,-51.103473,11.906102
16.308254,20.188423,-51.101204,11.906007
16.375643,19.953472,-51.098935,11.905914
16.443033,19.895362,-51.096665,11.905821
16.510422,19.786573,-51.094396,11.905727
16.577812,19.68563,-51.092127,11.905634
16.645201,19.680073,-51.089858,11.905541
16.71259,19.67867,-51.087588,11.905447
16.77998,19.608033,-51.085319,11.905355
16.847369,19.608596,-51.08305,11.90526
16.914759,19.702353,-51.080781,11.905167
16.982148,19.9138,-51.078512,11.905073
17.049538,19.576919,-51.076242,11.90498
17.116927,19.339255,-51.073973,11.904886
17.184317,19.226257,-51.071704,11.904793
17.251706,18.942389,-51.069435,11.904699
17.319096,18.836444,-51.067166,11.904607
17.386485,19.044757,-51.064896,11.904513
17.453875,19.309329,-51.062627,11.904419
17.521264,19.579006,-51.060358,11.904325
17.588654,19.760456,-51.058089,11.904232
17.656043,19.814148,-51.05582,11.904138
17.723433,19.663822,-51.053551,11.904044
17.790822,19.452074,-51.051281,11.90395
17.858212,19.229938,-51.049012,11.903857
17.925601,19.275011,-51.046743,11.903764
17.992991,19.75382,-51.044474,11.90367
18.06038,19.854431,-51.042205,11.903575
18.127769,19.569478,-51.039935,11.903482
18.195159,19.797129,-51.037666,11.903388
18.262548,19.753647,-51.035397,11.903294
18.329938,19.35837,-51.033128,11.903201
18.397327,19.133198,-51.030859,11.903106
18.464717,19.316726,-51.028589,11.903014
18.532106,19.255226,-51.02632,11.90292
18.599496,19.583584,-51.024051,11.902825
18.666885,19.672315,-51.021782,11.902731
18.734275,19.654249,-51.019513,11.902637
18.801664,19.706204,-51.017244,11.902543
18.869054,19.629553,-51.014975,11.902449
18.936443,19.476762,-51.012705,11.902356
19.003833,19.385644,-51.010436,11.902261
19.071222,19.278095,-51.008167,11.902168
19.138612,19.383078,-51.005898,11.902073
19.206001,19.570928,-51.003629,11.901979
19.273391,19.350605,-51.00136,11.901885
19.34078,19.634133,-50.99909,11.90179
19.40817,19.6607,-50.996821,11.901697
19.475559,19.48993,-50.994552,11.901602
19.542949,19.108063,-50.992283,11.901509
19.610338,18.93256,-50.990014,11.901414
19.677727,19.031492,-50.987745,11.90132
19.745117,19.243359,-50.985476,11.901225
19.812506,19.279451,-50.983206,11.901131
19.879896,19.54176,-50.980937,11.901038
19.947285,19.700406,-50.978668,11.900944
20.014675,19.667789,-50.976399,11.900848
20.082064,19.612223,-50.97413,11.900754
20.149454,19.50159,-50.971861,11.90066
20.216843,19.245814,-50.969592,11.900565
20.284233,19.148155,-50.967323,11.900471
20.351622,19.039679,-50.965053,11.900378
20.419012,18.806068,-50.962784,11.900283
20.486401,18.77838,-50.960515,11.900188
20.553791,18.663113,-50.958246,11.900093
20.62118,18.429198,-50.955977,11.9
20.68857,18.79201,-50.953708,11.899906
20.755959,19.00914,-50.951439,11.89981
20.823349,19.152317,-50.949169,11.899717
20.890738,19.04684,-50.9469,11.899621
20.958128,18.908588,-50.944631,11.899528
21.025517,18.80494,-50.942362,11.899433
