position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
0,25.994091,-9.494571,19.752403,9.677986,-1208.269295,7.793348,2.115778,9.666296,68.465525,1.850703,0.894989
0.168748,25.994934,-9.500073,19.479026,9.671053,-1201.71769,7.794091,2.090279,10.060435,68.370259,1.088879,0.896566
0.337496,25.995778,-9.505576,18.665512,9.935303,-1197.589968,7.794819,1.695668,13.143761,66.49506,1.963535,0.898141
0.506243,25.996621,-9.511078,18.671615,9.979342,-1193.629718,7.795533,1.867604,14.050374,65.410408,4.803256,0.899712
0.674991,25.997463,-9.516581,15.704871,9.643128,-1182.878104,7.796231,4.181588,13.472218,66.641323,8.539591,0.901281
0.843739,25.998308,-9.522083,17.444429,9.546804,-1155.878775,7.796915,4.01335,16.009812,62.532411,12.551808,0.902847
1.012487,25.999151,-9.527585,18.775521,9.448115,-1130.291244,7.797584,4.365723,16.713231,60.145526,14.251359,0.90441
1.181234,25.999994,-9.533088,17.630789,9.101265,-1128.563599,7.798238,4.234105,13.039133,65.095975,14.675698,0.905971
1.349982,26.000838,-9.53859,15.833137,8.712121,-1139.340927,7.798877,4.218985,10.067847,69.880035,14.776482,0.907529
1.51873,26.001682,-9.544093,17.489771,8.255803,-1144.135982,7.799502,3.99405,9.507937,69.008243,13.334686,0.909084
1.687478,26.002525,-9.549595,19.558918,7.782332,-1146.781561,7.800112,3.096247,8.257623,69.087212,10.595608,0.910636
1.856226,26.003369,-9.555098,22.776392,7.582336,-1141.366874,7.800707,2.009949,8.898443,66.315215,8.146824,0.912185
2.024973,26.004212,-9.5606,20.658125,8.014624,-1131.199901,7.801286,2.402193,9.221662,67.718017,7.446149,0.913732
2.193721,26.005056,-9.566102,16.432071,7.956098,-1135.7282,7.801851,3.421085,6.81297,73.333873,7.869719,0.915276
2.362469,26.0059,-9.571605,17.23109,8.028353,-1135.831477,7.802402,2.783158,8.056619,71.929133,7.75424,0.916817
2.531217,26.006742,-9.577107,16.133089,8.224386,-1138.289823,7.802937,2.620402,7.180992,74.065518,7.088436,0.918355
2.699964,26.007586,-9.58261,16.025787,8.304122,-1151.747891,7.803458,2.394476,7.234904,74.344835,6.432261,0.919891
2.868712,26.008431,-9.588112,14.922974,8.435458,-1162.211084,7.803964,2.736487,8.36607,73.974468,4.254273,0.921424
3.03746,26.009273,-9.593615,15.327761,8.5058,-1165.945581,7.804455,2.672781,8.355341,73.644118,1.975655,0.922954
3.206208,26.010118,-9.599117,15.315633,8.461942,-1165.508644,7.804931,2.956738,7.817498,73.910131,0.617552,0.924481
3.374956,26.010961,-9.604619,15.195977,8.45363,-1163.263645,7.805392,3.431823,7.576071,73.796131,1.125348,0.926005
3.543703,26.011806,-9.610122,14.846667,8.617605,-1163.624089,7.805839,3.862127,8.259207,73.032002,1.542051,0.927527
3.712451,26.01265,-9.615624,17.392619,8.666697,-1163.731105,7.80627,2.713663,8.651019,71.2427,2.120983,0.929046
3.881199,26.013494,-9.621126,16.607232,8.583027,-1165.344242,7.806687,2.566461,8.154341,72.671968,3.011025,0.930562
4.049947,26.014338,-9.626629,15.560161,8.402329,-1169.714685,7.807089,3.486201,6.58007,74.373568,4.026492,0.932076
4.218694,26.015182,-9.632131,15.869002,8.189223,-1159.81499,7.807476,3.429037,5.79738,74.904583,5.774318,0.933586
4.387442,26.016026,-9.637634,16.104498,8.073956,-1138.372158,7.807848,3.352107,5.511137,75.032257,6.884446,0.935094
4.55619,26.01687,-9.643136,18.849153,8.085111,-1118.341569,7.808206,2.508178,6.513971,72.128699,6.135869,0.936599
4.724938,26.017712,-9.648639,18.74859,8.108214,-1100.77815,7.808548,2.590987,6.833136,71.827286,4.46209,0.938101
4.893686,26.018558,-9.654141,17.363959,8.242446,-1091.037204,7.808876,2.556073,7.099924,72.980045,3.177857,0.939601
5.062433,26.019402,-9.659643,16.737665,8.379184,-1084.071237,7.809189,2.402966,7.32102,73.538351,3.275876,0.941098
5.231181,26.020246,-9.665145,15.864971,8.357933,-1080.816788,7.809486,2.696553,7.311422,74.127055,2.95771,0.942592
5.399929,26.02109,-9.670648,15.849585,8.155328,-1077.239681,7.80977,2.727051,6.854124,74.569239,2.932656,0.944083
5.568677,26.021933,-9.67615,16.289097,8.079021,-1069.434846,7.810038,2.411163,7.221451,74.07829,5.149602,0.945571
5.737424,26.022778,-9.681653,16.589362,8.142025,-1055.872995,7.810292,2.224851,8.354577,72.831213,7.009951,0.947057
