position,Orthopyroxene Abundance,lon,lat
79.227904,20.688322,33.156624,-21.19196
79.440311,20.448253,33.162454,-21.196378
79.652719,21.658469,33.168286,-21.200794
79.865126,21.78133,33.174117,-21.205211
80.077533,22.558987,33.17995,-21.209627
80.28994,21.09515,33.185782,-21.214044
80.502348,20.051544,33.191614,-21.21846
80.714755,18.93637,33.197448,-21.222875
80.927162,20.325297,33.203281,-21.227291
81.139569,23.118968,33.209115,-21.231707
81.351977,21.274053,33.214949,-21.236122
81.564384,19.806348,33.220783,-21.240537
81.776791,19.303743,33.226618,-21.244952
81.989198,21.128399,33.232453,-21.249366
82.201606,20.266072,33.238289,-21.25378
82.414013,19.315226,33.244124,-21.258195
82.62642,19.69286,33.249961,-21.262609
82.838827,19.444226,33.255797,-21.267023
83.051235,18.201969,33.261634,-21.271436
83.263642,15.816272,33.267471,-21.27585
83.476049,14.71166,33.273309,-21.280263
83.688456,18.449263,33.279148,-21.284675
83.900864,20.193502,33.284985,-21.289089
84.113271,20.98209,33.290824,-21.293501
84.325678,19.106019,33.296664,-21.297913
84.538085,17.718187,33.302502,-21.302326
84.750493,18.327011,33.308342,-21.306738
84.9629,19.604996,33.314182,-21.31115
85.175307,19.856891,33.320023,-21.315561
85.387714,21.199457,33.325864,-21.319973
85.600122,21.481943,33.331704,-21.324384
85.812529,23.539819,33.337546,-21.328795
86.024936,23.843819,33.343388,-21.333206
86.237343,21.551506,33.34923,-21.337617
86.449751,19.499663,33.355073,-21.342027
86.662158,18.923269,33.360915,-21.346437
86.874565,21.719621,33.366759,-21.350847
87.086972,22.099791,33.372602,-21.355257
87.29938,21.157638,33.378446,-21.359667
87.511787,23.308007,33.38429,-21.364076
87.724194,24.074377,33.390135,-21.368485
87.936601,22.428569,33.39598,-21.372894
88.149009,23.32437,33.401825,-21.377303
88.361416,22.270827,33.407671,-21.381712
88.573823,19.426992,33.413517,-21.38612
88.78623,20.669502,33.419364,-21.390528
88.998638,21.622517,33.42521,-21.394936
89.211045,22.42919,33.431057,-21.399344
89.423452,22.291314,33.436905,-21.403751
89.635859,20.626106,33.442752,-21.408159
89.848267,21.404378,33.448601,-21.412566
90.060674,21.545661,33.454449,-21.416973
90.273081,23.737634,33.460298,-21.421379
90.485488,22.111778,33.466147,-21.425786
90.697896,16.911235,33.471997,-21.430192
90.910303,11.723751,33.477847,-21.434598
91.12271,6.414064,33.483697,-21.439004
91.335117,10.857855,33.489548,-21.443409
91.547525,11.217545,33.495399,-21.447816
91.759932,8.131491,33.50125,-21.452221
91.972339,6.846714,33.507102,-21.456626
92.184746,5.044877,33.512954,-21.461031
92.397154,2.724322,33.518806,-21.465436
92.609561,3.319448,33.524659,-21.46984
92.821968,2.922423,33.530513,-21.474244
93.034375,2.462418,33.536365,-21.478649
93.246783,2.337107,33.542219,-21.483053
93.45919,1.373512,33.548073,-21.487456
93.671597,2.148159,33.553928,-21.49186
93.884004,3.331895,33.559783,-21.496263
94.096412,6.138329,33.565638,-21.500666
94.308819,4.936163,33.571494,-21.505069
94.521226,5.781295,33.57735,-21.509472
94.733633,7.645558,33.583206,-21.513874
94.946041,7.751203,33.589062,-21.518276
95.158448,7.441005,33.594919,-21.522679
95.370855,5.408716,33.600777,-21.527081
95.583262,3.230747,33.606634,-21.531482
95.79567,4.60349,33.612493,-21.535884
96.008077,5.060823,33.618351,-21.540285
96.220484,5.221795,33.62421,-21.544686
96.432891,9.460242,33.630069,-21.549087
96.645299,10.709653,33.635928,-21.553487
96.857706,8.110819,33.641788,-21.557888
