position,Clinopyroxene Abundance,lon,lat
0,10.547538,77.689496,-12.450354
0.179778,9.101233,77.695417,-12.451668
0.359555,7.695006,77.701337,-12.452981
0.539333,5.05836,77.707258,-12.454295
0.719111,2.70022,77.713178,-12.455608
0.898889,1.109752,77.719099,-12.456922
1.078666,0.923288,77.72502,-12.458235
1.258444,1.137338,77.730941,-12.459548
1.438222,5.044886,77.736862,-12.460861
1.618,9.088615,77.742783,-12.462174
1.797777,6.289528,77.748704,-12.463486
1.977555,6.576441,77.754625,-12.464799
2.157333,9.702474,77.760546,-12.466111
2.33711,11.562694,77.766468,-12.467423
2.516888,12.932381,77.772389,-12.468735
2.696666,12.042697,77.77831,-12.470047
2.876444,11.671057,77.784232,-12.471359
3.056221,7.94959,77.790153,-12.472671
3.235999,10.935945,77.796075,-12.473983
3.415777,12.530062,77.801996,-12.475294
3.595554,13.379341,77.807918,-12.476606
3.775332,11.9389,77.81384,-12.477917
3.95511,12.084394,77.819762,-12.479228
4.134888,13.38973,77.825683,-12.480539
4.314665,14.56517,77.831605,-12.48185
4.494443,15.099003,77.837527,-12.48316
4.674221,14.330794,77.843449,-12.484471
4.853999,11.221242,77.849371,-12.485781
5.033776,9.60504,77.855294,-12.487092
5.213554,8.961485,77.861216,-12.488402
5.393332,7.854939,77.867138,-12.489712
5.573109,7.862224,77.87306,-12.491022
5.752887,6.958929,77.878983,-12.492332
5.932665,5.848468,77.884905,-12.493641
6.112443,5.29799,77.890828,-12.494951
6.29222,4.425037,77.89675,-12.49626
6.471998,2.713283,77.902673,-12.49757
6.651776,2.317503,77.908596,-12.498879
6.831554,4.471877,77.914518,-12.500188
7.011331,5.187868,77.920441,-12.501497
7.191109,5.719945,77.926364,-12.502805
7.370887,9.719389,77.932287,-12.504114
7.550664,12.529607,77.93821,-12.505423
7.730442,11.931617,77.944133,-12.506731
7.91022,10.668262,77.950056,-12.508039
8.089998,9.402212,77.955979,-12.509347
8.269775,8.656561,77.961903,-12.510655
8.449553,6.812631,77.967826,-12.511963
8.629331,7.746418,77.973749,-12.513271
8.809109,6.909961,77.979673,-12.514579
8.988886,10.901143,77.985596,-12.515886
9.168664,14.343732,77.99152,-12.517193
9.348442,12.659541,77.997443,-12.518501
9.528219,14.632127,78.003367,-12.519808
9.707997,15.206758,78.009291,-12.521115
9.887775,15.637132,78.015214,-12.522421
10.067553,14.644406,78.021138,-12.523728
10.24733,12.555329,78.027062,-12.525035
10.427108,11.679476,78.032986,-12.526341
10.606886,10.647934,78.03891,-12.527647
10.786663,4.995878,78.044834,-12.528954
10.966441,4.655541,78.050758,-12.53026
11.146219,7.208403,78.056683,-12.531566
11.325997,9.568554,78.062607,-12.532871
11.505774,12.442335,78.068531,-12.534177
11.685552,11.839656,78.074455,-12.535483
11.86533,10.507231,78.08038,-12.536788
12.045108,11.670434,78.086304,-12.538093
12.224885,8.699616,78.092229,-12.539398
12.404663,7.735355,78.098154,-12.540703
12.584441,5.519655,78.104078,-12.542008
12.764218,4.313857,78.110003,-12.543313
12.943996,3.090993,78.115928,-12.544618
13.123774,4.676898,78.121853,-12.545921
13.303552,7.097467,78.127778,-12.547226
13.483329,9.478411,78.133702,-12.548531
13.663107,9.822377,78.139628,-12.549835
13.842885,8.297268,78.145553,-12.551139
14.022663,8.789938,78.151478,-12.552443
14.20244,8.627633,78.157403,-12.553746
14.382218,6.536287,78.163328,-12.55505
14.561996,7.563163,78.169254,-12.556353
14.741773,8.604682,78.175179,-12.557657
14.921551,9.656404,78.181104,-12.55896
15.101329,11.695354,78.18703,-12.560263
15.281107,12.89448,78.192956,-12.561566
15.460884,14.418433,78.198881,-12.562869
15.640662,14.415762,78.204807,-12.564171
15.82044,14.25481,78.210733,-12.565474
16.000217,11.210743,78.216658,-12.566776
16.179995,8.280704,78.222584,-12.568078
16.359773,7.548241,78.22851,-12.569381
16.539551,3.421827,78.234436,-12.570683
16.719328,2.528136,78.240362,-12.571985
16.899106,1.532716,78.246288,-12.573286
17.078884,1.005478,78.252215,-12.574588
17.258662,0.660719,78.258141,-12.575889
17.438439,1.759173,78.264067,-12.577191
17.618217,1.138407,78.269993,-12.578492
17.797995,2.954899,78.27592,-12.579793
17.977772,5.174826,78.281846,-12.581094
18.15755,4.506196,78.287773,-12.582395
18.337328,2.701987,78.293699,-12.583696
18.517106,3.391462,78.299626,-12.584996
18.696883,4.711606,78.305553,-12.586297
18.876661,5.384833,78.31148,-12.587597
19.056439,5.028649,78.317406,-12.588897
19.236217,5.857696,78.323333,-12.590197
19.415994,5.457239,78.32926,-12.591497
19.595772,4.183634,78.335187,-12.592797
19.77555,3.753086,78.341114,-12.594097
19.955327,4.371772,78.347042,-12.595396
20.135105,5.161017,78.352969,-12.596696
20.314883,5.245775,78.358896,-12.597995
20.494661,5.561491,78.364823,-12.599294
20.674438,5.295444,78.370751,-12.600593
20.854216,5.412856,78.376678,-12.601892
21.033994,5.125692,78.382606,-12.603191
21.213772,4.637091,78.388533,-12.604489
21.393549,4.021824,78.394461,-12.605788
21.573327,4.518728,78.400388,-12.607086
21.753105,5.706868,78.406316,-12.608384
21.932882,5.039016,78.412244,-12.609683
22.11266,3.662877,78.418172,-12.610981
22.292438,2.73222,78.4241,-12.612278
22.472216,3.316877,78.430028,-12.613576
22.651993,3.815587,78.435956,-12.614874
22.831771,5.18602,78.441884,-12.616171
23.011549,5.716304,78.447812,-12.617468
23.191326,5.991483,78.45374,-12.618766
23.371104,4.353809,78.459669,-12.620063
23.550882,5.455244,78.465597,-12.62136
23.73066,3.767235,78.471525,-12.622656
23.910437,2.733409,78.477454,-12.623953
24.090215,3.309091,78.483382,-12.62525
24.269993,4.140896,78.489311,-12.626546
24.449771,5.72515,78.495239,-12.627842
24.629548,35.139326,78.501168,-12.629138
24.809326,67.288643,78.507097,-12.630434
24.989104,69.999999,78.513026,-12.63173
25.168881,69.999999,78.518955,-12.633026
25.348659,69.999999,78.524884,-12.634322
25.528437,69.999999,78.530813,-12.635617
25.708215,69.999999,78.536742,-12.636913
25.887992,69.999999,78.542671,-12.638208
26.06777,69.999999,78.5486,-12.639503
26.247548,69.999999,78.554529,-12.640798
26.427326,69.999999,78.560458,-12.642093
26.607103,69.999999,78.566388,-12.643387
26.786881,69.999999,78.572317,-12.644682
26.966659,69.999999,78.578247,-12.645976
27.146436,69.999999,78.584176,-12.647271
27.326214,69.999999,78.590106,-12.648565
27.505992,69.999999,78.596035,-12.649859
27.68577,69.999999,78.601965,-12.651153
27.865547,69.999999,78.607895,-12.652447
28.045325,69.999999,78.613825,-12.65374
28.225103,69.999999,78.619755,-12.655034
28.40488,69.999999,78.625685,-12.656327
28.584658,69.999999,78.631615,-12.65762
28.764436,69.999999,78.637545,-12.658914
28.944214,69.999999,78.643475,-12.660207
29.123991,69.999999,78.649405,-12.661499
29.303769,69.999999,78.655335,-12.662792
29.483547,69.999999,78.661266,-12.664085
29.663325,69.999999,78.667196,-12.665377
29.843102,69.999999,78.673127,-12.66667
30.02288,69.999999,78.679057,-12.667962
30.202658,69.999999,78.684988,-12.669254
30.382435,68.684037,78.690918,-12.670546
30.562213,39.197977,78.696849,-12.671838
30.741991,7.600896,78.70278,-12.673129
30.921769,5.417292,78.70871,-12.674421
31.101546,6.323658,78.714641,-12.675712
31.281324,7.799912,78.720572,-12.677004
31.461102,8.777596,78.726503,-12.678295
31.64088,7.978539,78.732434,-12.679586
31.820657,8.61801,78.738365,-12.680877
32.000435,10.780167,78.744297,-12.682167
32.180213,14.065559,78.750228,-12.683458
32.35999,13.811939,78.756159,-12.684749
32.539768,10.540217,78.76209,-12.686039
32.719546,8.768286,78.768022,-12.687329
32.899324,6.888346,78.773953,-12.688619
33.079101,9.513758,78.779885,-12.689909
33.258879,13.88649,78.785816,-12.691199
33.438657,13.228581,78.791748,-12.692489
33.618435,13.067318,78.79768,-12.693778
33.798212,11.820248,78.803611,-12.695068
33.97799,11.617382,78.809543,-12.696357
34.157768,10.954571,78.815475,-12.697646
34.337545,11.656133,78.821407,-12.698935
34.517323,10.147525,78.827339,-12.700224
34.697101,11.428124,78.833271,-12.701513
34.876879,11.324755,78.839203,-12.702802
35.056656,10.508332,78.845135,-12.70409
35.236434,10.00701,78.851068,-12.705379
35.416212,9.701568,78.857,-12.706667
35.595989,8.876385,78.862932,-12.707955
35.775767,9.098846,78.868865,-12.709243
35.955545,10.518905,78.874797,-12.710531
36.135323,9.776174,78.88073,-12.711819
36.3151,10.328887,78.886662,-12.713106
36.494878,10.154358,78.892595,-12.714394
36.674656,8.789496,78.898528,-12.715681
36.854434,7.634118,78.904461,-12.716968
37.034211,6.337027,78.910393,-12.718255
37.213989,7.498233,78.916326,-12.719542
37.393767,7.780311,78.922259,-12.720829
37.573544,7.340626,78.928192,-12.722116
37.753322,7.502332,78.934125,-12.723402
37.9331,7.885922,78.940059,-12.724689
38.112878,9.019726,78.945992,-12.725975
38.292655,9.87375,78.951925,-12.727261
38.472433,11.694926,78.957858,-12.728547
38.652211,11.296706,78.963792,-12.729833
38.831989,8.021925,78.969725,-12.731119
39.011766,5.530346,78.975659,-12.732405
39.191544,2.543038,78.981592,-12.73369
39.371322,4.618194,78.987526,-12.734975
39.551099,8.358937,78.99346,-12.736261
39.730877,8.354936,78.999393,-12.737546
39.910655,7.07396,79.005327,-12.738831
40.090433,8.247135,79.011261,-12.740116
40.27021,9.311396,79.017195,-12.7414
40.449988,6.787864,79.023129,-12.742685
40.629766,4.873845,79.029063,-12.743969
40.809543,4.573486,79.034997,-12.745254
40.989321,3.784726,79.040932,-12.746537
41.169099,6.980346,79.046866,-12.747822
41.348877,8.298815,79.0528,-12.749106
41.528654,6.640573,79.058734,-12.750389
41.708432,5.650039,79.064669,-12.751673
41.88821,6.857238,79.070603,-12.752957
42.067988,8.977355,79.076538,-12.75424
42.247765,7.76013,79.082472,-12.755523
42.427543,6.878292,79.088407,-12.756806
42.607321,3.995145,79.094342,-12.758089
42.787098,4.46634,79.100276,-12.759372
42.966876,6.082087,79.106211,-12.760655
43.146654,8.93759,79.112146,-12.761937
43.326432,12.241928,79.118081,-12.76322
43.506209,10.110083,79.124016,-12.764502
43.685987,7.709093,79.129951,-12.765784
43.865765,5.613178,79.135886,-12.767066
44.045543,3.413107,79.141821,-12.768348
44.22532,7.7681,79.147757,-12.76963
44.405098,6.142085,79.153692,-12.770911
44.584876,4.074884,79.159627,-12.772193
44.764653,5.866209,79.165563,-12.773475
44.944431,9.377519,79.171498,-12.774756
45.124209,12.532118,79.177434,-12.776037
45.303987,12.497728,79.183369,-12.777318
45.483764,12.147025,79.189305,-12.778599
45.663542,8.518685,79.195241,-12.77988
45.84332,6.047721,79.201177,-12.78116
46.023098,2.862116,79.207113,-12.782441
46.202875,1.327928,79.213048,-12.783721
46.382653,0.839154,79.218984,-12.785001
46.562431,2.014143,79.22492,-12.786281
46.742208,6.4009,79.230857,-12.787561
46.921986,8.436359,79.236793,-12.788841
47.101764,7.132823,79.242729,-12.790121
47.281542,6.615605,79.248665,-12.7914
47.461319,4.642672,79.254602,-12.79268
47.641097,5.054778,79.260538,-12.793959
47.820875,8.14836,79.266474,-12.795238
48.000652,10.104237,79.272411,-12.796517
48.18043,10.036833,79.278347,-12.797796
48.360208,6.166353,79.284284,-12.799075
48.539986,5.303162,79.290221,-12.800353
48.719763,9.75692,79.296158,-12.801632
48.899541,10.184931,79.302094,-12.80291
49.079319,7.759585,79.308031,-12.804188
49.259097,7.557441,79.313968,-12.805466
49.438874,7.135312,79.319905,-12.806744
49.618652,4.56099,79.325842,-12.808022
49.79843,4.55009,79.331779,-12.8093
