position,TerrainSlope,lon,lat
0,4.368905,59.454211,-6.506945
0.242193,8.743261,59.458945,-6.5134
0.484386,12.079308,59.463678,-6.519856
0.726579,14.082806,59.468412,-6.526311
0.968772,15.345967,59.473147,-6.532766
1.210966,16.506648,59.477881,-6.539221
1.453159,17.450805,59.482614,-6.545678
1.695352,17.704694,59.487348,-6.552133
1.937545,15.769113,59.492083,-6.558587
2.179738,11.4006,59.496818,-6.565043
2.421931,6.669554,59.501551,-6.571499
2.664124,6.125973,59.506286,-6.577954
2.906317,6.348996,59.511021,-6.584409
3.148511,3.26627,59.515757,-6.590863
3.390704,1.846126,59.520491,-6.597319
3.632897,5.560296,59.525226,-6.603774
3.87509,12.291081,59.529962,-6.610228
4.117283,17.029493,59.534698,-6.616683
4.359476,18.19389,59.539433,-6.623138
4.601669,17.090144,59.544168,-6.629593
4.843862,15.129089,59.548905,-6.636047
5.086055,13.447312,59.553641,-6.642502
5.328249,12.922911,59.558377,-6.648957
5.570442,12.883253,59.563113,-6.655411
5.812635,14.264668,59.567849,-6.661866
6.054828,16.100858,59.572585,-6.668321
6.297021,17.139711,59.577323,-6.674775
6.539214,17.353875,59.582058,-6.68123
6.781407,16.177413,59.586796,-6.687684
7.0236,13.48046,59.591532,-6.694139
7.265794,9.292584,59.59627,-6.700592
7.507987,4.688736,59.601006,-6.707047
7.75018,2.988225,59.605743,-6.713501
7.992373,2.891832,59.610482,-6.719955
8.234566,1.63143,59.61522,-6.726409
8.476759,1.168143,59.619957,-6.732863
8.718952,2.44193,59.624695,-6.739317
8.961145,4.559192,59.629433,-6.745771
9.203338,6.142103,59.634171,-6.752225
9.445532,6.548467,59.638908,-6.758679
9.687725,5.91727,59.643647,-6.765133
9.929918,4.99972,59.648386,-6.771586
10.172111,4.380158,59.653124,-6.778041
10.414304,4.00888,59.657862,-6.784494
10.656497,4.180776,59.662602,-6.790947
10.89869,4.383282,59.667341,-6.797401
11.140883,4.528258,59.672079,-6.803855
11.383077,5.308731,59.67682,-6.810308
11.62527,6.413545,59.681559,-6.816762
11.867463,7.804586,59.686298,-6.823215
12.109656,8.766477,59.691037,-6.829669
12.351849,8.127664,59.695778,-6.836122
12.594042,6.944215,59.700518,-6.842575
12.836235,5.755034,59.705258,-6.849028
13.078428,6.099767,59.709998,-6.855481
13.320621,5.849983,59.714737,-6.861935
13.562815,3.398555,59.719477,-6.868388
13.805008,1.674143,59.724219,-6.874841
14.047201,1.826592,59.728958,-6.881294
14.289394,3.274208,59.733699,-6.887747
14.531587,4.747765,59.73844,-6.8942
14.77378,5.157505,59.743181,-6.900653
15.015973,6.302151,59.747923,-6.907105
15.258166,7.783232,59.752664,-6.913558
15.50036,7.734015,59.757406,-6.920011
15.742553,6.2707,59.762147,-6.926463
15.984746,5.212082,59.766889,-6.932916
16.226939,4.992629,59.77163,-6.939369
16.469132,6.1624,59.776372,-6.945822
16.711325,8.383593,59.781114,-6.952274
16.953518,12.538569,59.785857,-6.958726
17.195711,17.585805,59.790599,-6.965178
17.437904,19.641738,59.795342,-6.971631
17.680098,19.012702,59.800084,-6.978083
17.922291,17.849689,59.804827,-6.984535
18.164484,16.624916,59.80957,-6.990987
18.406677,16.493848,59.814312,-6.99744
18.64887,18.585985,59.819055,-7.003892
18.891063,20.421883,59.823799,-7.010344
19.133256,20.837013,59.828543,-7.016796
19.375449,20.712558,59.833286,-7.023248
19.617642,20.473121,59.838029,-7.0297
