position,Plagioclase Abundance,lon,lat
0,53.561784,59.454211,-6.506945
0.242193,52.61009,59.458945,-6.5134
0.484386,50.194833,59.463678,-6.519856
0.726579,47.986194,59.468412,-6.526311
0.968772,46.815762,59.473147,-6.532766
1.210966,45.478817,59.477881,-6.539221
1.453159,44.605059,59.482614,-6.545678
1.695352,45.486852,59.487348,-6.552133
1.937545,48.774218,59.492083,-6.558587
2.179738,53.873902,59.496818,-6.565043
2.421931,56.137291,59.501551,-6.571499
2.664124,56.926581,59.506286,-6.577954
2.906317,58.20904,59.511021,-6.584409
3.148511,59.997682,59.515757,-6.590863
3.390704,62.346521,59.520491,-6.597319
3.632897,64.307855,59.525226,-6.603774
3.87509,63.633773,59.529962,-6.610228
4.117283,63.776517,59.534698,-6.616683
4.359476,64.674341,59.539433,-6.623138
4.601669,65.629711,59.544168,-6.629593
4.843862,66.739588,59.548905,-6.636047
5.086055,66.054422,59.553641,-6.642502
5.328249,64.58986,59.558377,-6.648957
5.570442,64.43556,59.563113,-6.655411
5.812635,63.17239,59.567849,-6.661866
6.054828,61.127887,59.572585,-6.668321
6.297021,62.469537,59.577323,-6.674775
6.539214,63.702983,59.582058,-6.68123
6.781407,62.806425,59.586796,-6.687684
7.0236,63.527859,59.591532,-6.694139
7.265794,63.485272,59.59627,-6.700592
7.507987,65.723765,59.601006,-6.707047
7.75018,66.419451,59.605743,-6.713501
7.992373,65.688409,59.610482,-6.719955
8.234566,65.579784,59.61522,-6.726409
8.476759,65.319562,59.619957,-6.732863
8.718952,65.040163,59.624695,-6.739317
8.961145,64.721363,59.629433,-6.745771
9.203338,64.814741,59.634171,-6.752225
9.445532,65.135485,59.638908,-6.758679
9.687725,66.080803,59.643647,-6.765133
9.929918,67.449347,59.648386,-6.771586
10.172111,67.517598,59.653124,-6.778041
10.414304,65.53588,59.657862,-6.784494
10.656497,65.101918,59.662602,-6.790947
10.89869,65.093261,59.667341,-6.797401
11.140883,65.132834,59.672079,-6.803855
11.383077,65.666203,59.67682,-6.810308
11.62527,66.44321,59.681559,-6.816762
11.867463,67.298033,59.686298,-6.823215
12.109656,67.689775,59.691037,-6.829669
12.351849,67.524947,59.695778,-6.836122
12.594042,67.009638,59.700518,-6.842575
12.836235,66.460257,59.705258,-6.849028
13.078428,67.384878,59.709998,-6.855481
13.320621,68.290415,59.714737,-6.861935
13.562815,70.115344,59.719477,-6.868388
13.805008,70.413773,59.724219,-6.874841
14.047201,70.163272,59.728958,-6.881294
14.289394,69.29051,59.733699,-6.887747
14.531587,69.638341,59.73844,-6.8942
14.77378,71.163414,59.743181,-6.900653
15.015973,71.681625,59.747923,-6.907105
15.258166,71.159166,59.752664,-6.913558
15.50036,70.318984,59.757406,-6.920011
15.742553,71.344322,59.762147,-6.926463
15.984746,73.164075,59.766889,-6.932916
16.226939,73.757143,59.77163,-6.939369
16.469132,74.132682,59.776372,-6.945822
16.711325,74.767124,59.781114,-6.952274
16.953518,73.571205,59.785857,-6.958726
17.195711,73.335549,59.790599,-6.965178
17.437904,72.660775,59.795342,-6.971631
17.680098,74.021978,59.800084,-6.978083
17.922291,75.57964,59.804827,-6.984535
18.164484,76.120161,59.80957,-6.990987
18.406677,76.568242,59.814312,-6.99744
18.64887,78.002978,59.819055,-7.003892
18.891063,77.471076,59.823799,-7.010344
19.133256,77.718086,59.828543,-7.016796
19.375449,78.778246,59.833286,-7.023248
19.617642,79.183487,59.838029,-7.0297
19.859836,77.621303,59.842773,-7.036152
20.102029,75.514448,59.847516,-7.042604
20.344222,73.777406,59.85226,-7.049056
20.586415,74.315048,59.857004,-7.055508
20.828608,75.811694,59.86175,-7.061959
21.070801,75.973087,59.866494,-7.06841
21.312994,74.520362,59.871238,-7.074862
21.555187,75.778443,59.875983,-7.081313
21.797381,76.665715,59.880727,-7.087766
22.039574,76.236334,59.885473,-7.094216
22.281767,77.962492,59.890218,-7.100668
22.52396,79.641315,59.894962,-7.10712
22.766153,79.340501,59.899709,-7.11357
23.008346,78.83103,59.904453,-7.120022
23.250539,80.009845,59.9092,-7.126473
23.492732,78.638344,59.913945,-7.132925
23.734925,78.615473,59.918691,-7.139375
23.977119,78.106301,59.923436,-7.145827
24.219312,78.456888,59.928184,-7.152277
24.461505,78.62422,59.932929,-7.158729
24.703698,78.65966,59.937676,-7.165179
24.945891,81.364398,59.942422,-7.17163
25.188084,82.422904,59.947169,-7.178081
25.430277,82.186462,59.951916,-7.184531
25.67247,84.619632,59.956662,-7.190983
25.914664,84.399865,59.96141,-7.197433
26.156857,82.498646,59.966158,-7.203883
26.39905,82.311106,59.970904,-7.210334
26.641243,82.285549,59.975652,-7.216784
26.883436,82.045349,59.980399,-7.223235
27.125629,81.331094,59.985148,-7.229685
27.367822,79.995041,59.989896,-7.236136
27.610015,79.871798,59.994643,-7.242587
27.852208,82.53022,59.999392,-7.249036
28.094402,85.808432,60.00414,-7.255486
28.336595,85.860827,60.008888,-7.261937
28.578788,85.21528,60.013637,-7.268387
28.820981,84.368224,60.018386,-7.274837
29.063174,85.197409,60.023135,-7.281287
29.305367,84.724829,60.027883,-7.287737
29.54756,85.606924,60.032632,-7.294187
29.789753,84.879698,60.037382,-7.300636
30.031947,85.00044,60.042132,-7.307086
30.27414,86.419437,60.046881,-7.313536
30.516333,86.528837,60.051631,-7.319986
30.758526,85.988112,60.056381,-7.326435
31.000719,85.420228,60.06113,-7.332886
31.242912,85.281495,60.065881,-7.339335
31.485105,85.644677,60.070631,-7.345784
31.727298,84.894977,60.075381,-7.352234
31.969491,84.525924,60.080132,-7.358683
32.211685,84.836103,60.084882,-7.365132
32.453878,84.337412,60.089633,-7.371582
32.696071,84.313689,60.094384,-7.378031
32.938264,83.127075,60.099135,-7.38448
33.180457,82.718488,60.103885,-7.39093
33.42265,83.310979,60.108638,-7.397379
33.664843,83.089895,60.113389,-7.403828
33.907036,80.708157,60.118141,-7.410277
34.14923,79.278301,60.122892,-7.416726
34.391423,78.464461,60.127644,-7.423175
34.633616,78.089811,60.132395,-7.429624
34.875809,78.256467,60.137148,-7.436073
35.118002,78.461642,60.141901,-7.442521
35.360195,80.07238,60.146652,-7.44897
35.602388,82.76389,60.151406,-7.455418
35.844581,83.074404,60.156159,-7.461867
36.086774,81.033601,60.160911,-7.468316
36.328968,80.904188,60.165665,-7.474764
36.571161,83.765617,60.170417,-7.481213
36.813354,80.28664,60.175171,-7.487661
37.055547,80.970325,60.179923,-7.49411
37.29774,82.34769,60.184677,-7.500558
37.539933,82.556632,60.189432,-7.507006
37.782126,81.874481,60.194186,-7.513454
38.024319,84.606859,60.19894,-7.519902
38.266513,85.848573,60.203694,-7.52635
38.508706,85.735891,60.208448,-7.532798
38.750899,82.746785,60.213202,-7.539246
38.993092,79.887578,60.217957,-7.545694
39.235285,78.889331,60.222711,-7.552143
39.477478,79.699023,60.227466,-7.55859
39.719671,79.71914,60.23222,-7.565039
39.961864,77.537759,60.236977,-7.571486
40.204057,78.100819,60.241732,-7.577933
