position,TerrainSlope,lon,lat
0,9.120376,76.369793,-9.064983
0.145098,8.452562,76.369265,-9.06974
0.290195,6.951556,76.368736,-9.074496
0.435293,6.417586,76.368208,-9.079253
0.58039,6.159325,76.36768,-9.084009
0.725488,6.234795,76.367151,-9.088765
0.870585,6.073381,76.366623,-9.093522
1.015683,4.90318,76.366094,-9.098278
1.16078,3.578883,76.365565,-9.103035
1.305878,4.870739,76.365037,-9.107791
1.450975,7.584927,76.364508,-9.112548
1.596073,8.383801,76.36398,-9.117304
1.74117,8.162992,76.363452,-9.122061
1.886268,7.334915,76.362923,-9.126817
2.031365,5.799071,76.362394,-9.131574
2.176463,5.124451,76.361866,-9.13633
2.32156,5.352214,76.361338,-9.141087
2.466658,5.31741,76.360809,-9.145843
2.611755,4.155506,76.36028,-9.1506
2.756853,3.165058,76.359752,-9.155356
2.90195,3.135311,76.359223,-9.160112
3.047048,3.29166,76.358694,-9.164869
3.192145,3.016537,76.358165,-9.169625
3.337243,3.479677,76.357637,-9.174382
3.48234,4.487296,76.357108,-9.179138
3.627438,4.410982,76.356579,-9.183895
3.772535,3.344326,76.35605,-9.188651
3.917633,1.517557,76.355522,-9.193408
4.062731,2.949519,76.354993,-9.198164
4.207828,4.558594,76.354464,-9.202921
4.352926,6.959693,76.353935,-9.207677
4.498023,7.519529,76.353407,-9.212434
4.643121,7.454389,76.352878,-9.21719
4.788218,7.92089,76.352349,-9.221946
4.933316,8.126415,76.35182,-9.226703
5.078413,8.424821,76.351291,-9.231459
5.223511,8.281628,76.350762,-9.236216
5.368608,8.156379,76.350234,-9.240972
5.513706,8.846237,76.349704,-9.245729
5.658803,9.73585,76.349175,-9.250485
5.803901,9.785879,76.348646,-9.255241
5.948998,7.984912,76.348118,-9.259998
6.094096,6.189021,76.347589,-9.264754
6.239193,5.175556,76.34706,-9.269511
6.384291,4.331719,76.346531,-9.274267
6.529388,4.731889,76.346002,-9.279024
6.674486,6.244054,76.345473,-9.28378
6.819583,7.167185,76.344944,-9.288537
6.964681,8.251261,76.344414,-9.293293
7.109778,9.517636,76.343885,-9.298049
7.254876,9.903161,76.343356,-9.302806
7.399973,9.675475,76.342827,-9.307562
7.545071,9.422815,76.342298,-9.312319
7.690168,9.329086,76.341769,-9.317075
7.835266,9.712562,76.34124,-9.321832
7.980364,9.07967,76.340711,-9.326588
8.125461,6.61375,76.340181,-9.331344
8.270559,6.419822,76.339652,-9.336101
8.415656,8.771668,76.339123,-9.340857
8.560754,9.818167,76.338594,-9.345614
8.705851,8.052125,76.338065,-9.35037
8.850949,6.240686,76.337535,-9.355127
8.996046,5.201137,76.337006,-9.359883
9.141144,2.907481,76.336476,-9.364639
9.286241,2.334226,76.335948,-9.369396
9.431339,6.02425,76.335418,-9.374152
9.576436,10.627814,76.334889,-9.378909
9.721534,13.77134,76.33436,-9.383665
9.866631,17.382503,76.33383,-9.388422
10.011729,21.138901,76.333301,-9.393178
10.156826,21.697352,76.332771,-9.397934
10.301924,21.753146,76.332242,-9.402691
10.447021,23.766337,76.331712,-9.407447
10.592119,26.210346,76.331183,-9.412204
10.737216,28.706533,76.330654,-9.41696
10.882314,31.159921,76.330124,-9.421717
11.027411,31.110924,76.329595,-9.426473
11.172509,29.550999,76.329065,-9.431229
11.317606,28.34445,76.328536,-9.435986
11.462704,27.553317,76.328006,-9.440742
11.607801,27.416609,76.327477,-9.445499
11.752899,27.387473,76.326947,-9.450255
11.897996,28.011292,76.326417,-9.455011
12.043094,28.413353,76.325888,-9.459768
12.188192,26.42937,76.325358,-9.464524
12.333289,23.877745,76.324829,-9.469281
12.478387,22.27132,76.324299,-9.474037
12.623484,19.929694,76.32377,-9.478794
12.768582,15.600271,76.32324,-9.48355
12.913679,9.794851,76.322711,-9.488306
13.058777,4.918655,76.322181,-9.493063
13.203874,3.840492,76.321651,-9.497819
13.348972,4.41382,76.321121,-9.502576
13.494069,3.86103,76.320591,-9.507332
13.639167,3.338254,76.320062,-9.512088
13.784264,4.060829,76.319533,-9.516845
13.929362,4.703568,76.319003,-9.521601
14.074459,4.93272,76.318473,-9.526358
14.219557,5.612059,76.317943,-9.531114
