position,Clinopyroxene Abundance,lon,lat
0,13.457361,76.369793,-9.064983
0.145098,12.254656,76.369265,-9.06974
0.290195,12.027227,76.368736,-9.074496
0.435293,13.024308,76.368208,-9.079253
0.58039,14.638085,76.36768,-9.084009
0.725488,11.854719,76.367151,-9.088765
0.870585,11.951373,76.366623,-9.093522
1.015683,10.937144,76.366094,-9.098278
1.16078,10.180014,76.365565,-9.103035
1.305878,9.816193,76.365037,-9.107791
1.450975,9.538848,76.364508,-9.112548
1.596073,9.765488,76.36398,-9.117304
1.74117,11.514097,76.363452,-9.122061
1.886268,10.708695,76.362923,-9.126817
2.031365,10.024201,76.362394,-9.131574
2.176463,10.476589,76.361866,-9.13633
2.32156,11.431138,76.361338,-9.141087
2.466658,11.433261,76.360809,-9.145843
2.611755,11.042347,76.36028,-9.1506
2.756853,10.598924,76.359752,-9.155356
2.90195,10.835139,76.359223,-9.160112
3.047048,11.408889,76.358694,-9.164869
3.192145,12.599799,76.358165,-9.169625
3.337243,12.099148,76.357637,-9.174382
3.48234,11.152151,76.357108,-9.179138
3.627438,10.474687,76.356579,-9.183895
3.772535,10.453072,76.35605,-9.188651
3.917633,9.871076,76.355522,-9.193408
4.062731,8.634864,76.354993,-9.198164
4.207828,9.676158,76.354464,-9.202921
4.352926,8.414102,76.353935,-9.207677
4.498023,8.5661,76.353407,-9.212434
4.643121,7.02323,76.352878,-9.21719
4.788218,6.45409,76.352349,-9.221946
4.933316,6.076399,76.35182,-9.226703
5.078413,7.174227,76.351291,-9.231459
5.223511,5.299204,76.350762,-9.236216
5.368608,6.54873,76.350234,-9.240972
5.513706,5.794889,76.349704,-9.245729
5.658803,8.108998,76.349175,-9.250485
5.803901,7.829989,76.348646,-9.255241
5.948998,7.168204,76.348118,-9.259998
6.094096,7.567563,76.347589,-9.264754
6.239193,5.71602,76.34706,-9.269511
6.384291,5.529383,76.346531,-9.274267
6.529388,11.228648,76.346002,-9.279024
6.674486,21.727236,76.345473,-9.28378
6.819583,20.013334,76.344944,-9.288537
6.964681,18.996086,76.344414,-9.293293
7.109778,20.12304,76.343885,-9.298049
7.254876,18.333759,76.343356,-9.302806
7.399973,13.276886,76.342827,-9.307562
7.545071,12.402892,76.342298,-9.312319
7.690168,4.682971,76.341769,-9.317075
7.835266,0.195131,76.34124,-9.321832
7.980364,0.761821,76.340711,-9.326588
8.125461,3.29361,76.340181,-9.331344
8.270559,13.341162,76.339652,-9.336101
8.415656,22.874754,76.339123,-9.340857
8.560754,25.014074,76.338594,-9.345614
8.705851,23.002014,76.338065,-9.35037
8.850949,17.667937,76.337535,-9.355127
8.996046,13.060897,76.337006,-9.359883
9.141144,16.606886,76.336476,-9.364639
9.286241,16.963576,76.335948,-9.369396
9.431339,10.59871,76.335418,-9.374152
9.576436,2.337221,76.334889,-9.378909
9.721534,7.470427,76.33436,-9.383665
9.866631,13.21672,76.33383,-9.388422
10.011729,18.474883,76.333301,-9.393178
10.156826,20.965151,76.332771,-9.397934
10.301924,21.266033,76.332242,-9.402691
10.447021,17.325784,76.331712,-9.407447
10.592119,11.03279,76.331183,-9.412204
10.737216,14.428664,76.330654,-9.41696
10.882314,20.155833,76.330124,-9.421717
11.027411,21.151087,76.329595,-9.426473
11.172509,20.828617,76.329065,-9.431229
11.317606,19.107252,76.328536,-9.435986
11.462704,14.66922,76.328006,-9.440742
11.607801,16.257812,76.327477,-9.445499
11.752899,17.2555,76.326947,-9.450255
11.897996,18.196463,76.326417,-9.455011
12.043094,19.152557,76.325888,-9.459768
12.188192,19.228958,76.325358,-9.464524
12.333289,12.375895,76.324829,-9.469281
12.478387,2.729049,76.324299,-9.474037
12.623484,0.088079,76.32377,-9.478794
12.768582,1.64067,76.32324,-9.48355
12.913679,9.208999,76.322711,-9.488306
13.058777,15.579567,76.322181,-9.493063
13.203874,18.443427,76.321651,-9.497819
13.348972,18.85596,76.321121,-9.502576
13.494069,21.26151,76.320591,-9.507332
13.639167,22.496486,76.320062,-9.512088
13.784264,20.889088,76.319533,-9.516845
13.929362,18.746678,76.319003,-9.521601
14.074459,14.144248,76.318473,-9.526358
14.219557,14.982674,76.317943,-9.531114
14.364654,16.496175,76.317413,-9.53587
14.509752,9.905023,76.316883,-9.540627
14.654849,5.562389,76.316354,-9.545383
14.799947,5.559082,76.315823,-9.55014
14.945044,4.005188,76.315293,-9.554896
15.090142,3.722971,76.314764,-9.559652
15.235239,5.386287,76.314234,-9.564409
15.380337,6.328327,76.313704,-9.569165
15.525434,3.748382,76.313174,-9.573922
15.670532,3.462655,76.312644,-9.578678
15.815629,2.839029,76.312114,-9.583434
15.960727,3.233316,76.311584,-9.588191
16.105825,4.187108,76.311054,-9.592947
16.250922,4.412911,76.310524,-9.597703
16.39602,7.180911,76.309994,-9.60246
16.541117,8.156083,76.309465,-9.607216
16.686215,9.404191,76.308934,-9.611973
16.831312,8.938421,76.308404,-9.616729
16.97641,8.52702,76.307874,-9.621485
17.121507,7.89521,76.307344,-9.626242
17.266605,7.897922,76.306814,-9.630998
17.411702,7.969867,76.306284,-9.635755
17.5568,9.024484,76.305754,-9.640511
17.701897,10.390083,76.305224,-9.645267
17.846995,6.884395,76.304693,-9.650024
17.992092,5.939605,76.304163,-9.65478
18.13719,8.164781,76.303633,-9.659536
18.282287,8.588511,76.303103,-9.664293
18.427385,8.984131,76.302572,-9.669049
18.572482,8.096683,76.302042,-9.673806
18.71758,6.550518,76.301512,-9.678562
18.862677,5.960957,76.300982,-9.683318
19.007775,5.18617,76.300451,-9.688075
19.152872,5.679579,76.299921,-9.692831
19.29797,4.970814,76.299391,-9.697587
19.443067,3.833231,76.298861,-9.702344
19.588165,3.628982,76.29833,-9.7071
19.733262,4.949623,76.2978,-9.711857
19.87836,5.378275,76.29727,-9.716613
20.023458,5.814964,76.296739,-9.721369
20.168555,5.817054,76.296208,-9.726126
20.313653,7.145942,76.295678,-9.730882
20.45875,6.197514,76.295148,-9.735638
20.603848,5.567749,76.294618,-9.740395
20.748945,6.616904,76.294087,-9.745151
20.894043,5.400214,76.293556,-9.749907
21.03914,4.706489,76.293026,-9.754664
21.184238,4.249276,76.292496,-9.75942
21.329335,4.186755,76.291965,-9.764177
21.474433,3.846648,76.291435,-9.768933
21.61953,4.753597,76.290904,-9.773689
21.764628,6.031012,76.290373,-9.778446
21.909725,6.979846,76.289843,-9.783202
22.054823,5.856604,76.289312,-9.787958
22.19992,4.651657,76.288781,-9.792715
22.345018,2.828346,76.288251,-9.797471
22.490115,3.474685,76.28772,-9.802227
22.635213,4.951259,76.28719,-9.806984
22.78031,6.364247,76.286659,-9.81174
22.925408,7.562856,76.286128,-9.816496
23.070505,6.453928,76.285598,-9.821253
23.215603,7.017992,76.285067,-9.826009
23.3607,6.862754,76.284536,-9.830765
23.505798,7.377561,76.284005,-9.835522
23.650895,6.938393,76.283474,-9.840278
23.795993,8.080314,76.282944,-9.845035
23.941091,6.588474,76.282413,-9.849791
24.086188,4.587204,76.281882,-9.854547
24.231286,3.042045,76.281351,-9.859304
24.376383,4.168075,76.28082,-9.86406
24.521481,6.700224,76.28029,-9.868816
24.666578,7.104766,76.279759,-9.873573
24.811676,7.381111,76.279228,-9.878329
24.956773,8.215192,76.278697,-9.883085
25.101871,6.560637,76.278166,-9.887842
25.246968,4.774242,76.277636,-9.892598
25.392066,5.981935,76.277104,-9.897354
25.537163,6.830752,76.276573,-9.902111
25.682261,5.658667,76.276042,-9.906867
25.827358,5.730489,76.275511,-9.911623
25.972456,6.980707,76.27498,-9.91638
26.117553,5.476166,76.274449,-9.921136
26.262651,2.615135,76.273918,-9.925892
26.407748,2.345897,76.273387,-9.930649
26.552846,3.292455,76.272856,-9.935405
26.697943,3.044572,76.272325,-9.940161
26.843041,2.144442,76.271794,-9.944918
26.988138,2.477672,76.271263,-9.949674
27.133236,2.789157,76.270731,-9.95443
27.278333,3.238674,76.2702,-9.959187
27.423431,3.956153,76.269669,-9.963943
27.568528,3.604726,76.269138,-9.968699
27.713626,4.766411,76.268607,-9.973456
27.858723,5.920837,76.268075,-9.978212
28.003821,5.96432,76.267545,-9.982968
28.148919,6.06008,76.267013,-9.987724
28.294016,4.623775,76.266482,-9.992481
28.439114,6.08698,76.26595,-9.997237
28.584211,4.133615,76.26542,-10.001993
28.729309,4.981377,76.264888,-10.00675
28.874406,5.438627,76.264357,-10.011506
29.019504,4.69099,76.263825,-10.016262
29.164601,3.67511,76.263294,-10.021019
29.309699,1.938323,76.262763,-10.025775
29.454796,0.8289,76.262231,-10.030531
29.599894,1.062256,76.2617,-10.035288
29.744991,3.186062,76.261168,-10.040044
29.890089,2.43923,76.260637,-10.0448
30.035186,1.682229,76.260105,-10.049557
30.180284,1.786243,76.259574,-10.054313
30.325381,2.19465,76.259043,-10.059069
30.470479,3.095144,76.258511,-10.063826
30.615576,4.032142,76.25798,-10.068582
30.760674,5.427638,76.257448,-10.073338
30.905771,6.68233,76.256917,-10.078094
31.050869,6.663492,76.256385,-10.082851
31.195966,5.667595,76.255854,-10.087607
31.341064,5.351443,76.255322,-10.092363
31.486161,6.238009,76.254791,-10.09712
31.631259,6.664682,76.254259,-10.101876
31.776356,8.37924,76.253727,-10.106632
31.921454,10.09229,76.253196,-10.111389
32.066552,8.672193,76.252664,-10.116145
32.211649,5.880621,76.252132,-10.120901
32.356747,4.610682,76.251601,-10.125657
32.501844,5.125352,76.251069,-10.130414
32.646942,6.17618,76.250537,-10.13517
32.792039,4.457777,76.250005,-10.139926
32.937137,3.635459,76.249473,-10.144683
33.082234,4.965506,76.248942,-10.149439
33.227332,5.455095,76.24841,-10.154195
33.372429,4.638795,76.247878,-10.158951
33.517527,5.318383,76.247346,-10.163708
33.662624,4.530201,76.246814,-10.168464
33.807722,5.696649,76.246282,-10.17322
33.952819,4.802604,76.245751,-10.177977
34.097917,4.049586,76.245219,-10.182733
34.243014,5.785802,76.244687,-10.187489
34.388112,7.853927,76.244155,-10.192245
34.533209,9.05269,76.243623,-10.197002
34.678307,9.029245,76.243091,-10.201758
34.823404,9.01953,76.242559,-10.206514
34.968502,6.99612,76.242027,-10.211271
35.113599,7.573142,76.241495,-10.216027
35.258697,9.853714,76.240963,-10.220783
35.403794,9.369238,76.240431,-10.225539
35.548892,8.822876,76.239899,-10.230296
35.693989,8.411945,76.239367,-10.235052
35.839087,8.700307,76.238835,-10.239808
35.984185,8.293286,76.238303,-10.244565
36.129282,7.707079,76.237771,-10.249321
36.27438,6.051316,76.237238,-10.254077
36.419477,5.563462,76.236707,-10.258833
36.564575,6.243049,76.236174,-10.26359
36.709672,5.493255,76.235642,-10.268346
36.85477,5.583803,76.23511,-10.273102
36.999867,6.797118,76.234578,-10.277858
37.144965,7.349148,76.234046,-10.282615
37.290062,6.28342,76.233513,-10.287371
37.43516,6.298807,76.232981,-10.292127
37.580257,5.048124,76.232449,-10.296883
37.725355,4.418865,76.231916,-10.30164
37.870452,4.796968,76.231384,-10.306396
38.01555,6.310388,76.230852,-10.311152
38.160647,8.705657,76.230319,-10.315908
38.305745,7.706019,76.229787,-10.320665
38.450842,5.057499,76.229255,-10.325421
38.59594,3.98062,76.228722,-10.330177
38.741037,4.067531,76.22819,-10.334934
38.886135,4.082908,76.227657,-10.33969
39.031232,5.094918,76.227125,-10.344446
39.17633,6.141651,76.226593,-10.349202
39.321427,8.35238,76.22606,-10.353959
39.466525,7.777992,76.225528,-10.358715
39.611622,6.958436,76.224995,-10.363471
39.75672,3.633335,76.224463,-10.368227
39.901818,2.74677,76.22393,-10.372984
40.046915,4.065595,76.223398,-10.37774
40.192013,5.346865,76.222865,-10.382496
40.33711,5.132975,76.222333,-10.387252
40.482208,5.13026,76.2218,-10.392009
40.627305,5.801278,76.221267,-10.396765
40.772403,7.136609,76.220735,-10.401521
40.9175,7.684499,76.220202,-10.406277
41.062598,6.124169,76.219669,-10.411034
41.207695,6.851854,76.219137,-10.41579
41.352793,7.566674,76.218604,-10.420546
41.49789,8.374795,76.218072,-10.425302
41.642988,8.353452,76.217539,-10.430059
41.788085,7.492967,76.217006,-10.434815
41.933183,7.364611,76.216473,-10.439571
42.07828,7.622884,76.215941,-10.444327
42.223378,8.884377,76.215408,-10.449083
42.368475,7.835318,76.214875,-10.45384
42.513573,7.658799,76.214342,-10.458596
42.65867,8.027886,76.213809,-10.463352
42.803768,7.837248,76.213276,-10.468108
42.948865,7.51701,76.212743,-10.472865
43.093963,6.269583,76.21221,-10.477621
43.23906,6.820095,76.211678,-10.482377
43.384158,8.098914,76.211145,-10.487133
43.529255,8.331066,76.210612,-10.49189
43.674353,6.060873,76.210079,-10.496646
43.81945,5.389613,76.209546,-10.501402
43.964548,2.318758,76.209013,-10.506158
44.109646,1.432823,76.20848,-10.510914
44.254743,1.036561,76.207947,-10.515671
44.399841,1.577856,76.207414,-10.520427
44.544938,3.5907,76.206881,-10.525183
44.690036,4.641427,76.206348,-10.529939
44.835133,4.9246,76.205815,-10.534696
44.980231,5.24319,76.205282,-10.539452
45.125328,6.495589,76.204749,-10.544208
45.270426,6.995922,76.204215,-10.548964
45.415523,6.589,76.203682,-10.55372
45.560621,5.851239,76.203149,-10.558477
45.705718,4.829514,76.202616,-10.563233
45.850816,6.183097,76.202083,-10.567989
45.995913,6.173143,76.20155,-10.572745
46.141011,5.476021,76.201016,-10.577502
46.286108,5.325596,76.200483,-10.582258
46.431206,4.696674,76.19995,-10.587014
46.576303,4.454901,76.199416,-10.59177
46.721401,3.869262,76.198883,-10.596526
46.866498,4.976476,76.19835,-10.601283
47.011596,5.228469,76.197817,-10.606039
47.156693,5.376024,76.197283,-10.610795
47.301791,5.395141,76.19675,-10.615551
47.446888,5.63186,76.196216,-10.620307
47.591986,6.198817,76.195683,-10.625064
47.737083,6.366044,76.195149,-10.62982
47.882181,5.636345,76.194616,-10.634576
48.027279,6.073414,76.194083,-10.639332
48.172376,7.088307,76.19355,-10.644088
48.317474,6.455806,76.193016,-10.648845
48.462571,7.092355,76.192482,-10.653601
48.607669,6.393497,76.191949,-10.658357
48.752766,5.998234,76.191415,-10.663113
48.897864,7.665855,76.190882,-10.667869
49.042961,7.93239,76.190347,-10.672625
49.188059,8.114153,76.189814,-10.677382
49.333156,8.300306,76.189281,-10.682138
49.478254,7.645085,76.188748,-10.686894
49.623351,6.298451,76.188213,-10.69165
49.768449,5.533138,76.18768,-10.696407
49.913546,5.436405,76.187147,-10.701163
50.058644,5.877247,76.186613,-10.705919
50.203741,5.004926,76.186079,-10.710675
50.348839,4.05448,76.185545,-10.715431
50.493936,4.864311,76.185011,-10.720187
50.639034,6.685296,76.184478,-10.724944
50.784131,6.899048,76.183944,-10.7297
50.929229,5.697655,76.183411,-10.734456
51.074326,4.489919,76.182876,-10.739212
51.219424,4.037759,76.182343,-10.743968
51.364521,5.366183,76.181809,-10.748725
51.509619,7.284522,76.181275,-10.753481
51.654716,7.794124,76.180741,-10.758237
51.799814,5.758518,76.180207,-10.762993
51.944912,4.693871,76.179673,-10.767749
52.090009,4.738858,76.179139,-10.772505
52.235107,5.313408,76.178606,-10.777262
52.380204,4.954743,76.178071,-10.782018
52.525302,4.162685,76.177538,-10.786774
52.670399,4.017507,76.177004,-10.79153
52.815497,3.443524,76.17647,-10.796286
52.960594,2.896631,76.175936,-10.801042
53.105692,2.528649,76.175401,-10.805799
53.250789,3.163736,76.174867,-10.810555
53.395887,3.622405,76.174333,-10.815311
53.540984,4.542125,76.173799,-10.820067
53.686082,5.341715,76.173264,-10.824823
53.831179,6.110585,76.17273,-10.829579
53.976277,4.669963,76.172197,-10.834336
54.121374,4.198856,76.171663,-10.839092
54.266472,5.642782,76.171129,-10.843848
54.411569,7.513583,76.170594,-10.848604
54.556667,8.813377,76.17006,-10.85336
54.701764,8.001269,76.169526,-10.858116
54.846862,6.604182,76.168992,-10.862873
54.991959,5.011574,76.168458,-10.867629
55.137057,6.00847,76.167923,-10.872385
55.282154,7.26461,76.167389,-10.877141
55.427252,5.439465,76.166855,-10.881897
55.572349,5.615815,76.16632,-10.886653
55.717447,7.604744,76.165786,-10.89141
55.862545,8.663155,76.165252,-10.896166
56.007642,6.411481,76.164717,-10.900922
56.15274,6.47427,76.164183,-10.905678
56.297837,7.373618,76.163648,-10.910434
56.442935,4.558035,76.163114,-10.91519
56.588032,3.560644,76.16258,-10.919946
56.73313,3.749114,76.162045,-10.924703
56.878227,6.052169,76.161511,-10.929459
57.023325,7.550985,76.160977,-10.934215
57.168422,8.772438,76.160442,-10.938971
57.31352,7.392483,76.159907,-10.943727
57.458617,6.271799,76.159373,-10.948483
57.603715,6.590749,76.158838,-10.953239
57.748812,6.060861,76.158303,-10.957996
57.89391,4.531664,76.157769,-10.962752
58.039007,6.881213,76.157234,-10.967508
58.184105,6.905272,76.1567,-10.972264
58.329202,7.614997,76.156165,-10.97702
58.4743,6.257822,76.15563,-10.981776
58.619397,6.2784,76.155095,-10.986532
58.764495,5.664769,76.154561,-10.991289
58.909592,6.081963,76.154026,-10.996045
59.05469,6.555522,76.153492,-11.000801
59.199787,5.781721,76.152957,-11.005557
59.344885,5.428367,76.152422,-11.010313
59.489982,5.506905,76.151887,-11.015069
59.63508,5.814862,76.151352,-11.019825
59.780177,4.503434,76.150818,-11.024581
59.925275,7.312557,76.150283,-11.029338
60.070373,8.48429,76.149748,-11.034094
60.21547,7.714529,76.149213,-11.03885
60.360568,7.382154,76.148677,-11.043606
60.505665,7.871163,76.148143,-11.048362
60.650763,8.088511,76.147608,-11.053118
60.79586,8.72818,76.147074,-11.057874
60.940958,8.307375,76.146538,-11.06263
61.086055,5.613438,76.146003,-11.067387
61.231153,6.639673,76.145468,-11.072143
61.37625,5.576404,76.144933,-11.076899
61.521348,6.023345,76.144398,-11.081655
61.666445,3.650383,76.143863,-11.086411
61.811543,2.740851,76.143328,-11.091167
61.95664,3.778993,76.142793,-11.095923
62.101738,4.646383,76.142258,-11.100679
62.246835,4.686752,76.141723,-11.105435
62.391933,4.801674,76.141188,-11.110192
62.53703,3.840002,76.140653,-11.114948
62.682128,2.686953,76.140118,-11.119704
62.827225,3.636121,76.139583,-11.12446
62.972323,4.845334,76.139047,-11.129216
63.11742,6.836456,76.138512,-11.133972
63.262518,7.978025,76.137977,-11.138728
63.407615,10.544853,76.137441,-11.143484
63.552713,9.828287,76.136907,-11.14824
63.69781,8.26213,76.136371,-11.152996
63.842908,8.186673,76.135836,-11.157753
63.988006,7.333469,76.1353,-11.162509
64.133103,6.48021,76.134765,-11.167265
64.278201,7.264719,76.13423,-11.172021
64.423298,8.444083,76.133694,-11.176777
64.568396,8.339854,76.133159,-11.181533
64.713493,7.978452,76.132624,-11.186289
64.858591,7.152935,76.132088,-11.191045
65.003688,6.679897,76.131553,-11.195801
65.148786,5.162379,76.131017,-11.200557
65.293883,6.121741,76.130482,-11.205314
65.438981,7.512534,76.129945,-11.21007
65.584078,9.650491,76.129411,-11.214826
65.729176,11.213062,76.128875,-11.219582
65.874273,11.729386,76.12834,-11.224338
66.019371,10.635638,76.127804,-11.229094
66.164468,10.850042,76.127268,-11.23385
66.309566,10.085485,76.126733,-11.238606
66.454663,10.198711,76.126197,-11.243362
66.599761,10.923775,76.125661,-11.248118
66.744858,10.276323,76.125126,-11.252874
66.889956,6.801799,76.12459,-11.25763
