position,TerrainHeight,lon,lat
0,626.479448,77.539712,-9.438453
0.156496,630.626956,77.535866,-9.441952
0.312993,634.741422,77.53202,-9.44545
0.469489,641.414834,77.528174,-9.448949
0.625985,650.747561,77.524327,-9.452447
0.782482,656.002582,77.520481,-9.455946
0.938978,660.488092,77.516634,-9.459444
1.095474,663.151353,77.512788,-9.462943
1.25197,661.284143,77.50894,-9.46644
1.408467,655.516224,77.505095,-9.46994
1.564963,650.915689,77.501248,-9.473438
1.721459,640.273771,77.4974,-9.476935
1.877956,631.888573,77.493554,-9.480435
2.034452,622.543437,77.489707,-9.483933
2.190948,609.246038,77.48586,-9.487431
2.347445,595.804386,77.482013,-9.490929
2.503941,587.884346,77.478166,-9.494427
2.660437,587.162374,77.474318,-9.497925
2.816933,600.224357,77.470471,-9.501423
2.97343,617.053967,77.466623,-9.50492
3.129926,628.84702,77.462776,-9.508419
3.286422,631.037933,77.458928,-9.511916
3.442919,625.892308,77.455081,-9.515415
3.599415,619.926286,77.451232,-9.518912
3.755911,618.353439,77.447384,-9.522409
3.912408,621.558919,77.443536,-9.525907
4.068904,626.258431,77.439689,-9.529406
4.2254,631.366187,77.43584,-9.532902
4.381896,630.372201,77.431993,-9.536401
4.538393,629.894972,77.428145,-9.539898
4.694889,627.779419,77.424296,-9.543395
4.851385,623.960717,77.420448,-9.546893
5.007882,619.430244,77.4166,-9.550391
5.164378,614.63448,77.412751,-9.553888
5.320874,606.691329,77.408903,-9.557386
5.477371,597.543829,77.405054,-9.560883
5.633867,597.146034,77.401205,-9.56438
5.790363,607.721222,77.397356,-9.567877
5.946859,616.315617,77.393507,-9.571374
6.103356,624.29273,77.389658,-9.574871
6.259852,628.61997,77.385809,-9.578368
6.416348,635.732633,77.38196,-9.581865
6.572845,645.354148,77.37811,-9.585362
6.729341,653.969954,77.374261,-9.588859
6.885837,657.921644,77.370411,-9.592355
7.042334,662.040309,77.366562,-9.595853
7.19883,671.238593,77.362713,-9.59935
7.355326,682.379965,77.358863,-9.602847
7.511822,687.409486,77.355013,-9.606343
7.668319,687.009194,77.351163,-9.60984
7.824815,685.61797,77.347313,-9.613337
7.981311,685.623249,77.343463,-9.616833
8.137808,692.217444,77.339612,-9.620329
8.294304,712.847446,77.335763,-9.623826
8.4508,732.651327,77.331913,-9.627323
8.607297,738.870223,77.328063,-9.630819
8.763793,741.752267,77.324211,-9.634315
8.920289,755.30689,77.320362,-9.637812
9.076785,779.040769,77.316511,-9.641308
9.233282,806.075927,77.312661,-9.644805
9.389778,836.156933,77.30881,-9.648301
9.546274,865.802836,77.304959,-9.651797
9.702771,896.237717,77.301108,-9.655293
9.859267,921.712046,77.297257,-9.658789
10.015763,942.187542,77.293406,-9.662285
10.17226,959.8315,77.289556,-9.665782
10.328756,980.390745,77.285704,-9.669277
10.485252,996.995145,77.281853,-9.672773
10.641748,1010.063301,77.278001,-9.676269
10.798245,1018.711027,77.27415,-9.679765
10.954741,1016.14223,77.270298,-9.683261
11.111237,1006.212177,77.266447,-9.686756
11.267734,988.388342,77.262594,-9.690251
11.42423,959.564098,77.258743,-9.693748
11.580726,934.844694,77.254892,-9.697243
11.737223,926.78869,77.25104,-9.700739
11.893719,928.877684,77.247188,-9.704234
12.050215,932.401469,77.243336,-9.70773
12.206711,936.76438,77.239484,-9.711225
12.363208,955.854215,77.235631,-9.714721
12.519704,980.516983,77.231779,-9.718216
12.6762,1004.702647,77.227927,-9.721711
12.832697,1011.646288,77.224074,-9.725207
12.989193,1006.781526,77.220222,-9.728702
13.145689,997.647405,77.216368,-9.732196
13.302186,989.225564,77.212516,-9.735692
13.458682,994.637439,77.208663,-9.739186
13.615178,1016.874859,77.204811,-9.742682
13.771674,1046.529997,77.200958,-9.746177
13.928171,1060.934006,77.197105,-9.749673
14.084667,1069.961638,77.193251,-9.753167
14.241163,1080.179918,77.189399,-9.756662
14.39766,1082.461704,77.185545,-9.760157
14.554156,1068.596109,77.181691,-9.763651
14.710652,1025.837725,77.177837,-9.767146
14.867149,957.694815,77.173985,-9.770641
15.023645,887.3946,77.170131,-9.774136
15.180141,817.017308,77.166277,-9.77763
15.336637,745.430659,77.162424,-9.781125
15.493134,668.783781,77.15857,-9.78462
15.64963,589.508465,77.154715,-9.788113
15.806126,514.51683,77.150862,-9.791608
15.962623,448.444628,77.147008,-9.795103
16.119119,383.937465,77.143154,-9.798597
16.275615,321.080447,77.139299,-9.802092
16.432112,264.001194,77.135444,-9.805585
16.588608,228.804886,77.131591,-9.80908
16.745104,211.771944,77.127735,-9.812573
16.9016,200.387519,77.123881,-9.816068
17.058097,192.974333,77.120027,-9.819562
17.214593,186.152197,77.116172,-9.823057
17.371089,184.61117,77.112317,-9.826551
17.527586,192.64158,77.108462,-9.830045
17.684082,209.034827,77.104607,-9.833538
17.840578,219.501854,77.100752,-9.837032
17.997075,219.265414,77.096897,-9.840526
18.153571,206.972373,77.093042,-9.84402
18.310067,187.988663,77.089187,-9.847514
18.466563,152.674596,77.085331,-9.851007
18.62306,103.116608,77.081476,-9.854501
18.779556,46.249472,77.07762,-9.857995
18.936052,-7.836604,77.073765,-9.861488
19.092549,-63.104221,77.069908,-9.864981
19.249045,-119.782157,77.066052,-9.868474
19.405541,-167.765285,77.062197,-9.871969
19.562038,-208.947931,77.058341,-9.875462
19.718534,-245.972058,77.054484,-9.878955
19.87503,-278.758957,77.050629,-9.882449
20.031526,-306.818803,77.046773,-9.885942
20.188023,-327.336555,77.042917,-9.889435
20.344519,-346.413428,77.03906,-9.892928
20.501015,-365.867718,77.035203,-9.896421
20.657512,-387.624795,77.031347,-9.899915
20.814008,-413.252972,77.027491,-9.903408
20.970504,-439.875097,77.023634,-9.906901
21.127001,-471.884522,77.019777,-9.910394
21.283497,-507.233066,77.01592,-9.913887
21.439993,-545.293364,77.012063,-9.917379
21.596489,-585.543985,77.008206,-9.920872
21.752986,-622.627096,77.004348,-9.924364
21.909482,-659.125135,77.000492,-9.927858
22.065978,-682.7323,76.996634,-9.93135
22.222475,-691.093869,76.992777,-9.934843
22.378971,-687.986955,76.98892,-9.938336
22.535467,-682.884112,76.985063,-9.941828
22.691964,-702.093367,76.981205,-9.945321
22.84846,-744.858788,76.977347,-9.948813
23.004956,-798.14111,76.97349,-9.952306
23.161452,-851.745914,76.969632,-9.955798
23.317949,-898.703743,76.965774,-9.959291
23.474445,-940.365375,76.961916,-9.962783
23.630941,-974.394747,76.958058,-9.966275
23.787438,-1012.295683,76.954199,-9.969767
23.943934,-1054.198554,76.950341,-9.973259
24.10043,-1090.926854,76.946483,-9.976752
24.256927,-1121.651667,76.942624,-9.980244
24.413423,-1148.721751,76.938766,-9.983736
24.569919,-1183.251511,76.934907,-9.987228
24.726415,-1223.785528,76.931049,-9.99072
24.882912,-1267.373004,76.92719,-9.994211
25.039408,-1311.52288,76.923331,-9.997703
25.195904,-1353.084469,76.919472,-10.001195
25.352401,-1385.019123,76.915613,-10.004687
25.508897,-1414.085414,76.911754,-10.008179
25.665393,-1435.995127,76.907895,-10.01167
25.82189,-1458.429605,76.904035,-10.015161
25.978386,-1489.839841,76.900176,-10.018654
26.134882,-1521.712196,76.896317,-10.022145
26.291378,-1549.591448,76.892457,-10.025637
26.447875,-1573.529502,76.888598,-10.029128
26.604371,-1601.135312,76.884738,-10.032619
26.760867,-1628.497541,76.880878,-10.036111
26.917364,-1654.564086,76.877018,-10.039602
27.07386,-1685.359748,76.873158,-10.043093
27.230356,-1715.691564,76.869298,-10.046585
27.386853,-1739.126965,76.865438,-10.050075
27.543349,-1760.361011,76.861578,-10.053567
27.699845,-1777.503307,76.857718,-10.057058
27.856341,-1790.789824,76.853857,-10.060548
28.012838,-1805.592407,76.849996,-10.064039
28.169334,-1834.338544,76.846136,-10.06753
28.32583,-1872.233003,76.842276,-10.071022
28.482327,-1916.085182,76.838415,-10.074512
28.638823,-1964.59153,76.834555,-10.078004
28.795319,-2006.653533,76.830694,-10.081494
28.951816,-2048.264421,76.826833,-10.084985
29.108312,-2091.002116,76.822972,-10.088476
29.264808,-2137.814833,76.81911,-10.091966
29.421305,-2182.878623,76.81525,-10.095457
29.577801,-2231.491978,76.811388,-10.098948
29.734297,-2278.258595,76.807527,-10.102438
29.890793,-2312.117971,76.803666,-10.105929
30.04729,-2340.963101,76.799804,-10.109419
30.203786,-2365.470322,76.795942,-10.112909
30.360282,-2381.42113,76.792081,-10.1164
30.516779,-2386.887194,76.788219,-10.11989
30.673275,-2398.884181,76.784358,-10.123381
30.829771,-2409.058501,76.780495,-10.126871
30.986268,-2415.11013,76.776633,-10.130361
31.142764,-2424.913867,76.772771,-10.133851
31.29926,-2434.639454,76.768908,-10.13734
31.455756,-2439.106666,76.765046,-10.14083
31.612253,-2441.247397,76.761184,-10.144321
31.768749,-2444.496714,76.757322,-10.147811
31.925245,-2450.813713,76.753459,-10.151301
32.081742,-2452.999561,76.749597,-10.154791
32.238238,-2452.444191,76.745733,-10.158279
32.394734,-2454.160551,76.741871,-10.16177
32.551231,-2459.008883,76.738008,-10.16526
32.707727,-2464.188801,76.734146,-10.168749
32.864223,-2469.771661,76.730282,-10.172239
33.020719,-2477.011667,76.726419,-10.175728
33.177216,-2486.270023,76.722556,-10.179218
33.333712,-2495.22068,76.718693,-10.182708
33.490208,-2507.120976,76.71483,-10.186197
33.646705,-2518.248799,76.710966,-10.189686
33.803201,-2525.365889,76.707102,-10.193175
33.959697,-2528.590772,76.703239,-10.196665
34.116194,-2535.85492,76.699374,-10.200153
34.27269,-2552.693459,76.695511,-10.203644
34.429186,-2569.095849,76.691648,-10.207133
34.585682,-2584.676608,76.687784,-10.210622
34.742179,-2596.546327,76.68392,-10.214111
34.898675,-2606.529704,76.680055,-10.2176
35.055171,-2616.129659,76.67619,-10.221088
35.211668,-2618.829516,76.672327,-10.224578
35.368164,-2622.498722,76.668463,-10.228067
35.52466,-2629.313299,76.664598,-10.231555
35.681157,-2634.680908,76.660734,-10.235044
35.837653,-2637.434922,76.656869,-10.238533
35.994149,-2641.25124,76.653004,-10.242022
36.150645,-2644.354291,76.649139,-10.24551
36.307142,-2639.584166,76.645274,-10.248999
36.463638,-2636.023225,76.64141,-10.252488
36.620134,-2641.8437,76.637544,-10.255976
36.776631,-2659.634668,76.633679,-10.259465
36.933127,-2672.765763,76.629814,-10.262953
37.089623,-2673.70418,76.625949,-10.266441
37.24612,-2672.029519,76.622083,-10.26993
37.402616,-2676.834531,76.618218,-10.273418
37.559112,-2680.771212,76.614352,-10.276906
37.715608,-2685.855779,76.610487,-10.280394
37.872105,-2686.985455,76.60662,-10.283882
38.028601,-2690.032192,76.602755,-10.287371
38.185097,-2692.99674,76.598888,-10.290858
38.341594,-2696.011265,76.595023,-10.294347
38.49809,-2697.978571,76.591157,-10.297835
38.654586,-2697.769168,76.58729,-10.301322
38.811083,-2697.867066,76.583425,-10.304811
38.967579,-2699.628818,76.579558,-10.308298
39.124075,-2699.969287,76.575692,-10.311786
39.280571,-2703.395445,76.571825,-10.315274
39.437068,-2706.197406,76.567959,-10.318762
39.593564,-2705.525211,76.564092,-10.322249
39.75006,-2705.587005,76.560225,-10.325737
39.906557,-2705.98552,76.556358,-10.329224
40.063053,-2706.571526,76.552492,-10.332712
40.219549,-2708.333928,76.548625,-10.3362
40.376046,-2711.841765,76.544757,-10.339687
40.532542,-2708.620617,76.54089,-10.343174
40.689038,-2706.49555,76.537023,-10.346662
40.845534,-2707.207883,76.533156,-10.350149
41.002031,-2708.575925,76.529288,-10.353636
41.158527,-2702.882705,76.52542,-10.357122
41.315023,-2695.032076,76.521553,-10.36061
41.47152,-2688.121768,76.517685,-10.364097
41.628016,-2685.875904,76.513817,-10.367585
41.784512,-2683.82847,76.509949,-10.371071
41.941009,-2670.749755,76.506082,-10.374559
42.097505,-2642.707821,76.502213,-10.378045
42.254001,-2599.97823,76.498345,-10.381532
42.410497,-2554.816812,76.494477,-10.385019
42.566994,-2516.117222,76.490609,-10.388506
42.72349,-2482.566046,76.48674,-10.391993
42.879986,-2450.747913,76.482872,-10.395479
43.036483,-2421.798384,76.479003,-10.398966
43.192979,-2393.602028,76.475135,-10.402453
43.349475,-2369.609269,76.471266,-10.405939
43.505972,-2344.958133,76.467397,-10.409426
43.662468,-2320.147811,76.463528,-10.412912
43.818964,-2296.595784,76.459659,-10.416399
43.97546,-2279.044411,76.45579,-10.419885
44.131957,-2256.086285,76.451921,-10.423371
44.288453,-2230.653719,76.448052,-10.426857
44.444949,-2205.936885,76.444182,-10.430344
44.601446,-2185.443146,76.440313,-10.43383
44.757942,-2165.897453,76.436443,-10.437316
44.914438,-2145.936689,76.432574,-10.440802
45.070935,-2128.059885,76.428704,-10.444288
45.227431,-2116.766651,76.424834,-10.447774
45.383927,-2116.356925,76.420964,-10.45126
45.540423,-2126.235934,76.417094,-10.454746
45.69692,-2143.796157,76.413223,-10.458231
45.853416,-2168.783976,76.409354,-10.461717
46.009912,-2182.303062,76.405484,-10.465203
46.166409,-2186.730745,76.401613,-10.468688
46.322905,-2183.478077,76.397743,-10.472174
46.479401,-2178.106815,76.393873,-10.47566
46.635898,-2170.062276,76.390002,-10.479146
46.792394,-2158.771122,76.386131,-10.482631
46.94889,-2149.094104,76.382261,-10.486117
47.105386,-2141.224235,76.37839,-10.489602
47.261883,-2139.339942,76.374519,-10.493087
47.418379,-2147.292714,76.370648,-10.496573
47.574875,-2165.281758,76.366777,-10.500058
47.731372,-2189.854153,76.362905,-10.503542
47.887868,-2222.34511,76.359034,-10.507028
48.044364,-2259.404226,76.355163,-10.510514
48.200861,-2295.871165,76.351292,-10.513999
48.357357,-2334.03808,76.34742,-10.517484
