position,FeO Abundance,lon,lat
0,18.521589,-51.526546,12.370579
0.071509,18.575116,-51.524575,12.369218
0.143018,18.607353,-51.522602,12.367859
0.214527,18.583681,-51.520629,12.366499
0.286036,18.396371,-51.518657,12.365139
0.357545,18.393779,-51.516684,12.36378
0.429054,18.381757,-51.514712,12.36242
0.500563,18.362989,-51.51274,12.36106
0.572072,18.245427,-51.510767,12.3597
0.643581,18.160232,-51.508795,12.358339
0.715091,18.280793,-51.506823,12.356979
0.7866,18.4109,-51.50485,12.35562
0.858109,18.488659,-51.502879,12.35426
0.929618,18.403378,-51.500906,12.3529
1.001127,18.406894,-51.498934,12.35154
1.072636,18.550339,-51.496961,12.35018
1.144145,18.450333,-51.49499,12.34882
1.215654,18.276282,-51.493017,12.34746
1.287163,18.102684,-51.491045,12.3461
1.358672,17.874155,-51.489073,12.34474
1.430181,18.157259,-51.487101,12.343379
1.50169,18.274324,-51.485129,12.342019
1.573199,18.234628,-51.483157,12.34066
1.644708,18.137985,-51.481184,12.3393
1.716217,18.088659,-51.479212,12.33794
1.787726,18.210202,-51.47724,12.33658
1.859235,18.1099,-51.475269,12.335219
1.930744,17.977532,-51.473297,12.333859
2.002254,17.91572,-51.471325,12.332499
2.073763,18.068781,-51.469353,12.331139
2.145272,18.248001,-51.467381,12.329779
2.216781,18.138057,-51.465409,12.328419
2.28829,17.997729,-51.463437,12.327058
2.359799,18.420814,-51.461465,12.325698
2.431308,18.6287,-51.459494,12.324337
2.502817,18.676556,-51.457522,12.322978
2.574326,18.710555,-51.45555,12.321617
2.645835,18.789895,-51.453578,12.320257
2.717344,18.782072,-51.451607,12.318896
2.788853,18.600234,-51.449635,12.317536
2.860362,18.414776,-51.447663,12.316176
2.931871,18.32137,-51.445692,12.314815
3.00338,18.433556,-51.44372,12.313455
3.074889,18.421067,-51.441749,12.312094
3.146398,18.366325,-51.439776,12.310734
3.217907,18.364912,-51.437805,12.309374
3.289417,18.318415,-51.435833,12.308014
3.360926,18.390948,-51.433862,12.306653
3.432435,18.414616,-51.431891,12.305292
3.503944,18.318905,-51.429919,12.303932
3.575453,18.085981,-51.427948,12.302571
3.646962,17.988067,-51.425976,12.301211
3.718471,17.786881,-51.424004,12.299851
3.78998,17.572142,-51.422033,12.298489
3.861489,17.217803,-51.420062,12.29713
3.932998,17.376123,-51.418091,12.295768
4.004507,17.50171,-51.416119,12.294408
4.076016,17.109464,-51.414147,12.293048
4.147525,16.930224,-51.412176,12.291687
4.219034,16.703491,-51.410205,12.290326
4.290543,16.667153,-51.408234,12.288965
4.362052,16.834987,-51.406263,12.287605
4.433561,16.854103,-51.404291,12.286245
4.50507,16.809071,-51.40232,12.284884
4.576579,16.838107,-51.400349,12.283523
4.648089,16.940271,-51.398378,12.282162
4.719598,17.004357,-51.396407,12.280801
4.791107,17.183461,-51.394435,12.279441
4.862616,17.358479,-51.392465,12.27808
4.934125,17.313608,-51.390493,12.27672
5.005634,17.384342,-51.388522,12.275358
5.077143,17.577824,-51.386551,12.273998
5.148652,17.721744,-51.38458,12.272637
5.220161,17.654572,-51.382609,12.271277
5.29167,17.579349,-51.380638,12.269915
5.363179,17.538747,-51.378667,12.268555
5.434688,17.471059,-51.376696,12.267193
5.506197,17.355244,-51.374725,12.265833
5.577706,17.146904,-51.372755,12.264472
5.649215,16.864552,-51.370784,12.263111
5.720724,16.718938,-51.368812,12.261751
5.792233,16.703472,-51.366842,12.260389
5.863742,16.710957,-51.364871,12.259029
5.935252,16.697656,-51.3629,12.257668
6.006761,16.808087,-51.360929,12.256307
6.07827,16.966365,-51.358959,12.254945
6.149779,17.103383,-51.356987,12.253585
6.221288,17.194734,-51.355017,12.252224
6.292797,17.287651,-51.353046,12.250863
6.364306,17.346418,-51.351075,12.249502
6.435815,17.36472,-51.349105,12.248141
6.507324,17.404402,-51.347134,12.24678
6.578833,17.483613,-51.345164,12.245418
6.650342,17.529289,-51.343193,12.244057
6.721851,17.479796,-51.341223,12.242696
6.79336,17.510934,-51.339252,12.241335
6.864869,17.495238,-51.337281,12.239974
6.936378,17.419541,-51.335311,12.238613
7.007887,17.452224,-51.333341,12.237251
7.079396,17.479114,-51.33137,12.23589
7.150905,17.251779,-51.329399,12.234529
7.222415,16.933591,-51.327429,12.233168
7.293924,16.689626,-51.325459,12.231806
7.365433,16.760992,-51.323488,12.230445
7.436942,16.673332,-51.321517,12.229085
7.508451,16.518762,-51.319547,12.227723
7.57996,16.681459,-51.317577,12.226361
7.651469,16.743101,-51.315607,12.225
7.722978,16.76172,-51.313637,12.223639
7.794487,16.818428,-51.311666,12.222278
7.865996,16.957015,-51.309696,12.220916
7.937505,17.158403,-51.307725,12.219555
8.009014,17.432726,-51.305755,12.218194
8.080523,17.715765,-51.303785,12.216833
8.152032,18.023345,-51.301815,12.215471
8.223541,18.430301,-51.299845,12.214109
8.29505,18.619072,-51.297875,12.212748
8.366559,18.657643,-51.295904,12.211387
8.438068,18.733961,-51.293934,12.210026
8.509577,18.795227,-51.291964,12.208664
8.581087,18.705641,-51.289995,12.207302
8.652596,18.477699,-51.288024,12.205941
8.724105,18.257652,-51.286054,12.20458
8.795614,18.141633,-51.284084,12.203217
8.867123,18.093572,-51.282115,12.201856
8.938632,17.950718,-51.280144,12.200495
9.010141,17.563594,-51.278175,12.199133
9.08165,17.0629,-51.276204,12.197772
9.153159,16.82134,-51.274234,12.19641
9.224668,17.008795,-51.272265,12.195048
9.296177,17.165593,-51.270295,12.193687
9.367686,17.268307,-51.268325,12.192325
9.439195,17.323611,-51.266355,12.190964
9.510704,17.646836,-51.264385,12.189602
9.582213,17.912923,-51.262416,12.18824
9.653722,17.894495,-51.260446,12.186879
9.725231,18.092548,-51.258476,12.185517
9.79674,18.406965,-51.256507,12.184155
9.86825,18.489213,-51.254537,12.182793
9.939759,18.379555,-51.252567,12.181431
10.011268,18.369563,-51.250598,12.18007
10.082777,18.520885,-51.248628,12.178708
10.154286,18.560865,-51.246658,12.177346
10.225795,18.608433,-51.244689,12.175984
10.297304,18.532422,-51.242719,12.174622
10.368813,18.367253,-51.240749,12.173261
10.440322,18.372499,-51.23878,12.1719
10.511831,18.440886,-51.23681,12.170538
10.58334,18.597962,-51.234841,12.169175
10.654849,18.698322,-51.232871,12.167814
10.726358,18.780717,-51.230902,12.166451
10.797867,18.988608,-51.228933,12.165089
10.869376,19.103958,-51.226963,12.163728
10.940885,19.165613,-51.224994,12.162366
11.012394,19.149489,-51.223024,12.161004
11.083903,19.023719,-51.221055,12.159642
11.155413,18.83664,-51.219085,12.15828
11.226922,18.744297,-51.217117,12.156918
11.298431,18.599725,-51.215147,12.155556
