Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_2,0,-51.526546,12.370579,21.856127,18.521589,-530.936795,21.576829,6.716129,38.077606,33.350139,13.090168,5.233277
D_1_8_2,0.071509,-51.524575,12.369218,23.574352,18.575116,-521.686501,21.573345,5.313883,38.593067,32.518701,13.624769,5.234537
D_1_8_2,0.143018,-51.522602,12.367859,19.66041,18.607353,-510.890189,21.569874,6.68197,40.47732,33.180301,13.773989,5.235796
D_1_8_2,0.214527,-51.520629,12.366499,16.747572,18.583681,-500.626027,21.566414,6.627613,42.900945,33.72387,13.144359,5.237055
D_1_8_2,0.286036,-51.518657,12.365139,22.207228,18.396371,-489.123243,21.562969,6.597018,37.239829,33.955927,13.059565,5.238312
D_1_8_2,0.357545,-51.516684,12.36378,18.927686,18.393779,-473.038217,21.559536,6.587153,40.356688,34.128474,10.960883,5.23957
D_1_8_2,0.429054,-51.514712,12.36242,19.626654,18.381757,-466.216736,21.556115,6.000646,40.489066,33.883634,6.325583,5.240827
D_1_8_2,0.500563,-51.51274,12.36106,19.844655,18.362989,-465.71156,21.552708,5.120731,41.349151,33.685463,3.252509,5.242083
D_1_8_2,0.572072,-51.510767,12.3597,18.61712,18.245427,-467.71094,21.549314,5.693426,41.270185,34.419269,3.411297,5.243339
D_1_8_2,0.643581,-51.508795,12.358339,19.977391,18.160232,-473.42249,21.545932,7.036011,37.612544,35.374054,5.34058,5.244594
D_1_8_2,0.715091,-51.506823,12.356979,22.046427,18.280793,-480.77608,21.542564,7.019019,36.264686,34.669869,6.19253,5.245848
D_1_8_2,0.7866,-51.50485,12.35562,20.403579,18.4109,-488.227045,21.539208,7.759358,37.309931,34.527132,5.534461,5.247102
D_1_8_2,0.858109,-51.502879,12.35426,22.797145,18.488659,-493.18763,21.535865,7.483927,35.834998,33.883931,3.179959,5.248356
D_1_8_2,0.929618,-51.500906,12.3529,28.776602,18.403378,-493.908992,21.532535,4.879692,33.788327,32.55538,1.590534,5.249609
D_1_8_2,1.001127,-51.498934,12.35154,23.026573,18.406894,-493.346485,21.529217,6.247611,37.137323,33.588494,1.155378,5.250861
D_1_8_2,1.072636,-51.496961,12.35018,18.700637,18.550339,-494.293298,21.525913,6.527089,41.253808,33.518469,0.688949,5.252113
D_1_8_2,1.144145,-51.49499,12.34882,19.626031,18.450333,-493.683997,21.522621,6.549661,39.922805,33.901504,0.933548,5.253364
D_1_8_2,1.215654,-51.493017,12.34746,24.169339,18.276282,-491.333952,21.519343,6.36228,35.289356,34.179027,1.186517,5.254615
D_1_8_2,1.287163,-51.491045,12.3461,31.507676,18.102684,-490.942867,21.516077,5.449624,29.200048,33.842653,1.389365,5.255865
