position,Iron Abundance,lon,lat
0,21.576829,-51.526546,12.370579
0.071509,21.573345,-51.524575,12.369218
0.143018,21.569874,-51.522602,12.367859
0.214527,21.566414,-51.520629,12.366499
0.286036,21.562969,-51.518657,12.365139
0.357545,21.559536,-51.516684,12.36378
0.429054,21.556115,-51.514712,12.36242
0.500563,21.552708,-51.51274,12.36106
0.572072,21.549314,-51.510767,12.3597
0.643581,21.545932,-51.508795,12.358339
0.715091,21.542564,-51.506823,12.356979
0.7866,21.539208,-51.50485,12.35562
0.858109,21.535865,-51.502879,12.35426
0.929618,21.532535,-51.500906,12.3529
1.001127,21.529217,-51.498934,12.35154
1.072636,21.525913,-51.496961,12.35018
1.144145,21.522621,-51.49499,12.34882
1.215654,21.519343,-51.493017,12.34746
1.287163,21.516077,-51.491045,12.3461
1.358672,21.512825,-51.489073,12.34474
1.430181,21.509584,-51.487101,12.343379
1.50169,21.506357,-51.485129,12.342019
1.573199,21.503143,-51.483157,12.34066
1.644708,21.499941,-51.481184,12.3393
1.716217,21.496752,-51.479212,12.33794
1.787726,21.493577,-51.47724,12.33658
1.859235,21.490414,-51.475269,12.335219
1.930744,21.487263,-51.473297,12.333859
2.002254,21.484126,-51.471325,12.332499
2.073763,21.481002,-51.469353,12.331139
2.145272,21.477891,-51.467381,12.329779
2.216781,21.474791,-51.465409,12.328419
2.28829,21.471706,-51.463437,12.327058
2.359799,21.468633,-51.461465,12.325698
2.431308,21.465572,-51.459494,12.324337
2.502817,21.462526,-51.457522,12.322978
2.574326,21.45949,-51.45555,12.321617
2.645835,21.456469,-51.453578,12.320257
2.717344,21.453461,-51.451607,12.318896
2.788853,21.450465,-51.449635,12.317536
2.860362,21.447482,-51.447663,12.316176
2.931871,21.444512,-51.445692,12.314815
3.00338,21.441554,-51.44372,12.313455
3.074889,21.43861,-51.441749,12.312094
3.146398,21.435678,-51.439776,12.310734
3.217907,21.43276,-51.437805,12.309374
3.289417,21.429854,-51.435833,12.308014
3.360926,21.426962,-51.433862,12.306653
3.432435,21.424081,-51.431891,12.305292
3.503944,21.421214,-51.429919,12.303932
3.575453,21.418359,-51.427948,12.302571
3.646962,21.415518,-51.425976,12.301211
3.718471,21.41269,-51.424004,12.299851
3.78998,21.409874,-51.422033,12.298489
3.861489,21.40707,-51.420062,12.29713
3.932998,21.404281,-51.418091,12.295768
4.004507,21.401504,-51.416119,12.294408
4.076016,21.39874,-51.414147,12.293048
4.147525,21.395988,-51.412176,12.291687
4.219034,21.39325,-51.410205,12.290326
4.290543,21.390523,-51.408234,12.288965
4.362052,21.38781,-51.406263,12.287605
4.433561,21.38511,-51.404291,12.286245
4.50507,21.382423,-51.40232,12.284884
4.576579,21.379748,-51.400349,12.283523
4.648089,21.377087,-51.398378,12.282162
4.719598,21.374439,-51.396407,12.280801
4.791107,21.371803,-51.394435,12.279441
4.862616,21.369179,-51.392465,12.27808
4.934125,21.36657,-51.390493,12.27672
5.005634,21.363973,-51.388522,12.275358
5.077143,21.361389,-51.386551,12.273998
5.148652,21.358817,-51.38458,12.272637
