position,Titanium Abundance,lon,lat
25.598798,0.532165,79.842785,-11.771667
25.768326,0.532166,79.842389,-11.777245
25.937855,0.532167,79.841993,-11.782822
26.107383,0.532168,79.841597,-11.788399
26.276912,0.532169,79.841201,-11.793976
26.44644,0.532171,79.840804,-11.799553
26.615969,0.532173,79.840408,-11.805131
26.785497,0.532175,79.840013,-11.810708
26.955026,0.532177,79.839618,-11.816285
27.124554,0.532179,79.83922,-11.821862
27.294083,0.532182,79.838826,-11.82744
27.463611,0.532185,79.838428,-11.833017
27.633139,0.532188,79.838032,-11.838594
27.802668,0.532192,79.837636,-11.844171
27.972196,0.532195,79.83724,-11.849749
28.141725,0.532199,79.836844,-11.855326
28.311253,0.532203,79.836448,-11.860903
28.480782,0.532207,79.836052,-11.86648
28.65031,0.532212,79.835656,-11.872058
28.819839,0.532216,79.835261,-11.877635
28.989367,0.532221,79.834865,-11.883212
29.158896,0.532227,79.834468,-11.888789
29.328424,0.532232,79.834073,-11.894367
29.497953,0.532237,79.833677,-11.899944
29.667481,0.532243,79.833279,-11.905521
29.837009,0.532249,79.832883,-11.911098
30.006538,0.532255,79.832487,-11.916675
30.176066,0.532262,79.832091,-11.922253
30.345595,0.532269,79.831696,-11.92783
30.515123,0.532275,79.831299,-11.933407
30.684652,0.532282,79.830903,-11.938984
30.85418,0.53229,79.830507,-11.944562
31.023709,0.532297,79.83011,-11.950139
31.193237,0.532305,79.829714,-11.955716
31.362766,0.532313,79.829318,-11.961293
31.532294,0.532321,79.82892,-11.966871
31.701823,0.53233,79.828525,-11.972448
31.871351,0.532338,79.828129,-11.978025
32.040879,0.532347,79.827731,-11.983602
32.210408,0.532356,79.827335,-11.989179
32.379936,0.532366,79.826938,-11.994757
32.549465,0.532375,79.826543,-12.000334
32.718993,0.532385,79.826145,-12.005911
32.888522,0.532395,79.82575,-12.011488
33.05805,0.532405,79.825352,-12.017066
33.227579,0.532415,79.824956,-12.022643
33.397107,0.532426,79.82456,-12.02822
33.566636,0.532437,79.824164,-12.033797
33.736164,0.532448,79.823766,-12.039374
33.905693,0.532459,79.823369,-12.044952
34.075221,0.532471,79.822974,-12.050529
34.244749,0.532482,79.822577,-12.056106
34.414278,0.532494,79.822179,-12.061683
34.583806,0.532506,79.821784,-12.067261
34.753335,0.532519,79.821387,-12.072838
