position,FeO Abundance,lon,lat
0,7.353491,79.902372,-10.929497
0.169528,7.343582,79.90198,-10.935074
0.339057,7.253472,79.901586,-10.940652
0.508585,7.19097,79.901193,-10.946229
0.678114,7.084778,79.900799,-10.951806
0.847642,7.058149,79.900406,-10.957384
1.017171,7.073855,79.900013,-10.962961
1.186699,7.081601,79.899619,-10.968538
1.356228,7.172538,79.899225,-10.974116
1.525756,7.277432,79.89883,-10.979693
1.695285,7.373538,79.898438,-10.98527
1.864813,7.337593,79.898044,-10.990848
2.034342,7.285075,79.89765,-10.996425
2.20387,7.253858,79.897257,-11.002002
2.373398,7.257307,79.896862,-11.00758
2.542927,7.208002,79.89647,-11.013157
2.712455,7.163769,79.896076,-11.018734
2.881984,7.04518,79.895681,-11.024311
3.051512,7.066488,79.895288,-11.029889
3.221041,7.235339,79.894893,-11.035466
3.390569,7.267647,79.894501,-11.041043
3.560098,7.274884,79.894107,-11.046621
3.729626,7.414144,79.893713,-11.052198
3.899155,7.408416,79.893319,-11.057775
4.068683,7.238903,79.892924,-11.063353
4.238212,7.076531,79.89253,-11.06893
4.40774,7.227579,79.892138,-11.074507
4.577268,7.382881,79.891743,-11.080085
4.746797,7.300519,79.891349,-11.085662
4.916325,7.125039,79.890957,-11.091239
5.085854,7.066732,79.890562,-11.096817
5.255382,7.052314,79.890167,-11.102394
5.424911,7.020126,79.889774,-11.107971
5.594439,7.012893,79.88938,-11.113549
5.763968,6.958059,79.888986,-11.119126
5.933496,7.050719,79.888593,-11.124703
6.103025,7.074217,79.888197,-11.13028
6.272553,6.95261,79.887804,-11.135858
6.442082,6.754026,79.88741,-11.141435
6.61161,6.772545,79.887016,-11.147012
6.781139,6.890663,79.886623,-11.15259
6.950667,6.867756,79.886228,-11.158167
7.120195,6.760705,79.885833,-11.163744
7.289724,6.835912,79.885439,-11.169322
7.459252,6.869384,79.885045,-11.174899
7.628781,6.629466,79.884652,-11.180476
7.798309,6.233199,79.884257,-11.186054
7.967838,6.024537,79.883863,-11.191631
8.137366,5.92168,79.883469,-11.197208
8.306895,5.873104,79.883075,-11.202785
8.476423,5.730383,79.882681,-11.208363
8.645952,6.014538,79.882285,-11.21394
8.81548,6.625003,79.881892,-11.219517
8.985009,7.113647,79.881498,-11.225095
9.154537,7.257561,79.881104,-11.230672
9.324065,7.223778,79.880708,-11.236249
9.493594,7.157315,79.880315,-11.241827
9.663122,7.116511,79.879921,-11.247404
9.832651,6.960566,79.879525,-11.252981
