position,Titanium Abundance,lon,lat
0,1.014047,32.254911,-18.727442
0.221994,1.008444,32.256977,-18.734497
0.443989,1.002838,32.259043,-18.741551
0.665983,0.997231,32.26111,-18.748606
0.887977,0.991621,32.263176,-18.75566
1.109972,0.986009,32.265243,-18.762715
1.331966,0.980396,32.26731,-18.769769
1.553961,0.97478,32.269377,-18.776824
1.775955,0.969161,32.271444,-18.783878
1.997949,0.963541,32.273511,-18.790933
2.219944,0.957919,32.275579,-18.797987
2.441938,0.952294,32.277647,-18.805041
2.663932,0.946667,32.279715,-18.812096
2.885927,0.941039,32.281783,-18.81915
3.107921,0.935408,32.283851,-18.826204
3.329915,0.929774,32.285919,-18.833259
3.55191,0.924139,32.287988,-18.840313
3.773904,0.918502,32.290057,-18.847367
3.995898,0.912862,32.292126,-18.854421
4.217893,0.90722,32.294195,-18.861476
4.439887,0.901577,32.296264,-18.86853
4.661882,0.895931,32.298334,-18.875584
4.883876,0.890282,32.300403,-18.882638
5.10587,0.884632,32.302473,-18.889692
5.327865,0.87898,32.304543,-18.896746
5.549859,0.873325,32.306613,-18.9038
5.771853,0.867669,32.308684,-18.910854
5.993848,0.86201,32.310754,-18.917908
6.215842,0.856349,32.312825,-18.924962
6.437836,0.850686,32.314896,-18.932016
6.659831,0.84502,32.316967,-18.93907
6.881825,0.839353,32.319038,-18.946124
7.103819,0.833683,32.32111,-18.953178
7.325814,0.828012,32.323181,-18.960232
7.547808,0.822338,32.325253,-18.967286
7.769803,0.816662,32.327325,-18.974339
7.991797,0.810984,32.329397,-18.981393
8.213791,0.805303,32.331469,-18.988447
8.435786,0.800788,32.333542,-18.995501
8.65778,0.79888,32.335614,-19.002554
8.879774,0.798125,32.337687,-19.009608
9.101769,0.797361,32.33976,-19.016662
9.323763,0.796588,32.341833,-19.023716
9.545757,0.795807,32.343907,-19.030769
9.767752,0.795017,32.34598,-19.037823
9.989746,0.794218,32.348054,-19.044876
10.211741,0.793411,32.350128,-19.05193
10.433735,0.792594,32.352202,-19.058983
10.655729,0.791769,32.354276,-19.066037
10.877724,0.790936,32.35635,-19.073091
11.099718,0.790093,32.358425,-19.080144
11.321712,0.789242,32.3605,-19.087197
11.543707,0.788382,32.362575,-19.094251
11.765701,0.787513,32.36465,-19.101304
11.987695,0.786635,32.366725,-19.108358
12.20969,0.785749,32.368801,-19.115411
12.431684,0.784854,32.370876,-19.122464
12.653678,0.78395,32.372952,-19.129518
12.875673,0.783038,32.375028,-19.136571
13.097667,0.782116,32.377104,-19.143624
13.319662,0.781186,32.379181,-19.150677
13.541656,0.780247,32.381257,-19.157731
13.76365,0.779299,32.383334,-19.164784
13.985645,0.778343,32.385411,-19.171837
14.207639,0.777378,32.387488,-19.17889
14.429633,0.776404,32.389565,-19.185943
14.651628,0.775421,32.391642,-19.192996
14.873622,0.77443,32.39372,-19.20005
15.095616,0.773429,32.395798,-19.207103
15.317611,0.77242,32.397876,-19.214156
15.539605,0.771403,32.399954,-19.221209
15.761599,0.770376,32.402032,-19.228262
15.983594,0.769341,32.404111,-19.235315
16.205588,0.768296,32.406189,-19.242368
16.427583,0.767243,32.408268,-19.24942
16.649577,0.766182,32.410347,-19.256473
16.871571,0.765111,32.412426,-19.263526
17.093566,0.764032,32.414506,-19.270579
17.31556,0.762944,32.416585,-19.277632
17.537554,0.761847,32.418665,-19.284685
17.759549,0.760741,32.420745,-19.291737
17.981543,0.759627,32.422825,-19.29879
18.203537,0.758504,32.424905,-19.305843
18.425532,0.757372,32.426986,-19.312896
18.647526,0.756231,32.429066,-19.319948
18.869521,0.755082,32.431147,-19.327001
19.091515,0.753923,32.433228,-19.334054
19.313509,0.752756,32.435309,-19.341106
19.535504,0.75158,32.437391,-19.348159
19.757498,0.750395,32.439472,-19.355211
19.979492,0.749202,32.441554,-19.362264
20.201487,0.747999,32.443636,-19.369316
20.423481,0.746788,32.445718,-19.376369
20.645475,0.745568,32.4478,-19.383421
20.86747,0.74434,32.449882,-19.390474
21.089464,0.743102,32.451965,-19.397526
21.311458,0.741856,32.454048,-19.404579
21.533453,0.740601,32.456131,-19.411631
21.755447,0.739337,32.458214,-19.418683
21.977442,0.738064,32.460297,-19.425736
22.199436,0.736782,32.462381,-19.432788
22.42143,0.735492,32.464464,-19.43984
22.643425,0.734193,32.466548,-19.446893
22.865419,0.732885,32.468632,-19.453945
23.087413,0.731568,32.470717,-19.460997
23.309408,0.730242,32.472801,-19.468049
23.531402,0.728908,32.474886,-19.475101
23.753396,0.727565,32.47697,-19.482153
23.975391,0.726212,32.479055,-19.489206
24.197385,0.724852,32.481141,-19.496258
24.419379,0.723482,32.483226,-19.50331
24.641374,0.722103,32.485311,-19.510362
24.863368,0.720716,32.487397,-19.517414
25.085363,0.71932,32.489483,-19.524466
25.307357,0.717915,32.491569,-19.531518
25.529351,0.716501,32.493655,-19.53857
25.751346,0.715078,32.495742,-19.545622
25.97334,0.713647,32.497828,-19.552673
26.195334,0.712207,32.499915,-19.559725
26.417329,0.710758,32.502002,-19.566777
26.639323,0.7093,32.504089,-19.573829
26.861317,0.707833,32.506176,-19.580881
27.083312,0.706357,32.508264,-19.587933
27.305306,0.704873,32.510352,-19.594984
27.527301,0.70338,32.51244,-19.602036
27.749295,0.701877,32.514528,-19.609088
27.971289,0.700366,32.516616,-19.616139
28.193284,0.698847,32.518704,-19.623191
28.415278,0.697318,32.520793,-19.630243
28.637272,0.695781,32.522882,-19.637294
28.859267,0.694234,32.524971,-19.644346
29.081261,0.692679,32.52706,-19.651397
29.303255,0.691115,32.529149,-19.658449
29.52525,0.689542,32.531239,-19.665501
29.747244,0.687961,32.533328,-19.672552
29.969238,0.68637,32.535418,-19.679603
30.191233,0.684771,32.537508,-19.686655
30.413227,0.683163,32.539599,-19.693706
30.635222,0.681546,32.541689,-19.700758
30.857216,0.67992,32.54378,-19.707809
31.07921,0.678285,32.545871,-19.71486
31.301205,0.676641,32.547962,-19.721912
31.523199,0.674989,32.550053,-19.728963
31.745193,0.673327,32.552144,-19.736014
31.967188,0.671657,32.554236,-19.743066
32.189182,0.669978,32.556327,-19.750117
32.411176,0.66829,32.558419,-19.757168
32.633171,0.666594,32.560512,-19.764219
32.855165,0.664888,32.562604,-19.77127
33.077159,0.663173,32.564696,-19.778321
33.299154,0.66145,32.566789,-19.785373
33.521148,0.659718,32.568882,-19.792424
33.743143,0.657977,32.570975,-19.799475
33.965137,0.656227,32.573068,-19.806526
34.187131,0.654468,32.575161,-19.813577
34.409126,0.6527,32.577255,-19.820628
34.63112,0.650924,32.579349,-19.827679
34.853114,0.649138,32.581443,-19.83473
35.075109,0.647344,32.583537,-19.84178
35.297103,0.645541,32.585631,-19.848831
35.519097,0.643729,32.587726,-19.855882
35.741092,0.641908,32.589821,-19.862933
35.963086,0.640078,32.591915,-19.869984
36.185081,0.638239,32.594011,-19.877035
36.407075,0.636392,32.596106,-19.884085
36.629069,0.634535,32.598201,-19.891136
36.851064,0.63267,32.600297,-19.898187
37.073058,0.630796,32.602393,-19.905237
37.295052,0.628913,32.604489,-19.912288
37.517047,0.627021,32.606585,-19.919339
37.739041,0.62512,32.608681,-19.926389
37.961035,0.62321,32.610778,-19.93344
38.18303,0.621292,32.612875,-19.940491
38.405024,0.619364,32.614972,-19.947541
38.627018,0.617428,32.617069,-19.954592
38.849013,0.615482,32.619166,-19.961642
39.071007,0.613528,32.621264,-19.968693
39.293002,0.611565,32.623361,-19.975743
39.514996,0.609593,32.625459,-19.982793
39.73699,0.607612,32.627557,-19.989844
39.958985,0.605623,32.629656,-19.996894
40.180979,0.603624,32.631754,-20.003944
40.402973,0.601616,32.633853,-20.010995
40.624968,0.5996,32.635951,-20.018045
40.846962,0.597574,32.63805,-20.025095
41.068956,0.59554,32.64015,-20.032146
41.290951,0.593497,32.642249,-20.039196
41.512945,0.591445,32.644349,-20.046246
41.734939,0.589384,32.646448,-20.053296
41.956934,0.587314,32.648548,-20.060346
42.178928,0.585235,32.650648,-20.067396
42.400923,0.583147,32.652749,-20.074446
42.622917,0.581051,32.654849,-20.081497
42.844911,0.578945,32.65695,-20.088547
43.066906,0.576831,32.659051,-20.095597
43.2889,0.574707,32.661152,-20.102647
43.510894,0.572575,32.663253,-20.109697
43.732889,0.570434,32.665355,-20.116746
43.954883,0.568284,32.667456,-20.123796
44.176877,0.566125,32.669558,-20.130846
44.398872,0.563957,32.67166,-20.137896
44.620866,0.56178,32.673763,-20.144946
44.842861,0.559594,32.675865,-20.151996
45.064855,0.557399,32.677968,-20.159046
45.286849,0.555196,32.68007,-20.166095
45.508844,0.552983,32.682173,-20.173145
45.730838,0.550762,32.684277,-20.180195
45.952832,0.548531,32.68638,-20.187245
46.174827,0.546292,32.688484,-20.194294
46.396821,0.544043,32.690587,-20.201344
46.618815,0.541786,32.692691,-20.208393
46.84081,0.53952,32.694795,-20.215443
47.062804,0.537245,32.6969,-20.222493
47.284798,0.534961,32.699004,-20.229542
47.506793,0.532668,32.701109,-20.236592
47.728787,0.530366,32.703214,-20.243641
47.950782,0.528055,32.705319,-20.250691
48.172776,0.525735,32.707424,-20.25774
48.39477,0.523407,32.70953,-20.26479
48.616765,0.521069,32.711635,-20.271839
48.838759,0.518722,32.713741,-20.278888
49.060753,0.516367,32.715847,-20.285938
49.282748,0.514002,32.717953,-20.292987
49.504742,0.511629,32.72006,-20.300036
49.726736,0.509246,32.722166,-20.307085
49.948731,0.506855,32.724273,-20.314135
50.170725,0.504455,32.72638,-20.321184
50.39272,0.502045,32.728487,-20.328233
50.614714,0.499627,32.730595,-20.335282
50.836708,0.4972,32.732702,-20.342331
51.058703,0.494764,32.73481,-20.349381
51.280697,0.492319,32.736918,-20.35643
51.502691,0.489865,32.739026,-20.363479
51.724686,0.487402,32.741135,-20.370528
51.94668,0.48493,32.743243,-20.377577
52.168674,0.482449,32.745352,-20.384626
52.390669,0.479959,32.747461,-20.391675
52.612663,0.47746,32.74957,-20.398724
52.834657,0.474952,32.751679,-20.405773
53.056652,0.472435,32.753789,-20.412821
53.278646,0.469909,32.755898,-20.41987
53.500641,0.467375,32.758008,-20.426919
53.722635,0.464831,32.760118,-20.433968
53.944629,0.462278,32.762229,-20.441017
54.166624,0.459717,32.764339,-20.448065
54.388618,0.457146,32.76645,-20.455114
54.610612,0.454567,32.768561,-20.462163
54.832607,0.451978,32.770672,-20.469212
55.054601,0.44938,32.772783,-20.47626
55.276595,0.446774,32.774894,-20.483309
55.49859,0.444158,32.777006,-20.490358
55.720584,0.441534,32.779118,-20.497406
55.942578,0.4389,32.78123,-20.504455
56.164573,0.436258,32.783342,-20.511503
56.386567,0.433606,32.785455,-20.518552
56.608562,0.430946,32.787567,-20.5256
56.830556,0.428277,32.78968,-20.532649
57.05255,0.425598,32.791793,-20.539697
57.274545,0.422911,32.793906,-20.546745
57.496539,0.420214,32.796019,-20.553794
57.718533,0.417509,32.798133,-20.560842
57.940528,0.414795,32.800247,-20.567891
58.162522,0.412071,32.802361,-20.574939
58.384516,0.409339,32.804475,-20.581987
58.606511,0.406598,32.806589,-20.589035
58.828505,0.403847,32.808704,-20.596084
59.0505,0.401088,32.810819,-20.603132
59.272494,0.398319,32.812934,-20.61018
59.494488,0.395542,32.815049,-20.617228
59.716483,0.392756,32.817164,-20.624276
59.938477,0.38996,32.81928,-20.631324
60.160471,0.387156,32.821395,-20.638372
60.382466,0.384343,32.823511,-20.64542
60.60446,0.38152,32.825627,-20.652468
60.826454,0.378689,32.827744,-20.659516
61.048449,0.375848,32.82986,-20.666564
61.270443,0.372999,32.831977,-20.673612
61.492437,0.370141,32.834094,-20.68066
61.714432,0.367273,32.836211,-20.687708
61.936426,0.364397,32.838328,-20.694756
62.158421,0.361511,32.840446,-20.701804
62.380415,0.358617,32.842563,-20.708852
62.602409,0.355713,32.844681,-20.715899
62.824404,0.352801,32.846799,-20.722947
63.046398,0.349879,32.848918,-20.729995
63.268392,0.346948,32.851036,-20.737043
63.490387,0.344009,32.853155,-20.74409
63.712381,0.34106,32.855274,-20.751138
63.934375,0.338103,32.857393,-20.758186
64.15637,0.335136,32.859512,-20.765233
64.378364,0.33216,32.861632,-20.772281
64.600358,0.329175,32.863751,-20.779328
64.822353,0.326182,32.865871,-20.786376
65.044347,0.323179,32.867991,-20.793423
65.266342,0.320167,32.870111,-20.800471
65.488336,0.317146,32.872232,-20.807518
65.71033,0.314116,32.874352,-20.814566
65.932325,0.311077,32.876473,-20.821613
66.154319,0.308029,32.878594,-20.82866
66.376313,0.304972,32.880716,-20.835708
66.598308,0.301906,32.882837,-20.842755
66.820302,0.298831,32.884959,-20.849802
67.042296,0.295747,32.887081,-20.85685
67.264291,0.292654,32.889203,-20.863897
67.486285,0.289551,32.891325,-20.870944
67.70828,0.28644,32.893447,-20.877991
67.930274,0.28332,32.89557,-20.885038
68.152268,0.28019,32.897693,-20.892086
68.374263,0.277052,32.899816,-20.899133
68.596257,0.273904,32.901939,-20.90618
68.818251,0.270748,32.904063,-20.913227
69.040246,0.267582,32.906186,-20.920274
69.26224,0.264408,32.90831,-20.927321
69.484234,0.261224,32.910434,-20.934368
69.706229,0.258031,32.912558,-20.941415
69.928223,0.254829,32.914683,-20.948462
70.150217,0.251618,32.916807,-20.955509
70.372212,0.248398,32.918932,-20.962555
70.594206,0.245169,32.921057,-20.969602
70.816201,0.241931,32.923183,-20.976649
71.038195,0.238684,32.925308,-20.983696
71.260189,0.235428,32.927434,-20.990743
71.482184,0.233861,32.929559,-20.997789
71.704178,0.234485,32.931686,-21.004836
71.926172,0.235445,32.933812,-21.011883
72.148167,0.236417,32.935938,-21.018929
72.370161,0.237401,32.938065,-21.025976
72.592155,0.238399,32.940192,-21.033023
72.81415,0.239409,32.942319,-21.040069
73.036144,0.240431,32.944446,-21.047116
73.258138,0.241466,32.946573,-21.054162
73.480133,0.242514,32.948701,-21.061209
73.702127,0.243575,32.950829,-21.068255
73.924122,0.244648,32.952957,-21.075302
74.146116,0.245734,32.955085,-21.082348
74.36811,0.246832,32.957214,-21.089395
74.590105,0.247943,32.959342,-21.096441
74.812099,0.249067,32.961471,-21.103487
75.034093,0.250203,32.9636,-21.110534
75.256088,0.251353,32.96573,-21.11758
75.478082,0.252514,32.967859,-21.124626
75.700076,0.253689,32.969989,-21.131672
75.922071,0.254876,32.972119,-21.138719
76.144065,0.256076,32.974249,-21.145765
76.36606,0.257288,32.976379,-21.152811
76.588054,0.258513,32.978509,-21.159857
76.810048,0.259751,32.98064,-21.166903
77.032043,0.261002,32.982771,-21.173949
77.254037,0.262265,32.984902,-21.180995
