position,Orthopyroxene Abundance,lon,lat
0,15.432017,32.254911,-18.727442
0.221994,16.972109,32.256977,-18.734497
0.443989,16.779841,32.259043,-18.741551
0.665983,14.84741,32.26111,-18.748606
0.887977,14.208716,32.263176,-18.75566
1.109972,15.573569,32.265243,-18.762715
1.331966,16.647546,32.26731,-18.769769
1.553961,16.967601,32.269377,-18.776824
1.775955,16.770179,32.271444,-18.783878
1.997949,15.784278,32.273511,-18.790933
2.219944,15.783893,32.275579,-18.797987
2.441938,16.265244,32.277647,-18.805041
2.663932,15.347607,32.279715,-18.812096
2.885927,14.206265,32.281783,-18.81915
3.107921,14.202342,32.283851,-18.826204
3.329915,14.801907,32.285919,-18.833259
3.55191,14.446385,32.287988,-18.840313
3.773904,14.070906,32.290057,-18.847367
3.995898,14.306991,32.292126,-18.854421
4.217893,14.966607,32.294195,-18.861476
4.439887,15.559802,32.296264,-18.86853
4.661882,15.468432,32.298334,-18.875584
4.883876,15.487581,32.300403,-18.882638
5.10587,15.829281,32.302473,-18.889692
5.327865,15.696879,32.304543,-18.896746
5.549859,15.002404,32.306613,-18.9038
5.771853,14.732882,32.308684,-18.910854
5.993848,16.049374,32.310754,-18.917908
6.215842,16.060849,32.312825,-18.924962
6.437836,15.13724,32.314896,-18.932016
6.659831,14.356159,32.316967,-18.93907
6.881825,14.484154,32.319038,-18.946124
7.103819,15.061772,32.32111,-18.953178
7.325814,14.157335,32.323181,-18.960232
7.547808,13.814768,32.325253,-18.967286
7.769803,13.978874,32.327325,-18.974339
7.991797,14.859804,32.329397,-18.981393
8.213791,17.238392,32.331469,-18.988447
8.435786,14.829113,32.333542,-18.995501
8.65778,15.306542,32.335614,-19.002554
8.879774,15.622621,32.337687,-19.009608
9.101769,12.040088,32.33976,-19.016662
9.323763,9.66985,32.341833,-19.023716
9.545757,8.957189,32.343907,-19.030769
9.767752,8.27415,32.34598,-19.037823
9.989746,8.610946,32.348054,-19.044876
10.211741,10.276682,32.350128,-19.05193
10.433735,8.792746,32.352202,-19.058983
10.655729,7.393837,32.354276,-19.066037
10.877724,6.686277,32.35635,-19.073091
11.099718,7.529377,32.358425,-19.080144
11.321712,11.318573,32.3605,-19.087197
11.543707,14.409476,32.362575,-19.094251
11.765701,13.750705,32.36465,-19.101304
11.987695,11.797484,32.366725,-19.108358
12.20969,11.056689,32.368801,-19.115411
12.431684,9.92367,32.370876,-19.122464
12.653678,9.245888,32.372952,-19.129518
12.875673,9.329247,32.375028,-19.136571
13.097667,8.744189,32.377104,-19.143624
13.319662,9.277424,32.379181,-19.150677
13.541656,8.387239,32.381257,-19.157731
