Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_3,3.149762,-51.444034,11.49946,22.775159,18.842513,-979.510159,21.212602,6.800339,38.427886,31.996616,3.867923,5.2817
D_1_8_3,3.221348,-51.442069,11.500826,23.280476,18.771737,-974.803183,21.211212,6.779919,37.738789,32.200817,7.09906,5.282789
D_1_8_3,3.292933,-51.440103,11.50219,20.381771,18.963098,-963.977648,21.209831,6.832696,41.112495,31.673038,6.785802,5.283879
D_1_8_3,3.364519,-51.438137,11.503554,19.086341,19.02845,-957.947011,21.208459,6.840614,42.479181,31.593866,3.957354,5.284969
D_1_8_3,3.436104,-51.436171,11.504919,20.023925,18.869719,-952.759752,21.207094,6.800781,41.226031,31.949263,2.810514,5.28606
D_1_8_3,3.50769,-51.434205,11.506283,25.290717,18.860446,-950.311582,21.205739,6.152065,36.994769,31.562446,2.366808,5.287151
D_1_8_3,3.579275,-51.432239,11.507648,27.258347,18.717254,-947.783697,21.204392,4.505012,37.090206,31.146437,1.467994,5.288243
D_1_8_3,3.650861,-51.430273,11.509013,25.479222,18.596671,-948.933241,21.203055,6.436211,35.433125,32.651445,1.746977,5.289336
D_1_8_3,3.722446,-51.428307,11.510377,24.101892,18.670286,-948.015762,21.201724,6.393002,36.881868,32.623241,2.874453,5.290429
D_1_8_3,3.794032,-51.426342,11.511743,28.25907,18.772452,-945.619439,21.200404,5.009027,35.484844,31.247061,3.654397,5.291522
D_1_8_3,3.865617,-51.424375,11.513106,26.653487,19.003515,-941.376118,21.199092,5.223967,37.658379,30.464166,5.481384,5.292616
D_1_8_3,3.937203,-51.422409,11.514471,24.083915,18.980893,-931.695596,21.197788,6.124644,38.682038,31.109404,8.871787,5.293711
D_1_8_3,4.008788,-51.420443,11.515836,23.285015,19.1145,-918.4738,21.196493,6.215175,39.788839,30.710971,12.167158,5.294806
D_1_8_3,4.080374,-51.418477,11.5172,21.261033,19.313583,-902.551728,21.195207,5.319501,43.856013,29.563454,13.481008,5.295902
D_1_8_3,4.151959,-51.416511,11.518565,27.489497,19.440928,-886.995911,21.193928,4.319405,40.177453,28.013646,13.534776,5.296998
D_1_8_3,4.223545,-51.414545,11.519929,25.631084,19.388559,-871.349501,21.192659,6.141542,38.91195,29.315423,15.603879,5.298095
D_1_8_3,4.29513,-51.412579,11.521294,29.937582,19.099402,-850.642093,21.191398,4.135194,36.618415,29.308809,17.222703,5.299192
D_1_8_3,4.366716,-51.410613,11.522658,22.1328,19.203797,-826.71815,21.190146,5.265883,42.641273,29.960044,15.099703,5.30029
D_1_8_3,4.438301,-51.408647,11.524022,20.224634,19.25225,-814.86925,21.188903,6.154431,43.24933,30.371607,12.623943,5.301388
D_1_8_3,4.509887,-51.406681,11.525387,20.56637,19.191151,-800.581413,21.187668,6.417263,42.341219,30.675149,12.970273,5.302488
D_1_8_3,4.581472,-51.404715,11.526751,23.86372,19.093405,-786.406869,21.186441,5.10582,40.930387,30.100075,12.794944,5.303587
D_1_8_3,4.653058,-51.402749,11.528116,26.828994,18.898593,-775.967813,21.185224,3.705878,39.340755,30.124375,12.079734,5.304687
D_1_8_3,4.724643,-51.400782,11.52948,22.923301,18.572327,-763.910124,21.184015,5.979,38.302321,32.795381,14.071721,5.305788
D_1_8_3,4.796229,-51.398816,11.530845,25.213815,18.282429,-748.145598,21.182813,4.518152,37.142986,33.125047,14.624708,5.306889
D_1_8_3,4.867814,-51.39685,11.532209,29.466459,18.022997,-736.211077,21.181622,3.292352,34.809558,32.431631,11.891806,5.307991
D_1_8_3,4.9394,-51.394884,11.533573,27.761651,17.861312,-732.821765,21.180439,9.654234,31.741935,30.842181,11.886373,5.309093
D_1_8_3,5.010985,-51.392917,11.534938,26.439128,17.90406,-742.511354,21.179263,10.608556,35.865191,27.087123,16.153741,5.310196
D_1_8_3,5.082571,-51.390951,11.536302,26.147004,17.920998,-759.075249,21.178098,10.384834,34.64391,28.824252,18.974743,5.311299
D_1_8_3,5.154156,-51.388985,11.537666,31.343188,17.96516,-777.375664,21.176941,7.197394,33.433364,28.026054,22.161191,5.312403
D_1_8_3,5.225742,-51.387019,11.539031,30.940656,17.839647,-804.158729,21.175792,7.475356,36.337546,25.246443,24.79752,5.313508
D_1_8_3,5.297327,-51.385052,11.540395,31.354267,17.623081,-834.459686,21.174651,8.302741,32.713328,27.629662,23.922482,5.314613
D_1_8_3,5.368913,-51.383086,11.541759,28.317129,17.228733,-858.041291,21.17352,10.340257,27.956343,33.386271,21.483203,5.315718
D_1_8_3,5.440498,-51.381119,11.543124,27.295476,16.721096,-878.648346,21.172397,11.999653,26.223825,34.481047,23.403138,5.316825
D_1_8_3,5.512084,-51.379153,11.544488,25.881263,16.26095,-910.568044,21.171283,11.764024,23.079612,39.275102,27.426921,5.317931
D_1_8_3,5.583669,-51.377187,11.545852,26.866663,15.971653,-944.136399,21.170177,10.627274,23.30177,39.204292,27.397371,5.319038
D_1_8_3,5.655255,-51.37522,11.547216,29.820979,15.857011,-975.254386,21.16908,10.00277,23.942306,36.233945,26.583601,5.320146
D_1_8_3,5.72684,-51.373254,11.548581,28.907293,15.802454,-1007.728167,21.167992,10.811842,23.882315,36.398549,28.094464,5.321254
D_1_8_3,5.798426,-51.371287,11.549945,26.123161,15.898172,-1045.445278,21.166911,12.265256,24.21555,37.396033,30.368635,5.322363
D_1_8_3,5.870011,-51.369321,11.551309,26.435712,16.179608,-1089.05798,21.165839,12.567163,25.420756,35.576365,29.988298,5.323473
D_1_8_3,5.941597,-51.367354,11.552673,27.06642,16.186654,-1121.996202,21.164777,12.535746,24.186448,36.211387,29.787377,5.324583
D_1_8_3,6.013182,-51.365388,11.554037,24.661534,16.147714,-1164.242593,21.163723,13.001247,27.34903,34.988191,30.780408,5.325693
D_1_8_3,6.084768,-51.363421,11.555401,23.932426,16.384547,-1205.754348,21.162676,12.166144,25.841717,38.059711,30.6281,5.326804
D_1_8_3,6.156353,-51.361455,11.556766,28.901384,16.643217,-1247.877803,21.16164,11.473109,25.551803,34.073701,29.091616,5.327916
D_1_8_3,6.227939,-51.359488,11.55813,29.001109,16.843736,-1283.407316,21.160612,11.139625,22.902162,36.957102,26.337663,5.329028
D_1_8_3,6.299525,-51.357521,11.559494,32.803998,16.977943,-1314.915376,21.159592,8.261992,25.585805,33.348203,25.505271,5.330141
D_1_8_3,6.37111,-51.355555,11.560858,32.054881,17.038117,-1348.690075,21.158581,8.407949,25.261474,34.275695,25.922625,5.331254
D_1_8_3,6.442696,-51.353589,11.562223,30.353351,17.056853,-1382.695153,21.157578,8.796435,26.882349,33.967863,26.057165,5.332367
D_1_8_3,6.514281,-51.351621,11.563586,27.621617,17.091875,-1415.715092,21.156583,9.667375,24.859328,37.851681,25.268331,5.333482
D_1_8_3,6.585867,-51.349655,11.56495,28.359117,17.017391,-1447.109769,21.155599,7.920641,24.843283,38.87696,22.827101,5.334597
D_1_8_3,6.657452,-51.347688,11.566314,24.471228,16.94244,-1474.921632,21.154622,6.322989,29.83525,39.370533,20.167217,5.335712
D_1_8_3,6.729038,-51.345721,11.567678,21.119159,16.88262,-1499.76048,21.153654,7.333833,30.956237,40.590771,19.249327,5.336828
