position,Olivine Abundance,lon,lat
0,6.95997,-51.53051,11.439401
0.071586,6.964869,-51.528545,11.440766
0.143171,6.957061,-51.52658,11.442132
0.214757,6.905362,-51.524615,11.443497
0.286342,6.833278,-51.52265,11.444862
0.357928,6.816341,-51.520685,11.446227
0.429513,6.921541,-51.51872,11.447592
0.501099,7.492972,-51.516755,11.448958
0.572684,8.59904,-51.51479,11.450323
0.64427,6.803967,-51.512825,11.451688
0.715855,6.769542,-51.51086,11.453053
0.787441,6.85241,-51.508894,11.454418
0.859026,6.859133,-51.506929,11.455783
0.930612,6.808132,-51.504964,11.457148
1.002197,6.746903,-51.502999,11.458513
1.073783,6.651744,-51.501034,11.459879
1.145368,6.634605,-51.499068,11.461244
1.216954,6.62654,-51.497103,11.462609
1.288539,7.568268,-51.495138,11.463974
1.360125,7.625119,-51.493173,11.465339
1.43171,7.32364,-51.491207,11.466704
1.503296,9.265671,-51.489242,11.468069
1.574881,7.34181,-51.487277,11.469434
1.646467,6.876965,-51.485311,11.470799
1.718052,6.897732,-51.483346,11.472164
1.789638,6.916539,-51.481381,11.473529
1.861223,6.982841,-51.479415,11.474894
1.932809,6.973349,-51.47745,11.476259
2.004394,6.956536,-51.475484,11.477623
2.07598,6.925366,-51.473519,11.478988
2.147565,7.093137,-51.471553,11.480353
2.219151,6.807149,-51.469588,11.481718
2.290736,6.710402,-51.467622,11.483083
2.362322,5.00783,-51.465657,11.484448
2.433907,5.661836,-51.463691,11.485813
2.505493,6.680704,-51.461725,11.487177
2.577078,6.650499,-51.45976,11.488542
2.648664,6.641768,-51.457795,11.489908
2.720249,5.890164,-51.455828,11.491272
2.791835,3.885438,-51.453863,11.492637
2.86342,4.297051,-51.451898,11.494002
2.935006,5.858247,-51.449931,11.495366
3.006591,6.810524,-51.447966,11.496731
3.078177,6.793325,-51.446,11.498096
3.149762,6.800339,-51.444034,11.49946
3.221348,6.779919,-51.442069,11.500826
3.292933,6.832696,-51.440103,11.50219
3.364519,6.840614,-51.438137,11.503554
3.436104,6.800781,-51.436171,11.504919
3.50769,6.152065,-51.434205,11.506283
3.579275,4.505012,-51.432239,11.507648
3.650861,6.436211,-51.430273,11.509013
3.722446,6.393002,-51.428307,11.510377
3.794032,5.009027,-51.426342,11.511743
3.865617,5.223967,-51.424375,11.513106
3.937203,6.124644,-51.422409,11.514471
4.008788,6.215175,-51.420443,11.515836
4.080374,5.319501,-51.418477,11.5172
4.151959,4.319405,-51.416511,11.518565
4.223545,6.141542,-51.414545,11.519929
4.29513,4.135194,-51.412579,11.521294
4.366716,5.265883,-51.410613,11.522658
4.438301,6.154431,-51.408647,11.524022
4.509887,6.417263,-51.406681,11.525387
4.581472,5.10582,-51.404715,11.526751
4.653058,3.705878,-51.402749,11.528116
4.724643,5.979,-51.400782,11.52948
4.796229,4.518152,-51.398816,11.530845
4.867814,3.292352,-51.39685,11.532209
4.9394,9.654234,-51.394884,11.533573
5.010985,10.608556,-51.392917,11.534938
5.082571,10.384834,-51.390951,11.536302
5.154156,7.197394,-51.388985,11.537666
5.225742,7.475356,-51.387019,11.539031
5.297327,8.302741,-51.385052,11.540395
5.368913,10.340257,-51.383086,11.541759
5.440498,11.999653,-51.381119,11.543124
5.512084,11.764024,-51.379153,11.544488
5.583669,10.627274,-51.377187,11.545852
5.655255,10.00277,-51.37522,11.547216
5.72684,10.811842,-51.373254,11.548581
5.798426,12.265256,-51.371287,11.549945
5.870011,12.567163,-51.369321,11.551309
5.941597,12.535746,-51.367354,11.552673
6.013182,13.001247,-51.365388,11.554037
6.084768,12.166144,-51.363421,11.555401
6.156353,11.473109,-51.361455,11.556766
6.227939,11.139625,-51.359488,11.55813
6.299525,8.261992,-51.357521,11.559494
6.37111,8.407949,-51.355555,11.560858
6.442696,8.796435,-51.353589,11.562223
6.514281,9.667375,-51.351621,11.563586
6.585867,7.920641,-51.349655,11.56495
6.657452,6.322989,-51.347688,11.566314
6.729038,7.333833,-51.345721,11.567678
6.800623,8.241805,-51.343755,11.569042
6.872209,6.313127,-51.341788,11.570406
6.943794,6.189628,-51.339821,11.57177
7.01538,6.3466,-51.337854,11.573134
7.086965,6.352757,-51.335887,11.574498
7.158551,5.948341,-51.333921,11.575862
7.230136,4.269001,-51.331954,11.577226
7.301722,5.054438,-51.329987,11.57859
7.373307,6.367351,-51.32802,11.579954
7.444893,6.840295,-51.326053,11.581318
7.516478,7.27762,-51.324087,11.582682
7.588064,7.38895,-51.32212,11.584046
7.659649,7.653012,-51.320153,11.58541
7.731235,7.091026,-51.318185,11.586773
7.80282,5.396267,-51.316218,11.588137
7.874406,4.108282,-51.314251,11.589501
7.945991,4.530266,-51.312284,11.590865
8.017577,4.885103,-51.310317,11.592229
8.089162,6.004181,-51.30835,11.593592
8.160748,6.556291,-51.306383,11.594956
8.232333,6.630283,-51.304416,11.59632
8.303919,6.684026,-51.302449,11.597684
8.375504,6.798414,-51.300481,11.599047
8.44709,6.522389,-51.298514,11.600411
8.518675,5.039933,-51.296547,11.601775
8.590261,5.619869,-51.29458,11.603139
8.661846,3.86386,-51.292613,11.604503
8.733432,1.855801,-51.290645,11.605866
8.805017,4.612345,-51.288678,11.60723
8.876603,4.254961,-51.286711,11.608593
8.948188,3.568929,-51.284743,11.609957
9.019774,3.253944,-51.282776,11.61132
9.091359,2.589095,-51.280809,11.612684
9.162945,1.761047,-51.278841,11.614048
9.23453,5.777182,-51.276874,11.615411
9.306116,8.128592,-51.274907,11.616775
9.377701,8.850734,-51.272939,11.618138
9.449287,6.694171,-51.270972,11.619502
9.520872,6.84053,-51.269004,11.620865
9.592458,6.845105,-51.267037,11.622229
9.664043,8.464879,-51.265069,11.623592
9.735629,7.061136,-51.263102,11.624956
9.807214,8.37181,-51.261134,11.626319
9.8788,7.244374,-51.259166,11.627683
9.950385,7.590157,-51.257199,11.629046
10.021971,5.839534,-51.255231,11.63041
10.093556,3.525053,-51.253264,11.631773
10.165142,3.513593,-51.251296,11.633136
10.236727,6.196644,-51.249328,11.6345
10.308313,6.354628,-51.247361,11.635863
10.379898,8.640622,-51.245393,11.637227
10.451484,9.126124,-51.243425,11.63859
10.523069,10.913305,-51.241457,11.639953
10.594655,9.283274,-51.23949,11.641317
10.66624,7.529794,-51.237522,11.64268
10.737826,11.496867,-51.235554,11.644043
10.809411,15.802669,-51.233586,11.645406
10.880997,15.426038,-51.231618,11.64677
10.952582,12.950991,-51.229651,11.648133
11.024168,12.784203,-51.227683,11.649496
11.095753,12.742663,-51.225715,11.650859
11.167339,12.741102,-51.223747,11.652223
11.238924,12.700483,-51.221779,11.653586
11.31051,12.865804,-51.219811,11.654949
11.382095,14.889933,-51.217843,11.656312
