position,Titanium Abundance,lon,lat
0,1.26586,33.085081,-18.584901
0.253276,1.25856,33.08446,-18.593233
0.506553,1.251258,33.083841,-18.601565
0.759829,1.243953,33.083221,-18.609897
1.013105,1.236645,33.082601,-18.618228
1.266381,1.229335,33.081981,-18.62656
1.519658,1.222023,33.081361,-18.634892
1.772934,1.214707,33.08074,-18.643224
2.02621,1.20739,33.08012,-18.651556
2.279486,1.200069,33.0795,-18.659887
2.532763,1.192746,33.078879,-18.668219
2.786039,1.185421,33.078259,-18.676551
3.039315,1.178093,33.077638,-18.684883
3.292591,1.170762,33.077017,-18.693215
3.545868,1.163429,33.076397,-18.701546
3.799144,1.156093,33.075776,-18.709878
4.05242,1.148754,33.075155,-18.71821
4.305696,1.141413,33.074534,-18.726542
4.558973,1.13407,33.073913,-18.734874
4.812249,1.126723,33.073292,-18.743205
5.065525,1.119374,33.072671,-18.751537
5.318801,1.112023,33.07205,-18.759869
5.572078,1.104669,33.071428,-18.768201
5.825354,1.097313,33.070807,-18.776532
6.07863,1.089953,33.070186,-18.784864
6.331906,1.082592,33.069565,-18.793196
6.585183,1.075227,33.068943,-18.801528
6.838459,1.06786,33.068322,-18.80986
7.091735,1.060491,33.0677,-18.818191
7.345012,1.053119,33.067078,-18.826523
7.598288,1.045744,33.066457,-18.834855
7.851564,1.038367,33.065835,-18.843187
8.10484,1.030987,33.065213,-18.851518
8.358117,1.023604,33.064591,-18.85985
8.611393,1.016219,33.063969,-18.868182
8.864669,1.008832,33.063347,-18.876514
9.117945,1.001442,33.062725,-18.884845
9.371222,0.994049,33.062103,-18.893177
9.624498,0.986653,33.06148,-18.901509
9.877774,0.979255,33.060859,-18.909841
10.13105,0.971855,33.060236,-18.918172
10.384327,0.964451,33.059613,-18.926504
10.637603,0.957046,33.058991,-18.934836
10.890879,0.949637,33.058369,-18.943168
11.144155,0.942226,33.057746,-18.951499
11.397432,0.934813,33.057124,-18.959831
11.650708,0.927396,33.056501,-18.968163
11.903984,0.919978,33.055878,-18.976494
12.15726,0.912556,33.055255,-18.984826
12.410537,0.905511,33.054633,-18.993158
12.663813,0.900687,33.054009,-19.00149
12.917089,0.897891,33.053387,-19.009821
13.170365,0.89509,33.052763,-19.018153
13.423642,0.892286,33.05214,-19.026485
13.676918,0.889478,33.051517,-19.034817
