position,TerrainSlope,lon,lat
0,0.838691,33.085081,-18.584901
0.253276,0.920083,33.08446,-18.593233
0.506553,0.840301,33.083841,-18.601565
0.759829,0.893691,33.083221,-18.609897
1.013105,1.002862,33.082601,-18.618228
1.266381,1.034112,33.081981,-18.62656
1.519658,0.815151,33.081361,-18.634892
1.772934,0.560457,33.08074,-18.643224
2.02621,0.213492,33.08012,-18.651556
2.279486,0.397924,33.0795,-18.659887
2.532763,0.274355,33.078879,-18.668219
2.786039,1.259942,33.078259,-18.676551
3.039315,1.197696,33.077638,-18.684883
3.292591,0.777433,33.077017,-18.693215
3.545868,0.633702,33.076397,-18.701546
3.799144,0.781356,33.075776,-18.709878
4.05242,0.651732,33.075155,-18.71821
4.305696,0.097944,33.074534,-18.726542
4.558973,0.086225,33.073913,-18.734874
4.812249,0.284481,33.073292,-18.743205
5.065525,0.215287,33.072671,-18.751537
5.318801,0.287827,33.07205,-18.759869
5.572078,0.415812,33.071428,-18.768201
5.825354,0.233035,33.070807,-18.776532
6.07863,0.781979,33.070186,-18.784864
6.331906,0.315434,33.069565,-18.793196
6.585183,0.422892,33.068943,-18.801528
6.838459,0.119627,33.068322,-18.80986
7.091735,0.287632,33.0677,-18.818191
7.345012,0.931105,33.067078,-18.826523
7.598288,1.873131,33.066457,-18.834855
7.851564,2.014386,33.065835,-18.843187
8.10484,0.651026,33.065213,-18.851518
8.358117,2.925547,33.064591,-18.85985
8.611393,3.512278,33.063969,-18.868182
8.864669,2.09229,33.063347,-18.876514
9.117945,3.173484,33.062725,-18.884845
9.371222,3.929058,33.062103,-18.893177
9.624498,2.195429,33.06148,-18.901509
9.877774,2.200343,33.060859,-18.909841
10.13105,2.612422,33.060236,-18.918172
10.384327,3.790423,33.059613,-18.926504
10.637603,4.534583,33.058991,-18.934836
10.890879,3.08397,33.058369,-18.943168
11.144155,0.569443,33.057746,-18.951499
11.397432,2.053341,33.057124,-18.959831
11.650708,1.584027,33.056501,-18.968163
11.903984,1.675015,33.055878,-18.976494
12.15726,4.492802,33.055255,-18.984826
12.410537,5.748145,33.054633,-18.993158
12.663813,6.214624,33.054009,-19.00149
12.917089,7.301977,33.053387,-19.009821
13.170365,7.395265,33.052763,-19.018153
13.423642,4.589178,33.05214,-19.026485
13.676918,0.269709,33.051517,-19.034817
13.930194,0.391996,33.050894,-19.043148
14.183471,0.753844,33.050271,-19.05148
14.436747,0.736463,33.049647,-19.059812
14.690023,1.011734,33.049024,-19.068143
14.943299,1.183412,33.0484,-19.076475
15.196576,1.723337,33.047777,-19.084807
15.449852,1.786093,33.047153,-19.093138
15.703128,0.901988,33.046529,-19.10147
15.956404,0.476133,33.045906,-19.109802
16.209681,0.589077,33.045282,-19.118134
16.462957,1.609748,33.044658,-19.126465
16.716233,1.453663,33.044034,-19.134797
16.969509,1.265111,33.04341,-19.143129
17.222786,0.995287,33.042786,-19.15146
17.476062,1.427019,33.042162,-19.159792
17.729338,2.816039,33.041537,-19.168124
17.982614,2.674698,33.040913,-19.176455
18.235891,2.088642,33.040288,-19.184787
18.489167,2.294156,33.039664,-19.193119
18.742443,1.396982,33.03904,-19.20145
18.995719,2.715559,33.038415,-19.209782
19.248996,3.724388,33.037791,-19.218114
19.502272,2.437424,33.037166,-19.226445
19.755548,1.041697,33.036542,-19.234777
20.008824,0.687732,33.035917,-19.243109
20.262101,1.527969,33.035292,-19.25144
20.515377,1.848755,33.034667,-19.259772
20.768653,1.963728,33.034042,-19.268104
21.021929,3.004147,33.033417,-19.276435
21.275206,4.587412,33.032792,-19.284767
21.528482,4.970356,33.032167,-19.293099
21.781758,3.408091,33.031542,-19.30143
22.035035,7.341481,33.030916,-19.309762
22.288311,18.392814,33.030291,-19.318094
22.541587,21.172165,33.029665,-19.326425
22.794863,14.127205,33.02904,-19.334757
23.04814,2.632625,33.028415,-19.343088
23.301416,7.233585,33.027789,-19.35142
23.554692,14.912192,33.027163,-19.359752
23.807968,19.643212,33.026537,-19.368083
24.061245,13.271809,33.025912,-19.376415
24.314521,1.749588,33.025286,-19.384747
24.567797,7.49369,33.02466,-19.393078
24.821073,7.728934,33.024034,-19.40141
25.07435,5.974172,33.023408,-19.409741
25.327626,3.536226,33.022782,-19.418073
25.580902,2.278691,33.022156,-19.426405
25.834178,2.157566,33.021529,-19.434736
26.087455,2.167476,33.020903,-19.443068
26.340731,2.034048,33.020277,-19.451399
26.594007,2.142818,33.01965,-19.459731
26.847283,2.378455,33.019024,-19.468063
27.10056,1.595339,33.018397,-19.476394
27.353836,1.147322,33.01777,-19.484726
27.607112,1.124807,33.017144,-19.493057
27.860388,2.328377,33.016517,-19.501389
28.113665,3.308241,33.01589,-19.509721
28.366941,3.385775,33.015264,-19.518052
28.620217,5.446349,33.014637,-19.526384
28.873494,6.604137,33.01401,-19.534715
29.12677,8.203662,33.013382,-19.543047
29.380046,8.224491,33.012755,-19.551379
29.633322,8.800504,33.012128,-19.55971
29.886599,10.276273,33.011501,-19.568042
30.139875,9.091906,33.010874,-19.576373
30.393151,6.612578,33.010246,-19.584705
30.646427,3.478598,33.009619,-19.593036
30.899704,2.040059,33.008991,-19.601368
31.15298,5.671349,33.008364,-19.6097
31.406256,11.832053,33.007735,-19.618031
31.659532,16.757214,33.007108,-19.626363
31.912809,18.337687,33.00648,-19.634694
32.166085,17.889355,33.005852,-19.643026
32.419361,15.986015,33.005225,-19.651357
32.672637,13.71577,33.004597,-19.659689
32.925914,11.446584,33.003968,-19.66802
33.17919,9.301562,33.00334,-19.676352
33.432466,7.697845,33.002712,-19.684684
33.685742,6.191216,33.002084,-19.693015
33.939019,4.435196,33.001456,-19.701347
34.192295,2.961731,33.000827,-19.709678
34.445571,2.478914,33.000199,-19.71801
34.698847,2.800362,32.99957,-19.726341
34.952124,2.624857,32.998942,-19.734673
35.2054,2.399409,32.998313,-19.743004
35.458676,2.7738,32.997684,-19.751336
35.711953,3.183092,32.997056,-19.759667
35.965229,2.973976,32.996427,-19.767999
36.218505,4.776384,32.995798,-19.77633
36.471781,8.793872,32.995169,-19.784662
36.725058,12.112868,32.99454,-19.792993
36.978334,12.56969,32.993911,-19.801325
37.23161,9.718784,32.99328,-19.809656
37.484886,4.414675,32.992652,-19.817988
37.738163,2.362494,32.992023,-19.82632
37.991439,5.114027,32.991394,-19.834651
38.244715,5.081613,32.990764,-19.842983
38.497991,3.724431,32.990134,-19.851314
38.751268,2.606769,32.989505,-19.859646
39.004544,3.293115,32.988876,-19.867977
39.25782,5.551922,32.988246,-19.876309
39.511096,9.389097,32.987616,-19.88464
39.764373,12.253288,32.986986,-19.892971
40.017649,12.223534,32.986356,-19.901303
40.270925,9.479019,32.985726,-19.909634
40.524201,5.274041,32.985096,-19.917966
40.777478,1.590184,32.984467,-19.926297
41.030754,0.837817,32.983836,-19.934629
41.28403,2.459126,32.983206,-19.94296
41.537306,7.253982,32.982575,-19.951292
41.790583,12.836329,32.981945,-19.959623
42.043859,15.435338,32.981315,-19.967955
42.297135,12.683375,32.980684,-19.976286
42.550412,8.60489,32.980053,-19.984618
42.803688,6.329442,32.979423,-19.992949
43.056964,2.665026,32.978792,-20.001281
43.31024,0.444642,32.978162,-20.009612
43.563517,1.73067,32.977531,-20.017944
43.816793,2.318694,32.9769,-20.026275
44.070069,2.898062,32.976269,-20.034607
44.323345,2.978539,32.975638,-20.042938
44.576622,2.419196,32.975007,-20.051269
44.829898,1.710605,32.974376,-20.059601
45.083174,1.31549,32.973744,-20.067932
45.33645,0.243132,32.973113,-20.076264
45.589727,0.732104,32.972482,-20.084595
45.843003,0.276323,32.97185,-20.092927
46.096279,1.007693,32.971219,-20.101258
46.349555,1.053214,32.970587,-20.10959
46.602832,0.613575,32.969956,-20.117921
46.856108,0.411016,32.969324,-20.126252
47.109384,0.3341,32.968692,-20.134584
47.36266,0.552497,32.96806,-20.142915
47.615937,0.909115,32.967429,-20.151247
47.869213,0.84737,32.966797,-20.159578
48.122489,0.515558,32.966164,-20.167909
48.375765,0.620981,32.965532,-20.176241
48.629042,0.360402,32.9649,-20.184572
48.882318,0.251896,32.964268,-20.192904
49.135594,0.648383,32.963636,-20.201235
49.38887,0.471588,32.963003,-20.209566
49.642147,0.298555,32.962371,-20.217898
49.895423,0.398765,32.961738,-20.226229
50.148699,0.489656,32.961105,-20.234561
50.401976,0.354799,32.960473,-20.242892
50.655252,0.205398,32.95984,-20.251224
50.908528,0.288228,32.959208,-20.259555
51.161804,0.341098,32.958575,-20.267886
51.415081,0.398046,32.957942,-20.276218
51.668357,0.335464,32.957309,-20.284549
51.921633,0.408769,32.956676,-20.29288
52.174909,0.440202,32.956042,-20.301212
52.428186,0.287366,32.95541,-20.309543
52.681462,0.170173,32.954776,-20.317875
52.934738,0.292188,32.954143,-20.326206
53.188014,0.494696,32.95351,-20.334537
53.441291,0.608549,32.952876,-20.342869
53.694567,0.457161,32.952243,-20.3512
53.947843,0.122869,32.951609,-20.359531
54.201119,0.087933,32.950975,-20.367863
54.454396,0.173466,32.950342,-20.376194
54.707672,0.314229,32.949708,-20.384526
54.960948,0.520329,32.949074,-20.392857
55.214224,0.530469,32.94844,-20.401188
55.467501,0.319724,32.947806,-20.40952
55.720777,0.465704,32.947172,-20.417851
55.974053,0.849548,32.946538,-20.426182
56.227329,1.089613,32.945903,-20.434514
56.480606,0.663324,32.945269,-20.442845
56.733882,0.470897,32.944635,-20.451176
56.987158,0.231244,32.944,-20.459508
57.240435,0.065241,32.943366,-20.467839
57.493711,0.253916,32.942731,-20.47617
57.746987,0.39091,32.942096,-20.484502
58.000263,0.317922,32.941462,-20.492833
58.25354,0.419306,32.940827,-20.501164
58.506816,0.448594,32.940192,-20.509496
58.760092,0.654153,32.939557,-20.517827
59.013368,0.588935,32.938923,-20.526158
59.266645,0.351455,32.938288,-20.53449
59.519921,0.883865,32.937652,-20.542821
59.773197,1.166283,32.937017,-20.551152
60.026473,0.568945,32.936382,-20.559484
60.27975,0.382041,32.935747,-20.567815
60.533026,1.516095,32.935111,-20.576146
60.786302,1.867316,32.934476,-20.584477
61.039578,0.555834,32.933839,-20.592809
61.292855,0.793554,32.933205,-20.60114
61.546131,1.021366,32.932569,-20.609471
61.799407,1.05603,32.931933,-20.617803
62.052683,1.34161,32.931298,-20.626134
62.30596,1.828402,32.930661,-20.634465
62.559236,1.252468,32.930025,-20.642796
62.812512,0.662086,32.92939,-20.651128
63.065788,0.860026,32.928754,-20.659459
63.319065,1.247875,32.928117,-20.66779
63.572341,2.289666,32.927481,-20.676122
63.825617,1.615387,32.926845,-20.684453
64.078894,0.948096,32.926209,-20.692784
64.33217,1.010022,32.925572,-20.701115
64.585446,0.79702,32.924936,-20.709447
64.838722,2.058168,32.924299,-20.717778
65.091999,2.408037,32.923662,-20.726109
65.345275,2.274128,32.923026,-20.73444
65.598551,1.476953,32.922389,-20.742772
65.851827,1.079049,32.921752,-20.751103
66.105104,1.383657,32.921115,-20.759434
66.35838,1.773086,32.920478,-20.767766
66.611656,1.37616,32.919841,-20.776097
66.864932,1.164453,32.919204,-20.784428
67.118209,1.033006,32.918567,-20.792759
67.371485,0.88895,32.917929,-20.80109
67.624761,0.940578,32.917292,-20.809422
67.878037,1.335403,32.916654,-20.817753
68.131314,1.627731,32.916017,-20.826084
68.38459,1.769635,32.915379,-20.834415
68.637866,1.636805,32.914742,-20.842747
68.891142,0.908211,32.914104,-20.851078
69.144419,0.853807,32.913466,-20.859409
69.397695,1.803222,32.912829,-20.86774
69.650971,2.748764,32.912191,-20.876072
69.904247,3.086893,32.911553,-20.884403
70.157524,2.81297,32.910915,-20.892734
70.4108,1.998736,32.910276,-20.901065
70.664076,1.30846,32.909638,-20.909396
70.917353,1.682761,32.909,-20.917728
71.170629,2.151744,32.908362,-20.926059
71.423905,2.676396,32.907723,-20.93439
71.677181,3.75743,32.907085,-20.942721
71.930458,3.260175,32.906446,-20.951052
72.183734,1.714868,32.905808,-20.959384
72.43701,0.829907,32.905169,-20.967715
72.690286,0.860973,32.90453,-20.976046
72.943563,0.611445,32.903892,-20.984377
73.196839,0.508175,32.903253,-20.992708
73.450115,2.041491,32.902614,-21.00104
73.703391,3.574643,32.901975,-21.009371
73.956668,4.419677,32.901335,-21.017702
74.209944,3.873055,32.900696,-21.026033
74.46322,3.730872,32.900057,-21.034364
74.716496,4.230194,32.899418,-21.042695
74.969773,4.757132,32.898778,-21.051027
75.223049,5.142431,32.898139,-21.059358
75.476325,4.953637,32.897498,-21.067689
75.729601,4.094934,32.89686,-21.07602
75.982878,3.583626,32.89622,-21.084351
76.236154,3.709287,32.89558,-21.092682
76.48943,3.404903,32.89494,-21.101014
76.742706,3.023468,32.8943,-21.109345
76.995983,2.889512,32.89366,-21.117676
77.249259,2.76262,32.89302,-21.126007
77.502535,2.649527,32.89238,-21.134338
77.755811,2.556851,32.89174,-21.142669
78.009088,2.170183,32.8911,-21.151001
78.262364,1.668373,32.89046,-21.159332
78.51564,1.894459,32.889819,-21.167663
78.768917,1.857832,32.889179,-21.175994
79.022193,1.658535,32.888538,-21.184325
79.275469,1.656632,32.887897,-21.192656
79.528745,1.6008,32.887257,-21.200987
79.782022,1.991244,32.886616,-21.209318
80.035298,2.312545,32.885975,-21.21765
80.288574,2.262896,32.885334,-21.225981
80.54185,2.293794,32.884693,-21.234312
80.795127,2.71705,32.884052,-21.242643
81.048403,2.965382,32.883411,-21.250974
81.301679,3.117921,32.882769,-21.259305
81.554955,3.228827,32.882129,-21.267636
81.808232,3.628058,32.881487,-21.275967
82.061508,4.386802,32.880846,-21.284298
82.314784,2.846951,32.880204,-21.29263
82.56806,2.738166,32.879563,-21.300961
82.821337,6.443176,32.878921,-21.309292
83.074613,6.23942,32.878279,-21.317623
83.327889,8.15387,32.877637,-21.325954
83.581165,11.891461,32.876995,-21.334285
83.834442,9.879655,32.876354,-21.342616
84.087718,4.918437,32.875712,-21.350947
84.340994,3.759533,32.87507,-21.359278
84.59427,4.420411,32.874427,-21.367609
84.847547,3.92306,32.873785,-21.37594
85.100823,3.286008,32.873143,-21.384272
85.354099,3.580014,32.872501,-21.392603
85.607376,4.705537,32.871858,-21.400934
85.860652,6.259788,32.871216,-21.409265
86.113928,6.584559,32.870573,-21.417596
86.367204,4.890307,32.86993,-21.425927
86.620481,3.915964,32.869288,-21.434258
86.873757,5.327724,32.868645,-21.442589
87.127033,6.437144,32.868002,-21.45092
87.380309,6.592096,32.867359,-21.459251
87.633586,5.197129,32.866716,-21.467582
87.886862,4.270786,32.866073,-21.475913
88.140138,4.173627,32.86543,-21.484244
88.393414,3.792741,32.864786,-21.492575
88.646691,2.957486,32.864143,-21.500906
88.899967,2.393682,32.863499,-21.509237
89.153243,2.341347,32.862856,-21.517568
89.406519,2.478367,32.862212,-21.525899
89.659796,1.136564,32.861569,-21.53423
89.913072,1.129673,32.860925,-21.542561
90.166348,0.877733,32.860282,-21.550892
90.419624,1.479036,32.859638,-21.559224
90.672901,1.230187,32.858994,-21.567555
90.926177,1.416849,32.85835,-21.575886
91.179453,1.590624,32.857706,-21.584217
91.432729,1.998828,32.857062,-21.592548
91.686006,2.239094,32.856417,-21.600879
91.939282,1.786115,32.855773,-21.60921
92.192558,0.551409,32.855129,-21.617541
92.445835,1.170819,32.854484,-21.625872
92.699111,2.384405,32.85384,-21.634203
92.952387,3.051756,32.853195,-21.642534
93.205663,2.767794,32.852551,-21.650865
93.45894,1.945226,32.851906,-21.659196
93.712216,1.154869,32.851261,-21.667527
93.965492,0.714591,32.850616,-21.675858
94.218768,1.075644,32.849971,-21.684189
94.472045,2.292475,32.849326,-21.69252
94.725321,0.963744,32.848681,-21.700851
94.978597,4.12585,32.848036,-21.709181
95.231873,12.439396,32.847391,-21.717512
95.48515,14.783171,32.846745,-21.725843
95.738426,2.291132,32.8461,-21.734174
95.991702,13.729519,32.845454,-21.742505
96.244978,18.289413,32.844809,-21.750836
96.498255,12.475327,32.844163,-21.759167
96.751531,5.831527,32.843518,-21.767498
97.004807,4.720407,32.842872,-21.775829
97.258083,3.79226,32.842226,-21.78416
97.51136,3.894819,32.84158,-21.792491
97.764636,4.947921,32.840934,-21.800822
98.017912,5.043122,32.840288,-21.809153
98.271188,4.796972,32.839642,-21.817484
98.524465,4.230766,32.838996,-21.825815
98.777741,3.699604,32.838349,-21.834146
99.031017,3.753577,32.837703,-21.842477
99.284294,3.363025,32.837056,-21.850808
99.53757,2.746507,32.83641,-21.859139
99.790846,1.798475,32.835763,-21.86747
100.044122,1.767786,32.835117,-21.875801
100.297399,2.417366,32.83447,-21.884131
100.550675,2.664668,32.833823,-21.892462
100.803951,1.738477,32.833176,-21.900793
101.057227,0.875616,32.832529,-21.909124
101.310504,0.570535,32.831882,-21.917455
101.56378,1.25981,32.831235,-21.925786
101.817056,1.046942,32.830587,-21.934117
102.070332,0.658407,32.82994,-21.942448
102.323609,0.93259,32.829293,-21.950779
102.576885,1.590951,32.828646,-21.95911
102.830161,1.812181,32.827998,-21.967441
103.083437,1.800709,32.827351,-21.975771
103.336714,1.514685,32.826703,-21.984102
103.58999,1.478437,32.826055,-21.992433
103.843266,1.213828,32.825407,-22.000764
104.096542,1.304714,32.824759,-22.009095
104.349819,1.866573,32.824111,-22.017426
104.603095,2.214194,32.823463,-22.025757
104.856371,2.584022,32.822815,-22.034088
105.109647,1.948972,32.822167,-22.042419
105.362924,1.593818,32.821519,-22.050749
105.6162,1.645572,32.82087,-22.05908
105.869476,1.741789,32.820222,-22.067411
106.122753,1.44603,32.819574,-22.075742
106.376029,1.285848,32.818925,-22.084073
106.629305,1.297239,32.818276,-22.092404
106.882581,0.904939,32.817628,-22.100735
107.135858,0.561769,32.816979,-22.109065
107.389134,0.179884,32.81633,-22.117396
107.64241,0.270896,32.815681,-22.125727
107.895686,1.295983,32.815032,-22.134058
108.148963,3.937061,32.814383,-22.142389
108.402239,6.662493,32.813734,-22.15072
108.655515,7.598253,32.813084,-22.159051
108.908791,6.618038,32.812435,-22.167381
109.162068,4.570724,32.811785,-22.175712
109.415344,2.644505,32.811136,-22.184043
109.66862,1.755399,32.810486,-22.192374
109.921896,1.625002,32.809837,-22.200705
110.175173,2.66505,32.809187,-22.209036
110.428449,4.451571,32.808537,-22.217366
110.681725,5.174399,32.807887,-22.225697
110.935001,3.921569,32.807237,-22.234028
111.188278,3.642619,32.806588,-22.242359
111.441554,2.964281,32.805937,-22.25069
111.69483,1.94818,32.805287,-22.25902
111.948106,1.757012,32.804637,-22.267351
112.201383,1.328765,32.803986,-22.275682
112.454659,1.171237,32.803336,-22.284013
112.707935,2.288704,32.802685,-22.292344
112.961211,2.795546,32.802035,-22.300674
113.214488,1.096128,32.801384,-22.309005
113.467764,1.113066,32.800733,-22.317336
113.72104,1.464864,32.800083,-22.325667
113.974317,1.808596,32.799432,-22.333998
114.227593,1.694598,32.798781,-22.342328
114.480869,1.09761,32.79813,-22.350659
114.734145,0.666002,32.797479,-22.35899
114.987422,1.158955,32.796827,-22.367321
115.240698,3.651533,32.796176,-22.375651
115.493974,7.307044,32.795525,-22.383982
115.74725,8.765387,32.794873,-22.392313
116.000527,7.685736,32.794222,-22.400644
116.253803,4.535243,32.79357,-22.408975
116.507079,0.854285,32.792918,-22.417305
116.760355,5.424982,32.792267,-22.425636
117.013632,7.636179,32.791615,-22.433967
117.266908,7.105182,32.790963,-22.442298
117.520184,5.245187,32.790311,-22.450628
117.77346,2.451383,32.789659,-22.458959
118.026737,0.285519,32.789007,-22.46729
118.280013,0.946246,32.788355,-22.475621
118.533289,0.545777,32.787702,-22.483951
118.786565,0.941332,32.78705,-22.492282
119.039842,1.099679,32.786397,-22.500613
119.293118,0.732993,32.785745,-22.508944
119.546394,0.443733,32.785092,-22.517274
119.79967,0.463493,32.78444,-22.525605
120.052947,0.45595,32.783787,-22.533936
120.306223,0.492037,32.783134,-22.542266
120.559499,1.489722,32.782481,-22.550597
120.812776,3.326098,32.781828,-22.558928
121.066052,4.809462,32.781175,-22.567259
121.319328,5.193084,32.780522,-22.575589
121.572604,5.24309,32.779868,-22.58392
121.825881,4.865501,32.779215,-22.592251
122.079157,3.579099,32.778562,-22.600581
122.332433,2.648215,32.777908,-22.608912
122.585709,1.61858,32.777255,-22.617243
122.838986,1.389637,32.776601,-22.625573
123.092262,2.571858,32.775947,-22.633904
123.345538,2.311743,32.775294,-22.642235
123.598814,1.739126,32.77464,-22.650566
123.852091,1.746005,32.773986,-22.658896
124.105367,1.975,32.773331,-22.667227
124.358643,1.106696,32.772676,-22.675558
124.611919,1.137078,32.772023,-22.683888
124.865196,0.873502,32.771369,-22.692219
125.118472,0.675598,32.770715,-22.70055
125.371748,1.082937,32.77006,-22.70888
125.625024,1.922519,32.769406,-22.717211
125.878301,1.563946,32.768751,-22.725542
126.131577,0.955527,32.768097,-22.733872
126.384853,1.063224,32.767441,-22.742203
126.638129,2.129456,32.766787,-22.750534
126.891406,3.743655,32.766132,-22.758864
127.144682,5.376819,32.765477,-22.767195
127.397958,6.400532,32.764822,-22.775526
127.651235,7.522175,32.764167,-22.783856
127.904511,9.052068,32.763512,-22.792187
128.157787,10.088752,32.762856,-22.800518
128.411063,10.397937,32.7622,-22.808848
128.66434,11.701129,32.761545,-22.817179
128.917616,12.87402,32.76089,-22.825509
129.170892,10.439668,32.760234,-22.83384
129.424168,6.867849,32.759578,-22.842171
129.677445,8.304233,32.758923,-22.850501
129.930721,9.058084,32.758267,-22.858832
130.183997,7.160654,32.757611,-22.867163
130.437273,5.242248,32.756955,-22.875493
130.69055,3.598147,32.756299,-22.883824
130.943826,3.507418,32.755642,-22.892154
