position,Titanium Abundance,lon,lat
0,5.435387,-50.790689,12.783565
0.072736,5.435418,-50.790859,12.781172
0.145472,5.435449,-50.79103,12.778779
0.218208,5.43548,-50.791201,12.776386
0.290944,5.435511,-50.791372,12.773993
0.36368,5.435542,-50.791541,12.7716
0.436416,5.435573,-50.791712,12.769207
0.509153,5.435604,-50.791883,12.766815
0.581889,5.435635,-50.792053,12.764422
0.654625,5.435666,-50.792223,12.762029
0.727361,5.435697,-50.792394,12.759636
0.800097,5.435728,-50.792565,12.757243
0.872833,5.435758,-50.792736,12.75485
0.945569,5.435789,-50.792905,12.752457
1.018305,5.435819,-50.793076,12.750064
1.091041,5.43585,-50.793246,12.747671
1.163777,5.435881,-50.793416,12.745278
1.236513,5.435911,-50.793587,12.742885
1.309249,5.435942,-50.793757,12.740492
1.381986,5.435972,-50.793928,12.7381
1.454722,5.436003,-50.794098,12.735707
1.527458,5.436033,-50.794269,12.733314
1.600194,5.436063,-50.79444,12.730921
1.67293,5.436094,-50.794609,12.728528
1.745666,5.436124,-50.794781,12.726135
1.818402,5.436154,-50.79495,12.723742
1.891138,5.436184,-50.795121,12.721349
1.963874,5.436214,-50.795291,12.718956
2.03661,5.436244,-50.795461,12.716563
2.109346,5.436274,-50.795632,12.71417
2.182082,5.436304,-50.795802,12.711777
2.254818,5.436334,-50.795972,12.709385
2.327555,5.436364,-50.796143,12.706992
2.400291,5.436394,-50.796313,12.704599
2.473027,5.436424,-50.796484,12.702206
2.545763,5.436453,-50.796655,12.699813
2.618499,5.436483,-50.796824,12.69742
2.691235,5.436513,-50.796996,12.695027
2.763971,5.436542,-50.797165,12.692634
2.836707,5.436572,-50.797335,12.690241
2.909443,5.436602,-50.797506,12.687848
2.982179,5.436631,-50.797677,12.685455
3.054915,5.43666,-50.797846,12.683062
3.127651,5.43669,-50.798017,12.68067
3.200388,5.436719,-50.798187,12.678277
3.273124,5.436748,-50.798358,12.675884
3.34586,5.436778,-50.798528,12.673491
3.418596,5.436807,-50.798699,12.671098
3.491332,5.436836,-50.798869,12.668705
3.564068,5.436865,-50.799039,12.666312
3.636804,5.436894,-50.799209,12.663919
3.70954,5.436924,-50.799379,12.661526
3.782276,5.436953,-50.799551,12.659133
3.855012,5.436982,-50.799721,12.65674
3.927748,5.43701,-50.79989,12.654347
4.000484,5.437039,-50.800061,12.651955
4.07322,5.437068,-50.800231,12.649562
4.145957,5.437097,-50.800402,12.647169
4.218693,5.437126,-50.800572,12.644776
4.291429,5.437154,-50.800743,12.642383
4.364165,5.437183,-50.800912,12.63999
4.436901,5.437212,-50.801082,12.637597
4.509637,5.43724,-50.801253,12.635204
4.582373,5.437269,-50.801423,12.632811
4.655109,5.437297,-50.801593,12.630418
4.727845,5.437326,-50.801764,12.628025
4.800581,5.437354,-50.801934,12.625632
4.873317,5.437383,-50.802105,12.62324
4.946053,5.437411,-50.802274,12.620847
5.01879,5.437439,-50.802445,12.618454
5.091526,5.437467,-50.802615,12.616061
5.164262,5.437495,-50.802785,12.613668
5.236998,5.437524,-50.802955,12.611275
5.309734,5.437552,-50.803125,12.608882
5.38247,5.43758,-50.803296,12.606489
5.455206,5.437608,-50.803466,12.604096
5.527942,5.437636,-50.803636,12.601703
5.600678,5.437664,-50.803807,12.59931
5.673414,5.437692,-50.803977,12.596917
5.74615,5.43772,-50.804147,12.594524
5.818886,5.437747,-50.804317,12.592132
5.891623,5.437775,-50.804488,12.589739
5.964359,5.437803,-50.804659,12.587346
6.037095,5.437831,-50.804828,12.584953
6.109831,5.437858,-50.804998,12.58256
6.182567,5.437886,-50.805168,12.580167
6.255303,5.437913,-50.80534,12.577774
6.328039,5.437941,-50.805509,12.575381
6.400775,5.437968,-50.80568,12.572988
6.473511,5.437996,-50.805849,12.570595
6.546247,5.438023,-50.806019,12.568202
6.618983,5.438051,-50.80619,12.565809
6.691719,5.438078,-50.80636,12.563416
6.764455,5.438105,-50.80653,12.561023
6.837192,5.438132,-50.806701,12.558631
6.909928,5.43816,-50.80687,12.556238
6.982664,5.438187,-50.807041,12.553845
7.0554,5.438214,-50.80721,12.551452
7.128136,5.438241,-50.807381,12.549059
7.200872,5.438268,-50.807551,12.546666
7.273608,5.438295,-50.807721,12.544273
7.346344,5.438322,-50.807891,12.54188
7.41908,5.438348,-50.808062,12.539487
7.491816,5.438375,-50.808232,12.537094
7.564552,5.438402,-50.808402,12.534701
7.637288,5.438429,-50.808572,12.532308
7.710025,5.438455,-50.808742,12.529915
7.782761,5.438482,-50.808912,12.527523
7.855497,5.438509,-50.809083,12.52513
7.928233,5.438535,-50.809253,12.522737
8.000969,5.438562,-50.809423,12.520344
8.073705,5.438588,-50.809594,12.517951
8.146441,5.438615,-50.809764,12.515558
8.219177,5.438641,-50.809933,12.513165
8.291913,5.438667,-50.810103,12.510772
8.364649,5.438694,-50.810273,12.508379
8.437385,5.43872,-50.810443,12.505986
8.510121,5.438746,-50.810613,12.503593
8.582857,5.438772,-50.810784,12.5012
8.655594,5.438798,-50.810953,12.498807
8.72833,5.438824,-50.811125,12.496415
8.801066,5.43885,-50.811294,12.494022
8.873802,5.438876,-50.811464,12.491629
8.946538,5.438902,-50.811634,12.489236
9.019274,5.438929,-50.811804,12.486843
9.09201,5.438954,-50.811975,12.48445
9.164746,5.43898,-50.812144,12.482057
9.237482,5.439006,-50.812314,12.479664
9.310218,5.439032,-50.812484,12.477271
9.382954,5.439057,-50.812654,12.474878
9.45569,5.439083,-50.812825,12.472485
9.528427,5.439109,-50.812995,12.470092
9.601163,5.439134,-50.813166,12.467699
9.673899,5.43916,-50.813335,12.465306
9.746635,5.439185,-50.813505,12.462914
9.819371,5.439211,-50.813675,12.460521
9.892107,5.439236,-50.813845,12.458128
9.964843,5.439261,-50.814015,12.455735
10.037579,5.439287,-50.814186,12.453342
10.110315,5.439312,-50.814355,12.450949
10.183051,5.439337,-50.814525,12.448556
10.255787,5.439363,-50.814695,12.446163
10.328523,5.439388,-50.814865,12.44377
10.401259,5.439413,-50.815035,12.441377
10.473996,5.439438,-50.815205,12.438984
10.546732,5.439463,-50.815375,12.436591
10.619468,5.439488,-50.815545,12.434198
10.692204,5.439512,-50.815715,12.431805
10.76494,5.439538,-50.815885,12.429413
10.837676,5.439562,-50.816055,12.42702
10.910412,5.439587,-50.816225,12.424627
10.983148,5.439612,-50.816395,12.422234
11.055884,5.439637,-50.816565,12.419841
11.12862,5.439661,-50.816735,12.417448
11.201356,5.439686,-50.816905,12.415055
11.274092,5.43971,-50.817075,12.412662
11.346829,5.439735,-50.817245,12.410269
11.419565,5.43976,-50.817416,12.407876
11.492301,5.439784,-50.817585,12.405483
11.565037,5.439808,-50.817755,12.40309
11.637773,5.439833,-50.817926,12.400697
11.710509,5.439857,-50.818095,12.398304
11.783245,5.439881,-50.818265,12.395912
11.855981,5.439906,-50.818435,12.393519
11.928717,5.43993,-50.818605,12.391126
12.001453,5.439954,-50.818775,12.388733
12.074189,5.439978,-50.818945,12.38634
12.146925,5.440002,-50.819115,12.383947
