Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_1,0,-50.790689,12.783565,22.769915,19.415828,-869.130841,21.861656,6.203043,41.635567,29.391474,4.470284,5.435387
D_1_8_1,0.072736,-50.790859,12.781172,23.841166,19.591473,-865.960816,21.86451,6.713041,40.659136,28.786657,5.436132,5.435418
D_1_8_1,0.145472,-50.79103,12.778779,24.799177,19.654541,-861.586627,21.86736,7.295601,39.208163,28.697059,4.876019,5.435449
D_1_8_1,0.218208,-50.791201,12.776386,20.438562,19.531795,-859.516586,21.870205,9.601103,39.335587,30.624747,3.23387,5.43548
D_1_8_1,0.290944,-50.791372,12.773993,25.79416,19.408219,-862.142743,21.873047,9.711474,33.849397,30.644968,3.866969,5.435511
D_1_8_1,0.36368,-50.791541,12.7716,27.854128,19.364047,-868.266604,21.875884,9.797927,31.71107,30.636875,5.571353,5.435542
D_1_8_1,0.436416,-50.791712,12.769207,22.815697,19.314434,-875.142824,21.878716,11.653894,33.4214,32.109012,7.047968,5.435573
D_1_8_1,0.509153,-50.791883,12.766815,24.80352,19.263851,-883.750313,21.881545,12.280186,30.636915,32.279382,8.354239,5.435604
D_1_8_1,0.581889,-50.792053,12.764422,31.597743,19.274519,-894.350143,21.884369,8.708609,29.478394,30.215253,8.014353,5.435635
D_1_8_1,0.654625,-50.792223,12.762029,24.614754,19.189055,-902.663254,21.887189,10.103149,33.397291,31.884807,8.436429,5.435666
D_1_8_1,0.727361,-50.792394,12.759636,30.331316,19.013872,-914.226933,21.890005,8.444133,29.845914,31.378637,11.158833,5.435697
D_1_8_1,0.800097,-50.792565,12.757243,24.934216,19.239288,-930.797146,21.892816,10.941417,32.130908,31.99346,9.872095,5.435728
D_1_8_1,0.872833,-50.792736,12.75485,25.156551,19.43662,-940.927056,21.895624,9.524421,34.883476,30.435552,5.202383,5.435758
D_1_8_1,0.945569,-50.792905,12.752457,26.329336,19.503522,-944.601954,21.898378,7.091666,37.495652,29.083345,2.335844,5.435789
D_1_8_1,1.018305,-50.793076,12.750064,24.901172,19.403794,-946.142858,21.89874,7.315061,38.025174,29.758592,1.251183,5.435819
D_1_8_1,1.091041,-50.793246,12.747671,27.260892,19.186566,-947.645489,21.895869,7.328365,34.897909,30.512834,1.094746,5.43585
D_1_8_1,1.163777,-50.793416,12.745278,28.027977,19.152739,-948.943043,21.892998,7.019414,34.532209,30.420399,0.535052,5.435881
D_1_8_1,1.236513,-50.793587,12.742885,27.244312,19.271038,-948.785586,21.890126,7.021702,35.95111,29.782877,0.743199,5.435911
D_1_8_1,1.309249,-50.793757,12.740492,28.002882,19.241103,-949.21646,21.887255,7.030347,35.018006,29.948765,1.085098,5.435942
D_1_8_1,1.381986,-50.793928,12.7381,27.742775,19.154686,-950.197482,21.884384,6.968869,34.963031,30.325327,0.731109,5.435972
D_1_8_1,1.454722,-50.794098,12.735707,23.558417,18.979525,-950.742311,21.881513,6.862388,38.228215,31.350983,0.053324,5.436003
D_1_8_1,1.527458,-50.794269,12.733314,31.291552,18.678542,-949.947894,21.87864,6.120625,30.851344,31.73648,0.59596,5.436033
D_1_8_1,1.600194,-50.79444,12.730921,35.239467,18.652499,-949.190894,21.875768,4.235264,29.809383,30.715887,0.23551,5.436063
D_1_8_1,1.67293,-50.794609,12.728528,28.767165,18.699633,-950.118652,21.872897,5.216067,34.685305,31.331465,0.734176,5.436094
D_1_8_1,1.745666,-50.794781,12.726135,30.531238,18.511085,-951.382988,21.870026,4.449108,33.503007,31.516647,3.613489,5.436124
D_1_8_1,1.818402,-50.79495,12.723742,30.447854,18.781392,-959.115922,21.867154,6.115211,32.146156,31.290778,7.494601,5.436154
D_1_8_1,1.891138,-50.795121,12.721349,20.38964,19.689495,-969.677343,21.864283,7.502638,43.082359,29.025364,5.768613,5.436184
D_1_8_1,1.963874,-50.795291,12.718956,19.209147,19.807751,-964.516168,21.861412,7.197904,45.219988,28.37296,7.709967,5.436214
D_1_8_1,2.03661,-50.795461,12.716563,26.243371,18.830713,-951.668284,21.85854,6.953111,34.964839,31.838678,6.183566,5.436244
D_1_8_1,2.109346,-50.795632,12.71417,28.871206,18.305472,-948.604186,21.855667,7.99155,28.876136,34.261109,1.787541,5.436274
D_1_8_1,2.182082,-50.795802,12.711777,28.375483,18.593827,-949.971211,21.852796,8.448673,29.756273,33.419572,0.990734,5.436304
D_1_8_1,2.254818,-50.795972,12.709385,31.983404,18.926942,-951.304418,21.849925,6.970149,30.055495,30.990952,1.983086,5.436334
D_1_8_1,2.327555,-50.796143,12.706992,37.751614,19.371904,-955.80869,21.847054,4.965805,29.583241,27.69934,3.29896,5.436364
D_1_8_1,2.400291,-50.796313,12.704599,30.323789,19.836044,-960.057241,21.844182,6.052132,36.73401,26.890069,1.529965,5.436394
D_1_8_1,2.473027,-50.796484,12.702206,21.74296,20.001903,-957.10263,21.841311,6.96033,43.868106,27.428604,3.790621,5.436424
D_1_8_1,2.545763,-50.796655,12.699813,25.653191,19.800672,-949.298682,21.83844,7.189598,39.183525,27.973686,4.197293,5.436453
D_1_8_1,2.618499,-50.796824,12.69742,29.279271,19.637032,-944.498481,21.835568,7.169944,35.249824,28.300962,1.648817,5.436483
D_1_8_1,2.691235,-50.796996,12.695027,32.147338,19.492159,-943.716095,21.832695,9.215902,29.071155,29.565606,0.869757,5.436513
D_1_8_1,2.763971,-50.797165,12.692634,28.941978,19.505238,-945.595936,21.829824,12.288467,27.775158,30.9944,0.270846,5.436542
D_1_8_1,2.836707,-50.797335,12.690241,37.356579,19.465517,-944.325606,21.826953,7.06707,27.282522,28.293832,1.687303,5.436572
D_1_8_1,2.909443,-50.797506,12.687848,37.452244,19.35339,-941.909629,21.824082,3.94734,31.081765,27.518652,2.521707,5.436602
D_1_8_1,2.982179,-50.797677,12.685455,29.958324,19.449658,-938.705974,21.82121,6.440505,34.850484,28.750686,4.412684,5.436631
D_1_8_1,3.054915,-50.797846,12.683062,32.184459,19.506752,-932.203464,21.818339,5.905442,33.832448,28.077651,6.338546,5.43666
D_1_8_1,3.127651,-50.798017,12.68067,32.469828,19.456961,-923.604953,21.815468,5.233137,34.350969,27.946065,8.915764,5.43669
D_1_8_1,3.200388,-50.798187,12.678277,27.771908,19.269575,-909.172496,21.812596,6.986412,35.353298,29.888381,11.675306,5.436719
D_1_8_1,3.273124,-50.798358,12.675884,27.60902,18.993108,-893.319367,21.809723,6.853259,34.522614,31.015106,11.481449,5.436748
