position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
0,58.173335,-8.922583,7.977628,8.739943,-1723.696452,8.489407,3.042846,15.3149,73.664629,10.823576,0.368553
0.261408,58.18206,-8.922452,7.906242,8.668959,-1700.11861,8.487105,2.674847,15.591733,73.82718,11.030294,0.366927
0.522817,58.190786,-8.922321,8.72388,8.354161,-1665.934318,8.484802,2.547898,13.783749,74.944473,11.151444,0.365302
0.784225,58.199511,-8.92219,9.457324,8.459632,-1629.312473,8.482497,2.55472,13.535156,74.4528,10.252141,0.363677
1.045634,58.208236,-8.922059,11.105846,8.558708,-1597.039751,8.48019,2.607859,12.349018,73.937277,8.443036,0.362052
1.307042,58.216961,-8.921927,10.98699,8.639774,-1570.551837,8.47788,2.702184,12.675827,73.634998,6.359757,0.360428
1.568451,58.225687,-8.921795,9.629559,8.868349,-1550.235203,8.475569,2.704895,14.778196,72.887354,5.582508,0.358804
1.829859,58.234412,-8.921663,10.774026,8.738901,-1526.057159,8.473256,2.694916,13.256837,73.274223,5.592001,0.357181
2.091268,58.243137,-8.921531,9.341459,8.599393,-1499.959452,8.470941,2.966115,13.613204,74.079223,4.480233,0.355558
2.352676,58.251862,-8.921399,8.225045,8.450743,-1484.203842,8.466107,3.107053,13.828377,74.839527,3.162068,0.353936
2.614085,58.260588,-8.921266,8.49985,8.689327,-1475.107566,8.460298,3.047604,14.708235,73.744313,3.342253,0.352313
2.875493,58.269313,-8.921134,7.722352,8.961497,-1470.579763,8.454488,3.115,16.379798,72.782851,4.209513,0.350692
3.136901,58.278038,-8.921001,6.925023,8.855411,-1467.924688,8.448675,2.879602,17.058094,73.137279,4.697968,0.349071
3.39831,58.286763,-8.920867,7.30239,8.992114,-1462.023405,8.44286,2.638556,17.619707,72.439347,5.030126,0.34745
3.659718,58.295489,-8.920734,7.841701,8.868495,-1450.407428,8.437044,2.686255,16.632113,72.839938,5.428307,0.345829
3.921127,58.304214,-8.9206,7.571072,8.462293,-1434.162985,8.431225,2.564132,15.313525,74.55127,6.301981,0.34421
4.182535,58.312939,-8.920467,9.371074,8.458074,-1402.682464,8.425404,2.814779,13.356056,74.45809,7.219037,0.34259
4.443944,58.321664,-8.920332,8.894172,8.66811,-1375.650481,8.419582,2.710125,15.086753,73.308949,8.638533,0.340971
4.705352,58.330389,-8.920198,8.913196,8.82339,-1348.901431,8.413757,2.779135,15.403727,72.903943,10.014155,0.339352
4.966761,58.339114,-8.920064,9.733379,9.033323,-1316.704001,8.407931,2.563038,15.723272,71.980311,9.93745,0.337734
5.228169,58.34784,-8.919929,9.950491,9.236164,-1285.570311,8.402102,2.553718,16.28037,71.215418,9.061937,0.336116
5.489578,58.356565,-8.919796,8.636767,9.147724,-1253.281507,8.396272,2.4883,17.178982,71.69595,8.856796,0.334499
5.750986,58.36529,-8.919659,8.306849,8.906444,-1217.815011,8.39044,2.387965,16.6685,72.636687,9.726772,0.332882
6.012394,58.374015,-8.919524,9.006536,9.051745,-1178.96679,8.384605,2.131942,17.024812,71.836713,10.650512,0.331265
6.273803,58.38274,-8.919389,9.456158,8.751401,-1140.086131,8.378769,2.22775,15.370914,72.945174,10.921672,0.329649
6.535211,58.391465,-8.919253,10.02531,8.787922,-1100.694481,8.37293,2.413034,15.131384,72.430277,9.917497,0.328034
6.79662,58.400191,-8.919117,10.077579,8.887083,-1080.04081,8.36709,1.952412,16.679932,71.29008,7.947425,0.326418
7.058028,58.408916,-8.918981,8.76556,8.810649,-1068.666549,8.361248,2.732176,15.834457,72.667809,5.611449,0.324804
7.319437,58.417641,-8.918845,9.343354,9.07606,-1065.43238,8.355404,2.564095,16.477152,71.615403,3.676075,0.323189
7.580845,58.426366,-8.91871,9.684438,8.850741,-1060.332882,8.349557,2.506437,15.432471,72.376656,2.408542,0.321575
7.842254,58.435091,-8.918572,10.490833,9.400452,-1056.50838,8.343709,2.408866,18.058482,69.041818,1.708945,0.319962
8.103662,58.443816,-8.918435,10.208459,9.371869,-1056.402477,8.337858,2.154949,17.661958,69.974634,1.462663,0.318349
8.365071,58.452541,-8.918298,10.258083,9.262702,-1052.57513,8.332006,2.135342,16.910586,70.695992,1.3986,0.316736
8.626479,58.461266,-8.918161,8.755642,9.917448,-1058.98011,8.326152,1.146546,22.178287,67.919525,1.852243,0.315124
8.887887,58.469991,-8.918023,8.653608,9.327907,-1065.503405,8.320295,2.213711,18.441065,70.691616,2.303942,0.313513
9.149296,58.478716,-8.917885,7.282223,9.241016,-1063.621801,8.314436,2.918945,18.294507,71.504324,2.409565,0.311901
9.410704,58.487441,-8.917748,10.549862,9.153523,-1056.523701,8.308576,3.469084,14.165821,71.815235,3.162815,0.310291
9.672113,58.496167,-8.91761,12.959837,9.254827,-1037.060736,8.302713,2.943429,13.089515,71.007219,2.821497,0.30868
9.933521,58.504892,-8.917471,12.80995,9.54516,-1027.492616,8.296849,2.670196,14.714465,69.805385,1.937416,0.30707
10.19493,58.513617,-8.917333,12.655319,9.479606,-1025.070664,8.290982,2.456469,15.080334,69.807877,2.499014,0.305461
10.456338,58.522342,-8.917194,13.397795,9.437315,-1013.287811,8.285113,2.025437,14.899762,69.677006,3.161342,0.303852
10.717747,58.531067,-8.917055,12.626581,8.89757,-999.878439,8.279242,2.700919,12.986422,71.68608,2.82531,0.302243
10.979155,58.539792,-8.916916,11.022848,8.956357,-999.939108,8.27337,2.808327,14.170497,71.998328,4.747186,0.300635
11.240564,58.548517,-8.916777,8.98395,8.915649,-1011.065171,8.267495,3.882142,13.919549,73.21436,6.379648,0.299027
11.501972,58.557242,-8.916637,9.096776,9.151373,-1013.710986,8.261618,4.177222,14.292464,72.433543,7.038473,0.29742
11.76338,58.565967,-8.916498,9.456485,9.181266,-1006.522385,8.255739,4.25852,14.049442,72.235555,6.355329,0.295813
12.024789,58.574692,-8.916358,10.155159,9.17336,-993.108485,8.249857,4.256987,14.09967,71.488183,3.226977,0.294207
12.286197,58.583417,-8.916218,10.685613,9.343034,-985.092778,8.243974,4.287026,16.794851,68.232509,1.556255,0.292601
12.547606,58.592142,-8.916077,11.104286,9.414434,-994.096927,8.238089,4.824037,18.142555,65.929124,5.183967,0.290996
12.809014,58.600867,-8.915937,10.091082,9.486567,-1015.829426,8.232201,4.869433,19.544645,65.494844,8.315545,0.289391
13.070423,58.609592,-8.915796,9.680945,9.291046,-1050.897719,8.226312,4.258911,18.687037,67.373104,9.756638,0.287787
13.331831,58.618317,-8.915655,8.068329,9.285907,-1092.25736,8.22042,4.139243,18.783771,69.008659,9.004439,0.286182
13.59324,58.627042,-8.915514,8.114449,9.123976,-1136.066026,8.214526,4.401862,20.003062,67.480627,5.685481,0.284579
13.854648,58.635767,-8.915373,8.46633,8.869945,-1153.108531,8.208631,3.885807,18.197051,69.450813,2.351593,0.282976
14.116057,58.644492,-8.915231,9.079841,9.121698,-1155.813406,8.202733,3.840614,18.809499,68.270047,1.634121,0.281373
14.377465,58.653216,-8.915089,9.448707,9.093339,-1151.530612,8.196832,3.80974,18.090673,68.65088,2.932126,0.279771
14.638873,58.661941,-8.914947,8.401793,8.979365,-1138.220942,8.19093,3.757765,16.515607,71.324833,5.851638,0.278169
14.900282,58.670666,-8.914805,8.383227,8.82783,-1108.966908,8.185026,4.059093,15.580505,71.977175,9.554249,0.276568
15.16169,58.679391,-8.914663,8.957315,9.042076,-1059.09721,8.179119,4.427043,18.036484,68.579161,9.22348,0.274967
15.423099,58.688116,-8.91452,7.858353,9.102873,-1020.414952,8.173211,4.698802,17.755084,69.68776,6.29054,0.273367
15.684507,58.696841,-8.914378,7.107204,8.900875,-998.202408,8.1673,4.055662,17.55881,71.278323,6.618846,0.271767
15.945916,58.705566,-8.914235,7.724776,8.787277,-964.15359,8.161387,3.95315,16.670343,71.651731,9.335863,0.270168
16.207324,58.714291,-8.914091,7.728878,8.851404,-917.612288,8.155471,4.430891,16.56829,71.271943,11.338416,0.268569
16.468733,58.723016,-8.913948,8.599809,8.839614,-862.668104,8.149555,3.853086,17.221739,70.325369,14.565767,0.26697
16.730141,58.731741,-8.913804,10.903379,8.586303,-791.183253,8.143635,2.801098,17.124414,69.171111,19.699842,0.265372
16.99155,58.740466,-8.913661,12.702233,8.392631,-690.075477,8.137714,2.004663,18.07923,67.213877,22.263729,0.263775
17.252958,58.74919,-8.913517,13.158518,8.485556,-583.399189,8.13178,1.591398,20.885573,64.364513,21.974955,0.262178
17.514366,58.757915,-8.913372,12.940475,8.655362,-478.918468,8.125836,1.582897,21.306467,64.17016,19.652796,0.260581
17.775775,58.76664,-8.913228,13.156902,8.811186,-388.049572,8.119895,1.763013,22.311383,62.768698,13.821536,0.258985
18.037183,58.775365,-8.913084,10.329371,8.336551,-335.605969,8.113959,3.404406,19.339551,66.926673,6.812528,0.25739
18.298592,58.78409,-8.912939,8.759343,8.014868,-331.555487,8.108027,3.687139,17.209305,70.344214,5.954148,0.255794
18.56,58.792815,-8.912794,9.481517,7.894033,-351.848012,8.102097,2.564719,18.612164,69.341598,12.024919,0.2542
18.821409,58.801539,-8.912649,8.098785,8.181448,-411.282032,8.096173,2.752457,22.485042,66.663714,18.788748,0.252606
19.082817,58.810264,-8.912503,7.891441,8.124761,-506.928544,8.090251,2.228436,23.974016,65.906105,22.014318,0.251012
19.344226,58.818989,-8.912358,8.403852,7.95097,-614.532414,8.084334,1.451076,23.473775,66.671298,22.519926,0.249419
19.605634,58.827714,-8.912212,8.268165,7.816697,-722.046794,8.078421,1.768105,21.659798,68.303935,21.716878,0.247826
19.867043,58.836439,-8.912066,7.935486,7.98021,-825.770312,8.072512,1.812516,23.016385,67.235614,18.805752,0.246234
20.128451,58.845163,-8.911919,6.923031,8.25882,-912.120768,8.066607,3.030454,19.903513,70.143,13.701222,0.244642
20.389859,58.853888,-8.911773,9.973515,8.058853,-951.638203,8.060705,2.133491,16.797322,71.095673,11.429659,0.243051
20.651268,58.862613,-8.911626,9.717236,8.092877,-975.118792,8.054808,3.185896,16.739195,70.357673,12.198796,0.24146
20.912676,58.871338,-8.91148,7.864352,8.229495,-1030.354764,8.048915,3.753409,17.549251,70.832989,13.779792,0.239869
21.174085,58.880063,-8.911333,6.796338,8.113147,-1101.719687,8.043026,3.83299,15.616102,73.75457,10.367069,0.23828
21.435493,58.888787,-8.911185,9.095394,7.844474,-1150.429,8.03714,3.432769,11.780017,75.691818,4.661935,0.23669
21.696902,58.897512,-8.911038,11.782407,8.190884,-1150.039339,8.031259,4.145091,11.504679,72.567825,7.796332,0.235101
21.95831,58.906237,-8.91089,13.641312,8.744402,-1113.322634,8.025382,5.108307,14.900266,66.350116,7.511897,0.233513
22.219719,58.914961,-8.910742,12.784319,8.138551,-1088.295484,8.019508,3.824984,14.805155,68.585541,4.394209,0.231925
22.481127,58.923686,-8.910594,11.273096,7.807732,-1110.921039,8.013639,2.87898,15.967014,69.880909,10.720277,0.230338
22.742536,58.932411,-8.910446,10.628521,7.627841,-1173.232784,8.007773,3.06553,16.196148,70.109799,14.895432,0.228751
23.003944,58.941136,-8.910298,10.035477,7.673627,-1239.010797,8.001913,3.381185,17.006638,69.576698,13.99616,0.227165
23.265352,58.94986,-8.910149,10.792859,7.719196,-1294.34098,7.996055,2.842708,15.601584,70.762846,10.664897,0.225579
23.526761,58.958585,-8.91,10.806685,7.680004,-1334.065789,7.990202,2.6821,15.066637,71.444577,9.528343,0.223993
23.788169,58.96731,-8.909851,9.746785,7.537347,-1377.290643,7.984353,3.004467,16.21692,71.031828,11.303561,0.222408
24.049578,58.976034,-8.909702,9.183334,7.463715,-1431.185263,7.978508,3.718978,17.73561,69.362082,14.006424,0.220824
