position,FeO Abundance,lon,lat
39.472677,7.862941,59.490778,-8.900535
39.734085,8.358953,59.499502,-8.900374
39.995494,7.508332,59.508226,-8.900212
40.256902,6.912933,59.51695,-8.90005
40.51831,7.429234,59.525675,-8.899888
40.779719,7.336889,59.534399,-8.899726
41.041127,7.435948,59.543123,-8.899564
41.302536,8.140206,59.551847,-8.899401
41.563944,8.875105,59.560571,-8.899238
41.825353,8.241517,59.569296,-8.899075
42.086761,7.495311,59.57802,-8.898912
42.34817,7.797896,59.586744,-8.898748
42.609578,7.82183,59.595468,-8.898584
42.870987,7.490515,59.604192,-8.898421
43.132395,7.444602,59.612916,-8.898256
43.393803,7.905001,59.62164,-8.898092
43.655212,7.703805,59.630365,-8.897928
43.91662,7.198496,59.639089,-8.897763
44.178029,7.344032,59.647813,-8.897598
44.439437,7.554345,59.656537,-8.897433
44.700846,7.183318,59.665261,-8.897268
44.962254,6.818696,59.673985,-8.897102
45.223663,6.849714,59.682709,-8.896936
45.485071,6.912966,59.691433,-8.89677
45.74648,7.146016,59.700157,-8.896604
46.007888,7.702477,59.708881,-8.896438
46.269296,7.953766,59.717605,-8.896271
46.530705,7.866698,59.726329,-8.896105
46.792113,7.239725,59.735053,-8.895938
47.053522,6.683286,59.743777,-8.895771
47.31493,7.334491,59.752501,-8.895603
47.576339,8.14877,59.761225,-8.895436
47.837747,8.303014,59.769949,-8.895268
48.099156,7.764909,59.778673,-8.8951
48.360564,7.362839,59.787397,-8.894932
48.621973,7.243446,59.796121,-8.894764
48.883381,7.456088,59.804845,-8.894595
49.144789,7.406291,59.813569,-8.894426
49.406198,7.214825,59.822293,-8.894257
49.667606,7.293328,59.831017,-8.894088
49.929015,7.249493,59.839741,-8.893919
50.190423,6.569287,59.848465,-8.893749
50.451832,6.235809,59.857189,-8.893579
50.71324,6.592401,59.865913,-8.893409
50.974649,7.345119,59.874637,-8.893239
51.236057,7.828017,59.883361,-8.893069
51.497466,7.905368,59.892085,-8.892898
51.758874,7.88071,59.900808,-8.892727
52.020282,7.835465,59.909532,-8.892556
52.281691,7.906708,59.918256,-8.892385
52.543099,7.581364,59.92698,-8.892214
52.804508,6.983276,59.935704,-8.892042
53.065916,6.609324,59.944428,-8.89187
53.327325,6.626468,59.953152,-8.891698
53.588733,6.735186,59.961875,-8.891526
53.850142,6.659168,59.970599,-8.891354
54.11155,6.603879,59.979323,-8.891181
54.372959,6.637672,59.988047,-8.891008
54.634367,6.552304,59.996771,-8.890835
54.895775,6.548157,60.005494,-8.890662
55.157184,6.494231,60.014218,-8.890489
55.418592,6.796331,60.022942,-8.890315
55.680001,7.183794,60.031666,-8.890141
55.941409,7.267836,60.040389,-8.889967
56.202818,7.278428,60.049113,-8.889793
56.464226,7.397058,60.057837,-8.889618
56.725635,7.446926,60.06656,-8.889444
56.987043,7.419903,60.075284,-8.889269
57.248452,7.314913,60.084008,-8.889094
57.50986,7.168436,60.092732,-8.888919
57.771268,7.276439,60.101455,-8.888743
58.032677,7.380668,60.110179,-8.888568
58.294085,7.357282,60.118903,-8.888392
58.555494,7.23269,60.127626,-8.888216
58.816902,7.231929,60.13635,-8.888039
59.078311,7.273754,60.145074,-8.887863
59.339719,7.265591,60.153797,-8.887686
59.601128,7.293045,60.162521,-8.887509
59.862536,7.417349,60.171244,-8.887332
60.123945,7.519976,60.179968,-8.887155
60.385353,7.454038,60.188692,-8.886977
60.646761,7.300203,60.197415,-8.8868
60.90817,7.283185,60.206139,-8.886622
61.169578,7.287171,60.214862,-8.886444
61.430987,7.465809,60.223586,-8.886265
61.692395,7.683705,60.23231,-8.886087
61.953804,7.930201,60.241033,-8.885908
62.215212,7.521765,60.249757,-8.885729
62.476621,7.188489,60.25848,-8.88555
62.738029,7.488461,60.267204,-8.885371
62.999438,7.836392,60.275927,-8.885191
63.260846,7.604959,60.284651,-8.885013
63.522254,7.268153,60.293374,-8.884832
63.783663,7.691999,60.302098,-8.884652
64.045071,7.453889,60.310821,-8.884471
64.30648,7.712425,60.319545,-8.884291
64.567888,7.760209,60.328268,-8.88411
64.829297,8.275412,60.336992,-8.883929
65.090705,7.414664,60.345715,-8.883748
65.352114,7.272973,60.354438,-8.883567
65.613522,7.528898,60.363162,-8.883385
65.874931,7.453397,60.371885,-8.883205
66.136339,7.311738,60.380609,-8.883021
66.397747,6.9768,60.389332,-8.882839
66.659156,7.004161,60.398055,-8.882657
66.920564,7.370363,60.406779,-8.882474
67.181973,7.293236,60.415502,-8.882292
67.443381,7.310139,60.424226,-8.882109
67.70479,7.194617,60.432949,-8.881926
67.966198,7.538628,60.441672,-8.881742
68.227607,7.233889,60.450396,-8.881559
68.489015,7.232532,60.459119,-8.881375
68.750424,7.390279,60.467842,-8.881191
69.011832,7.552821,60.476566,-8.881007
69.27324,7.47202,60.485289,-8.880822
69.534649,6.53513,60.494012,-8.880638
69.796057,5.776998,60.502736,-8.880453
70.057466,6.286951,60.511459,-8.880268
70.318874,7.049735,60.520182,-8.880083
70.580283,6.973505,60.528905,-8.879897
70.841691,6.507805,60.537629,-8.879712
71.1031,6.752062,60.546352,-8.879526
71.364508,6.579948,60.555075,-8.87934
71.625917,6.721933,60.563798,-8.879154
71.887325,6.807649,60.572522,-8.878967
72.148733,7.142304,60.581245,-8.878781
72.410142,7.313865,60.589968,-8.878594
72.67155,6.867794,60.598691,-8.878407
72.932959,6.520525,60.607414,-8.87822
73.194367,6.232535,60.616137,-8.878032
73.455776,6.213537,60.624861,-8.877845
73.717184,6.444612,60.633584,-8.877658
73.978593,6.95955,60.642307,-8.877469
74.240001,6.721507,60.65103,-8.877281
74.50141,6.514234,60.659753,-8.877092
74.762818,6.410398,60.668476,-8.876904
75.024226,6.100334,60.677199,-8.876715
75.285635,6.085166,60.685923,-8.876526
75.547043,6.138113,60.694646,-8.876337
75.808452,5.84531,60.703369,-8.876147
76.06986,5.513242,60.712092,-8.875957
76.331269,5.385417,60.720815,-8.875768
76.592677,5.217147,60.729538,-8.875578
76.854086,5.12375,60.738261,-8.875387
77.115494,5.095188,60.746984,-8.875197
77.376903,5.118948,60.755707,-8.875006
77.638311,5.800485,60.76443,-8.874815
77.899719,6.421942,60.773153,-8.874624
78.161128,6.299618,60.781876,-8.874433
78.422536,6.288301,60.790599,-8.874242
78.683945,6.343863,60.799322,-8.87405
78.945353,6.426747,60.808045,-8.873858
79.206762,6.486993,60.816768,-8.873666
79.46817,6.594172,60.825491,-8.873474
79.729579,6.476692,60.834214,-8.873281
79.990987,6.660039,60.842937,-8.873089
80.252396,6.34056,60.85166,-8.872896
80.513804,6.084235,60.860383,-8.872703
80.775212,6.101738,60.869106,-8.872509
81.036621,6.037903,60.877829,-8.872316
81.298029,5.815078,60.886551,-8.872123
81.559438,5.689155,60.895274,-8.871928
81.820846,5.71007,60.903997,-8.871734
82.082255,5.693425,60.91272,-8.87154
82.343663,5.81721,60.921443,-8.871345
82.605072,5.954434,60.930166,-8.871151
82.86648,5.731254,60.938889,-8.870956
83.127889,5.61394,60.947611,-8.870761
83.389297,5.561946,60.956334,-8.870565
83.650705,5.557129,60.965057,-8.87037
83.912114,5.797591,60.97378,-8.870174
84.173522,5.988017,60.982503,-8.869978
84.434931,6.073068,60.991225,-8.869782
84.696339,5.965236,60.999948,-8.869586
84.957748,6.15381,61.008671,-8.869389
85.219156,6.210508,61.017394,-8.869192
85.480565,6.028764,61.026116,-8.868996
85.741973,5.731245,61.034839,-8.868798
86.003382,5.49149,61.043562,-8.868601
86.26479,5.366087,61.052285,-8.868404
86.526198,5.421116,61.061007,-8.868206
86.787607,5.408643,61.06973,-8.868008
87.049015,5.648318,61.078453,-8.86781
87.310424,5.620895,61.087175,-8.867611
87.571832,5.579777,61.095898,-8.867413
87.833241,5.585722,61.104621,-8.867214
88.094649,5.843753,61.113343,-8.867015
88.356058,6.03042,61.122066,-8.866816
88.617466,5.428471,61.130789,-8.866617
88.878875,5.382623,61.139511,-8.866417
89.140283,6.333077,61.148234,-8.866217
89.401691,5.485353,61.156957,-8.866017
89.6631,5.379235,61.165679,-8.865817
89.924508,5.298762,61.174402,-8.865617
90.185917,5.069221,61.183124,-8.865416
90.447325,5.07488,61.191847,-8.865216
90.708734,5.014828,61.200569,-8.865015
90.970142,4.474705,61.209292,-8.864813
91.231551,3.822812,61.218014,-8.864612
91.492959,3.636911,61.226737,-8.86441
91.754368,4.040793,61.23546,-8.864209
92.015776,4.29878,61.244182,-8.864007
92.277184,4.279887,61.252905,-8.863804
92.538593,4.165725,61.261627,-8.863602
92.800001,4.162353,61.270349,-8.863399
93.06141,4.516389,61.279072,-8.863197
93.322818,4.866736,61.287794,-8.862994
93.584227,5.280605,61.296517,-8.862791
93.845635,4.810293,61.305239,-8.862587
94.107044,4.945917,61.313962,-8.862384
94.368452,4.870343,61.322684,-8.86218
94.629861,4.514147,61.331407,-8.861976
94.891269,4.529953,61.340129,-8.861771
95.152677,4.549374,61.348851,-8.861567
95.414086,4.36654,61.357574,-8.861362
95.675494,4.648984,61.366296,-8.861158
95.936903,4.391634,61.375018,-8.860953
96.198311,4.789298,61.383741,-8.860747
96.45972,4.223249,61.392463,-8.860542
96.721128,4.57605,61.401186,-8.860336
96.982537,4.899297,61.409908,-8.860131
97.243945,5.201566,61.41863,-8.859925
97.505354,5.140691,61.427352,-8.859718
97.766762,5.360056,61.436075,-8.859512
98.02817,5.498058,61.444797,-8.859305
98.289579,5.111987,61.453519,-8.859098
98.550987,5.124557,61.462242,-8.858891
98.812396,4.919991,61.470964,-8.858684
99.073804,5.086559,61.479686,-8.858477
99.335213,5.17884,61.488408,-8.858269
99.596621,5.02203,61.497131,-8.858061
99.85803,5.192173,61.505853,-8.857853
100.119438,5.413899,61.514575,-8.857646
100.380847,5.73737,61.523297,-8.857436
100.642255,5.341563,61.532019,-8.857228
100.903663,4.863784,61.540742,-8.857019
101.165072,5.217455,61.549464,-8.85681
101.42648,5.245322,61.558186,-8.856601
101.687889,5.236119,61.566908,-8.856391
101.949297,5.276416,61.57563,-8.856182
102.210706,5.26777,61.584352,-8.855972
102.472114,5.167335,61.593074,-8.855762
102.733523,5.439921,61.601796,-8.855551
102.994931,5.631475,61.610519,-8.855341
103.25634,5.410088,61.619241,-8.85513
103.517748,5.272381,61.627963,-8.854919
103.779156,5.376244,61.636685,-8.854708
104.040565,5.629258,61.645407,-8.854497
104.301973,5.314922,61.654129,-8.854285
104.563382,5.134166,61.662851,-8.854074
104.82479,5.534208,61.671573,-8.853862
105.086199,5.773753,61.680295,-8.85365
105.347607,5.844544,61.689017,-8.853438
105.609016,5.66004,61.697739,-8.853225
105.870424,5.48213,61.706461,-8.853012
106.131833,6.058911,61.715183,-8.852799
106.393241,6.230162,61.723905,-8.852586
106.654649,5.883317,61.732627,-8.852373
106.916058,6.089894,61.741349,-8.85216
107.177466,6.363324,61.750071,-8.851946
107.438875,6.308969,61.758793,-8.851732
107.700283,6.275699,61.767515,-8.851518
107.961692,6.128267,61.776237,-8.851304
108.2231,5.909218,61.784958,-8.851089
108.484509,5.89272,61.79368,-8.850874
108.745917,5.866961,61.802402,-8.850659
109.007326,5.980717,61.811124,-8.850444
109.268734,6.103023,61.819846,-8.850229
109.530142,6.146691,61.828568,-8.850013
109.791551,5.986142,61.83729,-8.849798
110.052959,5.873309,61.846011,-8.849582
