position,Plagioclase Abundance,lon,lat
0,73.664629,58.173335,-8.922583
0.261408,73.82718,58.18206,-8.922452
0.522817,74.944473,58.190786,-8.922321
0.784225,74.4528,58.199511,-8.92219
1.045634,73.937277,58.208236,-8.922059
1.307042,73.634998,58.216961,-8.921927
1.568451,72.887354,58.225687,-8.921795
1.829859,73.274223,58.234412,-8.921663
2.091268,74.079223,58.243137,-8.921531
2.352676,74.839527,58.251862,-8.921399
2.614085,73.744313,58.260588,-8.921266
2.875493,72.782851,58.269313,-8.921134
3.136901,73.137279,58.278038,-8.921001
3.39831,72.439347,58.286763,-8.920867
3.659718,72.839938,58.295489,-8.920734
3.921127,74.55127,58.304214,-8.9206
4.182535,74.45809,58.312939,-8.920467
4.443944,73.308949,58.321664,-8.920332
4.705352,72.903943,58.330389,-8.920198
4.966761,71.980311,58.339114,-8.920064
5.228169,71.215418,58.34784,-8.919929
5.489578,71.69595,58.356565,-8.919796
5.750986,72.636687,58.36529,-8.919659
6.012394,71.836713,58.374015,-8.919524
6.273803,72.945174,58.38274,-8.919389
6.535211,72.430277,58.391465,-8.919253
6.79662,71.29008,58.400191,-8.919117
7.058028,72.667809,58.408916,-8.918981
7.319437,71.615403,58.417641,-8.918845
7.580845,72.376656,58.426366,-8.91871
7.842254,69.041818,58.435091,-8.918572
8.103662,69.974634,58.443816,-8.918435
8.365071,70.695992,58.452541,-8.918298
8.626479,67.919525,58.461266,-8.918161
8.887887,70.691616,58.469991,-8.918023
9.149296,71.504324,58.478716,-8.917885
9.410704,71.815235,58.487441,-8.917748
9.672113,71.007219,58.496167,-8.91761
9.933521,69.805385,58.504892,-8.917471
10.19493,69.807877,58.513617,-8.917333
10.456338,69.677006,58.522342,-8.917194
10.717747,71.68608,58.531067,-8.917055
10.979155,71.998328,58.539792,-8.916916
11.240564,73.21436,58.548517,-8.916777
11.501972,72.433543,58.557242,-8.916637
11.76338,72.235555,58.565967,-8.916498
12.024789,71.488183,58.574692,-8.916358
12.286197,68.232509,58.583417,-8.916218
12.547606,65.929124,58.592142,-8.916077
12.809014,65.494844,58.600867,-8.915937
13.070423,67.373104,58.609592,-8.915796
13.331831,69.008659,58.618317,-8.915655
13.59324,67.480627,58.627042,-8.915514
13.854648,69.450813,58.635767,-8.915373
14.116057,68.270047,58.644492,-8.915231
14.377465,68.65088,58.653216,-8.915089
14.638873,71.324833,58.661941,-8.914947
14.900282,71.977175,58.670666,-8.914805
15.16169,68.579161,58.679391,-8.914663
15.423099,69.68776,58.688116,-8.91452
15.684507,71.278323,58.696841,-8.914378
15.945916,71.651731,58.705566,-8.914235
16.207324,71.271943,58.714291,-8.914091
16.468733,70.325369,58.723016,-8.913948
16.730141,69.171111,58.731741,-8.913804
16.99155,67.213877,58.740466,-8.913661
17.252958,64.364513,58.74919,-8.913517
17.514366,64.17016,58.757915,-8.913372
17.775775,62.768698,58.76664,-8.913228
18.037183,66.926673,58.775365,-8.913084
18.298592,70.344214,58.78409,-8.912939
18.56,69.341598,58.792815,-8.912794
18.821409,66.663714,58.801539,-8.912649
19.082817,65.906105,58.810264,-8.912503
19.344226,66.671298,58.818989,-8.912358
19.605634,68.303935,58.827714,-8.912212
19.867043,67.235614,58.836439,-8.912066
20.128451,70.143,58.845163,-8.911919
20.389859,71.095673,58.853888,-8.911773
20.651268,70.357673,58.862613,-8.911626
20.912676,70.832989,58.871338,-8.91148
21.174085,73.75457,58.880063,-8.911333
21.435493,75.691818,58.888787,-8.911185
21.696902,72.567825,58.897512,-8.911038
21.95831,66.350116,58.906237,-8.91089
22.219719,68.585541,58.914961,-8.910742
22.481127,69.880909,58.923686,-8.910594
22.742536,70.109799,58.932411,-8.910446
23.003944,69.576698,58.941136,-8.910298
23.265352,70.762846,58.94986,-8.910149
23.526761,71.444577,58.958585,-8.91
23.788169,71.031828,58.96731,-8.909851
24.049578,69.362082,58.976034,-8.909702
24.310986,70.864939,58.984759,-8.909552
24.572395,72.758392,58.993484,-8.909403
24.833803,70.124531,59.002208,-8.909253
25.095212,72.943279,59.010933,-8.909103
25.35662,74.323424,59.019658,-8.908952
25.618029,76.784084,59.028382,-8.908802
25.879437,77.305769,59.037107,-8.908651
26.140845,77.221778,59.045832,-8.9085
26.402254,77.314133,59.054556,-8.908349
26.663662,77.285096,59.063281,-8.908198
26.925071,76.954836,59.072005,-8.908046
27.186479,78.351826,59.08073,-8.907895
27.447888,79.56308,59.089455,-8.907743
27.709296,79.834754,59.098179,-8.907591
27.970705,79.810918,59.106904,-8.907438
28.232113,79.857423,59.115628,-8.907286
28.493522,80.773086,59.124353,-8.907133
28.75493,82.324201,59.133077,-8.90698
29.016338,83.559814,59.141802,-8.906828
29.277747,86.44089,59.150527,-8.906674
29.539155,85.908842,59.159251,-8.90652
29.800564,80.883098,59.167976,-8.906367
30.061972,78.389205,59.1767,-8.906213
30.323381,81.364465,59.185425,-8.906058
30.584789,81.880311,59.194149,-8.905904
30.846198,81.52507,59.202874,-8.90575
