position,Orthopyroxene Abundance,lon,lat
0,15.3149,58.173335,-8.922583
0.261408,15.591733,58.18206,-8.922452
0.522817,13.783749,58.190786,-8.922321
0.784225,13.535156,58.199511,-8.92219
1.045634,12.349018,58.208236,-8.922059
1.307042,12.675827,58.216961,-8.921927
1.568451,14.778196,58.225687,-8.921795
1.829859,13.256837,58.234412,-8.921663
2.091268,13.613204,58.243137,-8.921531
2.352676,13.828377,58.251862,-8.921399
2.614085,14.708235,58.260588,-8.921266
2.875493,16.379798,58.269313,-8.921134
3.136901,17.058094,58.278038,-8.921001
3.39831,17.619707,58.286763,-8.920867
3.659718,16.632113,58.295489,-8.920734
3.921127,15.313525,58.304214,-8.9206
4.182535,13.356056,58.312939,-8.920467
4.443944,15.086753,58.321664,-8.920332
4.705352,15.403727,58.330389,-8.920198
4.966761,15.723272,58.339114,-8.920064
5.228169,16.28037,58.34784,-8.919929
5.489578,17.178982,58.356565,-8.919796
5.750986,16.6685,58.36529,-8.919659
6.012394,17.024812,58.374015,-8.919524
6.273803,15.370914,58.38274,-8.919389
6.535211,15.131384,58.391465,-8.919253
6.79662,16.679932,58.400191,-8.919117
7.058028,15.834457,58.408916,-8.918981
7.319437,16.477152,58.417641,-8.918845
7.580845,15.432471,58.426366,-8.91871
7.842254,18.058482,58.435091,-8.918572
8.103662,17.661958,58.443816,-8.918435
8.365071,16.910586,58.452541,-8.918298
8.626479,22.178287,58.461266,-8.918161
8.887887,18.441065,58.469991,-8.918023
9.149296,18.294507,58.478716,-8.917885
9.410704,14.165821,58.487441,-8.917748
9.672113,13.089515,58.496167,-8.91761
9.933521,14.714465,58.504892,-8.917471
10.19493,15.080334,58.513617,-8.917333
10.456338,14.899762,58.522342,-8.917194
10.717747,12.986422,58.531067,-8.917055
10.979155,14.170497,58.539792,-8.916916
11.240564,13.919549,58.548517,-8.916777
11.501972,14.292464,58.557242,-8.916637
11.76338,14.049442,58.565967,-8.916498
12.024789,14.09967,58.574692,-8.916358
12.286197,16.794851,58.583417,-8.916218
12.547606,18.142555,58.592142,-8.916077
12.809014,19.544645,58.600867,-8.915937
13.070423,18.687037,58.609592,-8.915796
13.331831,18.783771,58.618317,-8.915655
13.59324,20.003062,58.627042,-8.915514
13.854648,18.197051,58.635767,-8.915373
14.116057,18.809499,58.644492,-8.915231
14.377465,18.090673,58.653216,-8.915089
14.638873,16.515607,58.661941,-8.914947
14.900282,15.580505,58.670666,-8.914805
15.16169,18.036484,58.679391,-8.914663
15.423099,17.755084,58.688116,-8.91452
15.684507,17.55881,58.696841,-8.914378
15.945916,16.670343,58.705566,-8.914235
16.207324,16.56829,58.714291,-8.914091
16.468733,17.221739,58.723016,-8.913948
16.730141,17.124414,58.731741,-8.913804
16.99155,18.07923,58.740466,-8.913661
17.252958,20.885573,58.74919,-8.913517
17.514366,21.306467,58.757915,-8.913372
17.775775,22.311383,58.76664,-8.913228
18.037183,19.339551,58.775365,-8.913084
18.298592,17.209305,58.78409,-8.912939
18.56,18.612164,58.792815,-8.912794
18.821409,22.485042,58.801539,-8.912649
19.082817,23.974016,58.810264,-8.912503
19.344226,23.473775,58.818989,-8.912358
19.605634,21.659798,58.827714,-8.912212
19.867043,23.016385,58.836439,-8.912066
20.128451,19.903513,58.845163,-8.911919
20.389859,16.797322,58.853888,-8.911773
20.651268,16.739195,58.862613,-8.911626
20.912676,17.549251,58.871338,-8.91148
21.174085,15.616102,58.880063,-8.911333
21.435493,11.780017,58.888787,-8.911185
21.696902,11.504679,58.897512,-8.911038
21.95831,14.900266,58.906237,-8.91089
22.219719,14.805155,58.914961,-8.910742
22.481127,15.967014,58.923686,-8.910594
22.742536,16.196148,58.932411,-8.910446
23.003944,17.006638,58.941136,-8.910298
23.265352,15.601584,58.94986,-8.910149
23.526761,15.066637,58.958585,-8.91
23.788169,16.21692,58.96731,-8.909851
24.049578,17.73561,58.976034,-8.909702
24.310986,17.134443,58.984759,-8.909552
24.572395,15.351767,58.993484,-8.909403
24.833803,17.105962,59.002208,-8.909253
25.095212,14.72103,59.010933,-8.909103
25.35662,11.885677,59.019658,-8.908952
25.618029,9.425902,59.028382,-8.908802
25.879437,9.273523,59.037107,-8.908651
26.140845,9.60611,59.045832,-8.9085
26.402254,10.034673,59.054556,-8.908349
26.663662,10.405397,59.063281,-8.908198
26.925071,10.266215,59.072005,-8.908046
27.186479,8.965969,59.08073,-8.907895
27.447888,7.392174,59.089455,-8.907743
27.709296,6.636558,59.098179,-8.907591
27.970705,6.386287,59.106904,-8.907438
28.232113,6.681248,59.115628,-8.907286
28.493522,6.425389,59.124353,-8.907133
28.75493,6.760614,59.133077,-8.90698
